Capacity data calculated from MERRA-2,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
Year,Month,Day,Hour,wind
2019,1,1,1,0.4409338722855196
2019,1,1,2,0.4237203931075597
2019,1,1,3,0.41131161189713744
2019,1,1,4,0.3918570795082746
2019,1,1,5,0.3737590592565706
2019,1,1,6,0.34459535668442826
2019,1,1,7,0.2707297307631133
2019,1,1,8,0.2149887356051877
2019,1,1,9,0.2230166386202903
2019,1,1,10,0.21289819994966416
2019,1,1,11,0.1928049968893342
2019,1,1,12,0.17062735109824884
2019,1,1,13,0.1583629534416759
2019,1,1,14,0.16255275524976948
2019,1,1,15,0.19881943729770127
2019,1,1,16,0.32060678479266197
2019,1,1,17,0.4878898145318922
2019,1,1,18,0.6134642440934202
2019,1,1,19,0.653872167291793
2019,1,1,20,0.6541399467770935
2019,1,1,21,0.63565135878598
2019,1,1,22,0.6053185491148416
2019,1,1,23,0.5743932011015435
2019,1,1,24,0.5478162284867085
2019,1,2,1,0.5221739659919702
2019,1,2,2,0.49775062440098716
2019,1,2,3,0.4750525538419912
2019,1,2,4,0.45309753898130295
2019,1,2,5,0.43758876667482444
2019,1,2,6,0.3977034807603185
2019,1,2,7,0.3361540186741192
2019,1,2,8,0.2990239208926321
2019,1,2,9,0.3033706607083378
2019,1,2,10,0.2841271739463525
2019,1,2,11,0.2508664924822885
2019,1,2,12,0.2137785713444749
2019,1,2,13,0.1906151608342182
2019,1,2,14,0.1898016476069756
2019,1,2,15,0.2205120917808277
2019,1,2,16,0.35267853118024767
2019,1,2,17,0.5043644161476082
2019,1,2,18,0.5936615341351446
2019,1,2,19,0.6223016268258149
2019,1,2,20,0.6223867665319841
2019,1,2,21,0.6057677730777821
2019,1,2,22,0.5884648675446529
2019,1,2,23,0.5728815270822241
2019,1,2,24,0.5607032748164728
2019,1,3,1,0.5490811310904666
2019,1,3,2,0.5363675315653454
2019,1,3,3,0.5207363340719471
2019,1,3,4,0.5014474204046043
2019,1,3,5,0.498020233220001
2019,1,3,6,0.485606659453135
2019,1,3,7,0.43580506257087576
2019,1,3,8,0.39263172886219244
2019,1,3,9,0.3521199075732094
2019,1,3,10,0.29110043028932336
2019,1,3,11,0.23306789673066206
2019,1,3,12,0.19523131110665198
2019,1,3,13,0.18074169174803148
