Italian electric load distribution from Italian EnergyPLAN model based on Bellocchi et al. (2018) https://doi.org/10.1016/j.energy.2018.07.068,,,,
,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,s_cfs
2016,1,1,1,0.593863
2016,1,1,2,0.574817
2016,1,1,3,0.554442
2016,1,1,4,0.53657
2016,1,1,5,0.528595
2016,1,1,6,0.519343
2016,1,1,7,0.500774
2016,1,1,8,0.503832
2016,1,1,9,0.512555
2016,1,1,10,0.542363
2016,1,1,11,0.576301
2016,1,1,12,0.615541
2016,1,1,13,0.629503
2016,1,1,14,0.620213
2016,1,1,15,0.607696
2016,1,1,16,0.608612
2016,1,1,17,0.640923
2016,1,1,18,0.699352
2016,1,1,19,0.708604
2016,1,1,20,0.695623
2016,1,1,21,0.668151
2016,1,1,22,0.652614
2016,1,1,23,0.65015
2016,1,1,24,0.614483
2016,1,2,1,0.579501
2016,1,2,2,0.55488
2016,1,2,3,0.541951
2016,1,2,4,0.539331
2016,1,2,5,0.551461
2016,1,2,6,0.571707
2016,1,2,7,0.603012
2016,1,2,8,0.651943
2016,1,2,9,0.699985
2016,1,2,10,0.739664
2016,1,2,11,0.766556
2016,1,2,12,0.787318
2016,1,2,13,0.792376
2016,1,2,14,0.779395
2016,1,2,15,0.764568
2016,1,2,16,0.758375
2016,1,2,17,0.779989
2016,1,2,18,0.822804
2016,1,2,19,0.823088
2016,1,2,20,0.797641
2016,1,2,21,0.749548
2016,1,2,22,0.720863
2016,1,2,23,0.706914
2016,1,2,24,0.664189
2016,1,3,1,0.618909
2016,1,3,2,0.589411
2016,1,3,3,0.570946
2016,1,3,4,0.564442
2016,1,3,5,0.568133
2016,1,3,6,0.570468
2016,1,3,7,0.574623
2016,1,3,8,0.607838
2016,1,3,9,0.651866
2016,1,3,10,0.696875
2016,1,3,11,0.729612
2016,1,3,12,0.75502
2016,1,3,13,0.758439
2016,1,3,14,0.746464
2016,1,3,15,0.735302
2016,1,3,16,0.735483
2016,1,3,17,0.758839
2016,1,3,18,0.796738
2016,1,3,19,0.797886
2016,1,3,20,0.770698
2016,1,3,21,0.723199
2016,1,3,22,0.693081
2016,1,3,23,0.682771
2016,1,3,24,0.645737
2016,1,4,1,0.60305
2016,1,4,2,0.574365
2016,1,4,3,0.558274
2016,1,4,4,0.549435
2016,1,4,5,0.550854
2016,1,4,6,0.545989
2016,1,4,7,0.535111
2016,1,4,8,0.55408
2016,1,4,9,0.583566
2016,1,4,10,0.625155
2016,1,4,11,0.662473
2016,1,4,12,0.703998
2016,1,4,13,0.706178
2016,1,4,14,0.685326
2016,1,4,15,0.665092
2016,1,4,16,0.660821
2016,1,4,17,0.686332
2016,1,4,18,0.749277
2016,1,4,19,0.763317
2016,1,4,20,0.746193
2016,1,4,21,0.714166
2016,1,4,22,0.693675
2016,1,4,23,0.691094
2016,1,4,24,0.65153
2016,1,5,1,0.61358
2016,1,5,2,0.587605
2016,1,5,3,0.577191
2016,1,5,4,0.578907
2016,1,5,5,0.595669
2016,1,5,6,0.636459
2016,1,5,7,0.709456
2016,1,5,8,0.788725
2016,1,5,9,0.833772
2016,1,5,10,0.848547
2016,1,5,11,0.864832
2016,1,5,12,0.8786
2016,1,5,13,0.878897
2016,1,5,14,0.867103
2016,1,5,15,0.854638
2016,1,5,16,0.848418
2016,1,5,17,0.864367
2016,1,5,18,0.911453
2016,1,5,19,0.911402
2016,1,5,20,0.887762
2016,1,5,21,0.832353
2016,1,5,22,0.794609
2016,1,5,23,0.770543
2016,1,5,24,0.714437
2016,1,6,1,0.673106
2016,1,6,2,0.643246
2016,1,6,3,0.630471
2016,1,6,4,0.631129
2016,1,6,5,0.64104
2016,1,6,6,0.663828
2016,1,6,7,0.717379
2016,1,6,8,0.781718
2016,1,6,9,0.8131
2016,1,6,10,0.829385
2016,1,6,11,0.848921
2016,1,6,12,0.865206
2016,1,6,13,0.863309
2016,1,6,14,0.845966
2016,1,6,15,0.827372
2016,1,6,16,0.823475
2016,1,6,17,0.846044
2016,1,6,18,0.901427
2016,1,6,19,0.901595
2016,1,6,20,0.881955
2016,1,6,21,0.833424
2016,1,6,22,0.795977
2016,1,6,23,0.769407
2016,1,6,24,0.718682
2016,1,7,1,0.673893
2016,1,7,2,0.643569
2016,1,7,3,0.635788
2016,1,7,4,0.639917
2016,1,7,5,0.65384
2016,1,7,6,0.698036
2016,1,7,7,0.801228
2016,1,7,8,0.890304
2016,1,7,9,0.927932
2016,1,7,10,0.930409
2016,1,7,11,0.942062
2016,1,7,12,0.953714
2016,1,7,13,0.949017
2016,1,7,14,0.940126
2016,1,7,15,0.925351
2016,1,7,16,0.916641
2016,1,7,17,0.92748
2016,1,7,18,0.974502
2016,1,7,19,0.96836
2016,1,7,20,0.942191
2016,1,7,21,0.887646
2016,1,7,22,0.843708
2016,1,7,23,0.811939
2016,1,7,24,0.749432
2016,1,8,1,0.704269
