Italian solar distribution from Italian EnergyPLAN model based on Bellocchi et al. (2018) https://doi.org/10.1016/j.energy.2018.07.068,,,,
,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,s_cfs
2016,1,1,1,0
2016,1,1,2,0
2016,1,1,3,0
2016,1,1,4,0
2016,1,1,5,0
2016,1,1,6,0
2016,1,1,7,0
2016,1,1,8,0
2016,1,1,9,0.11838
2016,1,1,10,0.144255
2016,1,1,11,0.182928
2016,1,1,12,0.186667
2016,1,1,13,0.156809
2016,1,1,14,0.097587
2016,1,1,15,0.030894
2016,1,1,16,0.00185
2016,1,1,17,0
2016,1,1,18,0
2016,1,1,19,0
2016,1,1,20,0
2016,1,1,21,0
2016,1,1,22,0
2016,1,1,23,0
2016,1,1,24,0
2016,1,2,1,0
2016,1,2,2,0
2016,1,2,3,0
2016,1,2,4,0
2016,1,2,5,0
2016,1,2,6,0
2016,1,2,7,0
2016,1,2,8,0
2016,1,2,9,0.054269
2016,1,2,10,0.054586
2016,1,2,11,0.077772
2016,1,2,12,0.089626
2016,1,2,13,0.088691
2016,1,2,14,0.073226
2016,1,2,15,0.023383
2016,1,2,16,0.001122
2016,1,2,17,0
2016,1,2,18,0
2016,1,2,19,0
2016,1,2,20,0
2016,1,2,21,0
2016,1,2,22,0
2016,1,2,23,0
2016,1,2,24,0
2016,1,3,1,0
2016,1,3,2,0
2016,1,3,3,0
2016,1,3,4,0
2016,1,3,5,0
2016,1,3,6,0
2016,1,3,7,0
2016,1,3,8,0
2016,1,3,9,0.111333
2016,1,3,10,0.091149
2016,1,3,11,0.097667
2016,1,3,12,0.078094
2016,1,3,13,0.056564
2016,1,3,14,0.033618
2016,1,3,15,0.013423
2016,1,3,16,0.000649
2016,1,3,17,0
2016,1,3,18,0
2016,1,3,19,0
2016,1,3,20,0
2016,1,3,21,0
2016,1,3,22,0
2016,1,3,23,0
2016,1,3,24,0
2016,1,4,1,0
2016,1,4,2,0
2016,1,4,3,0
2016,1,4,4,0
2016,1,4,5,0
2016,1,4,6,0
2016,1,4,7,0
2016,1,4,8,0
2016,1,4,9,0.143308
2016,1,4,10,0.167216
2016,1,4,11,0.194204
2016,1,4,12,0.191879
2016,1,4,13,0.16686
2016,1,4,14,0.120533
2016,1,4,15,0.039999
2016,1,4,16,0.002643
2016,1,4,17,0
2016,1,4,18,0
2016,1,4,19,0
2016,1,4,20,0
2016,1,4,21,0
2016,1,4,22,0
2016,1,4,23,0
2016,1,4,24,0
2016,1,5,1,0
2016,1,5,2,0
2016,1,5,3,0
2016,1,5,4,0
2016,1,5,5,0
2016,1,5,6,0
2016,1,5,7,0
2016,1,5,8,0
2016,1,5,9,0.145155
2016,1,5,10,0.18782
2016,1,5,11,0.227253
2016,1,5,12,0.234374
2016,1,5,13,0.205127
2016,1,5,14,0.143229
2016,1,5,15,0.057042
2016,1,5,16,0.00385
2016,1,5,17,0
2016,1,5,18,0
2016,1,5,19,0
2016,1,5,20,0
2016,1,5,21,0
2016,1,5,22,0
2016,1,5,23,0
2016,1,5,24,0
2016,1,6,1,0
2016,1,6,2,0
2016,1,6,3,0
2016,1,6,4,0
2016,1,6,5,0
2016,1,6,6,0
2016,1,6,7,0
2016,1,6,8,0
2016,1,6,9,0.207319
2016,1,6,10,0.260215
2016,1,6,11,0.31394
2016,1,6,12,0.316297
2016,1,6,13,0.263391
2016,1,6,14,0.170006
2016,1,6,15,0.061058
2016,1,6,16,0.00444
2016,1,6,17,0
2016,1,6,18,0
2016,1,6,19,0
2016,1,6,20,0
2016,1,6,21,0
2016,1,6,22,0
2016,1,6,23,0
2016,1,6,24,0
2016,1,7,1,0
2016,1,7,2,0
2016,1,7,3,0
2016,1,7,4,0
2016,1,7,5,0
2016,1,7,6,0
2016,1,7,7,0
2016,1,7,8,0
2016,1,7,9,0.073337
2016,1,7,10,0.106587
2016,1,7,11,0.150254
2016,1,7,12,0.16552
2016,1,7,13,0.152098
2016,1,7,14,0.107817
2016,1,7,15,0.040964
2016,1,7,16,0.003263
2016,1,7,17,0
2016,1,7,18,0
2016,1,7,19,0
2016,1,7,20,0
2016,1,7,21,0
2016,1,7,22,0
2016,1,7,23,0
2016,1,7,24,0
2016,1,8,1,0
2016,1,8,2,0
2016,1,8,3,0
2016,1,8,4,0
2016,1,8,5,0
2016,1,8,6,0
2016,1,8,7,0
2016,1,8,8,0
2016,1,8,9,0.023077
2016,1,8,10,0.043687
2016,1,8,11,0.069324
2016,1,8,12,0.074187
2016,1,8,13,0.062695
2016,1,8,14,0.042137
2016,1,8,15,0.015465
2016,1,8,16,0.001586
2016,1,8,17,0
2016,1,8,18,0
2016,1,8,19,0
2016,1,8,20,0
2016,1,8,21,0
2016,1,8,22,0
2016,1,8,23,0
2016,1,8,24,0
2016,1,9,1,0
2016,1,9,2,0
2016,1,9,3,0
2016,1,9,4,0
2016,1,9,5,0
2016,1,9,6,0
2016,1,9,7,0
2016,1,9,8,0
2016,1,9,9,0.069049
2016,1,9,10,0.04301
2016,1,9,11,0.046807
2016,1,9,12,0.034378
2016,1,9,13,0.028833
2016,1,9,14,0.024896
2016,1,9,15,0.01157
2016,1,9,16,0.000816
2016,1,9,17,0
2016,1,9,18,0
2016,1,9,19,0
2016,1,9,20,0
2016,1,9,21,0
2016,1,9,22,0
2016,1,9,23,0
2016,1,9,24,0
2016,1,10,1,0
2016,1,10,2,0
2016,1,10,3,0
2016,1,10,4,0
2016,1,10,5,0
2016,1,10,6,0
2016,1,10,7,0
2016,1,10,8,0
2016,1,10,9,0.010045
2016,1,10,10,0.014806
2016,1,10,11,0.020652
2016,1,10,12,0.021296
2016,1,10,13,0.021944
2016,1,10,14,0.017853
2016,1,10,15,0.008331
2016,1,10,16,0.00089
2016,1,10,17,0
2016,1,10,18,0
2016,1,10,19,0
2016,1,10,20,0
2016,1,10,21,0
2016,1,10,22,0
2016,1,10,23,0
2016,1,10,24,0
2016,1,11,1,0
2016,1,11,2,0
2016,1,11,3,0
2016,1,11,4,0
2016,1,11,5,0
2016,1,11,6,0
2016,1,11,7,0
2016,1,11,8,0
2016,1,11,9,0.061298
2016,1,11,10,0.065553
2016,1,11,11,0.089846
2016,1,11,12,0.111584
2016,1,11,13,0.110247
2016,1,11,14,0.094568
2016,1,11,15,0.03593
2016,1,11,16,0.003192
2016,1,11,17,0
2016,1,11,18,0
2016,1,11,19,0
2016,1,11,20,0
2016,1,11,21,0
2016,1,11,22,0
2016,1,11,23,0
2016,1,11,24,0
2016,1,12,1,0
2016,1,12,2,0
2016,1,12,3,0
2016,1,12,4,0
2016,1,12,5,0
2016,1,12,6,0
2016,1,12,7,0
2016,1,12,8,0
2016,1,12,9,0.030089
2016,1,12,10,0.046291
2016,1,12,11,0.06498
2016,1,12,12,0.075993
2016,1,12,13,0.072293
2016,1,12,14,0.050822
2016,1,12,15,0.02414
2016,1,12,16,0.003815
2016,1,12,17,0
2016,1,12,18,0
2016,1,12,19,0
2016,1,12,20,0
2016,1,12,21,0
2016,1,12,22,0
2016,1,12,23,0
2016,1,12,24,0
2016,1,13,1,0
2016,1,13,2,0
2016,1,13,3,0
2016,1,13,4,0
2016,1,13,5,0
2016,1,13,6,0
2016,1,13,7,0
2016,1,13,8,0
2016,1,13,9,0.16405
2016,1,13,10,0.214448
2016,1,13,11,0.269902
2016,1,13,12,0.272045
2016,1,13,13,0.226082
2016,1,13,14,0.154689
2016,1,13,15,0.063294
2016,1,13,16,0.006081
2016,1,13,17,0
2016,1,13,18,0
2016,1,13,19,0
2016,1,13,20,0
2016,1,13,21,0
2016,1,13,22,0
2016,1,13,23,0
2016,1,13,24,0
2016,1,14,1,0
2016,1,14,2,0
2016,1,14,3,0
2016,1,14,4,0
2016,1,14,5,0
2016,1,14,6,0
2016,1,14,7,0
2016,1,14,8,0
2016,1,14,9,0.158147
2016,1,14,10,0.185295
2016,1,14,11,0.225961
2016,1,14,12,0.192593
2016,1,14,13,0.153729
2016,1,14,14,0.104362
2016,1,14,15,0.041725
2016,1,14,16,0.004861
2016,1,14,17,0
2016,1,14,18,0
2016,1,14,19,0
2016,1,14,20,0
2016,1,14,21,0
2016,1,14,22,0
2016,1,14,23,0
2016,1,14,24,0
2016,1,15,1,0
2016,1,15,2,0
2016,1,15,3,0
2016,1,15,4,0
2016,1,15,5,0
