Italian solar distribution from Italian EnergyPLAN model based on Bellocchi et al. (2018) https://doi.org/10.1016/j.energy.2018.07.068,,,,
,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,s_cfs
2016,1,1,1,0.001263
2016,1,1,2,0.002536
2016,1,1,3,0.004475
2016,1,1,4,0.009806
2016,1,1,5,0.026887
2016,1,1,6,0.06746
2016,1,1,7,0.160718
2016,1,1,8,0.283439
2016,1,1,9,0.480621
2016,1,1,10,0.517867
2016,1,1,11,0.530696
2016,1,1,12,0.422257
2016,1,1,13,0.337005
2016,1,1,14,0.244334
2016,1,1,15,0.242767
2016,1,1,16,0.207685
2016,1,1,17,0.191136
2016,1,1,18,0.16935
2016,1,1,19,0.166312
2016,1,1,20,0.147242
2016,1,1,21,0.132706
2016,1,1,22,0.090145
2016,1,1,23,0.047067
2016,1,1,24,0.054068
2016,1,2,1,0.001333
2016,1,2,2,0.001333
2016,1,2,3,0.003158
2016,1,2,4,0.01098
2016,1,2,5,0.039831
2016,1,2,6,0.062328
2016,1,2,7,0.152503
2016,1,2,8,0.308894
2016,1,2,9,0.461775
2016,1,2,10,0.524466
2016,1,2,11,0.533382
2016,1,2,12,0.436867
2016,1,2,13,0.309988
2016,1,2,14,0.247964
2016,1,2,15,0.21498
2016,1,2,16,0.211832
2016,1,2,17,0.221703
2016,1,2,18,0.177525
2016,1,2,19,0.173865
2016,1,2,20,0.144626
2016,1,2,21,0.116431
2016,1,2,22,0.089916
2016,1,2,23,0.053183
2016,1,2,24,0.048981
2016,1,3,1,0.001313
2016,1,3,2,0.00908
2016,1,3,3,0.049628
2016,1,3,4,0.14201
2016,1,3,5,0.271718
2016,1,3,6,0.552129
2016,1,3,7,0.77223
2016,1,3,8,0.919422
2016,1,3,9,0.813434
2016,1,3,10,0.691812
2016,1,3,11,0.424311
2016,1,3,12,0.381476
2016,1,3,13,0.377448
2016,1,3,14,0.516813
2016,1,3,15,0.57009
2016,1,3,16,0.656436
2016,1,3,17,0.594446
2016,1,3,18,0.517519
2016,1,3,19,0.389382
2016,1,3,20,0.257427
2016,1,3,21,0.159474
2016,1,3,22,0.066893
2016,1,3,23,0.041791
2016,1,3,24,0.020756
2016,1,4,1,0.001263
2016,1,4,2,0.01277
2016,1,4,3,0.039185
2016,1,4,4,0.107559
2016,1,4,5,0.293867
2016,1,4,6,0.587753
2016,1,4,7,0.834598
