Italian wind distribution from Italian EnergyPLAN model based on Bellocchi et al. (2018) https://doi.org/10.1016/j.energy.2018.07.068,,,,
,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,s_cfs
2016,1,1,1,0.295014
2016,1,1,2,0.300785
2016,1,1,3,0.306447
2016,1,1,4,0.320262
2016,1,1,5,0.332478
2016,1,1,6,0.34075
2016,1,1,7,0.359569
2016,1,1,8,0.377141
2016,1,1,9,0.397956
2016,1,1,10,0.420721
2016,1,1,11,0.440712
2016,1,1,12,0.452188
2016,1,1,13,0.46861
2016,1,1,14,0.507891
2016,1,1,15,0.507597
2016,1,1,16,0.523754
2016,1,1,17,0.547991
2016,1,1,18,0.581332
2016,1,1,19,0.602224
2016,1,1,20,0.691013
2016,1,1,21,0.742627
2016,1,1,22,0.775163
2016,1,1,23,0.795172
2016,1,1,24,0.81386
2016,1,2,1,0.789422
2016,1,2,2,0.830544
2016,1,2,3,0.850532
2016,1,2,4,0.871068
2016,1,2,5,0.889982
2016,1,2,6,0.911495
2016,1,2,7,0.914909
2016,1,2,8,0.937246
2016,1,2,9,0.941313
2016,1,2,10,0.928273
2016,1,2,11,0.913876
2016,1,2,12,0.887379
2016,1,2,13,0.797176
2016,1,2,14,0.82915
2016,1,2,15,0.799187
2016,1,2,16,0.788905
2016,1,2,17,0.787636
2016,1,2,18,0.795023
2016,1,2,19,0.768671
2016,1,2,20,0.797169
2016,1,2,21,0.799862
2016,1,2,22,0.809396
2016,1,2,23,0.806197
2016,1,2,24,0.790331
2016,1,3,1,0.720776
2016,1,3,2,0.715487
2016,1,3,3,0.682979
2016,1,3,4,0.682028
2016,1,3,5,0.675832
2016,1,3,6,0.686794
2016,1,3,7,0.714513
2016,1,3,8,0.778686
2016,1,3,9,0.814408
2016,1,3,10,0.812292
2016,1,3,11,0.794109
2016,1,3,12,0.748041
2016,1,3,13,0.680845
2016,1,3,14,0.664058
2016,1,3,15,0.616078
2016,1,3,16,0.576786
2016,1,3,17,0.550515
2016,1,3,18,0.534909
2016,1,3,19,0.463468
2016,1,3,20,0.49496
2016,1,3,21,0.530399
2016,1,3,22,0.550991
2016,1,3,23,0.569482
2016,1,3,24,0.586497
2016,1,4,1,0.573982
2016,1,4,2,0.627446
2016,1,4,3,0.639123
2016,1,4,4,0.636029
2016,1,4,5,0.627456
2016,1,4,6,0.611965
2016,1,4,7,0.550897
2016,1,4,8,0.60305
2016,1,4,9,0.644495
2016,1,4,10,0.668705
2016,1,4,11,0.683471
2016,1,4,12,0.67719
2016,1,4,13,0.577929
2016,1,4,14,0.564709
2016,1,4,15,0.514283
2016,1,4,16,0.475532
2016,1,4,17,0.445345
2016,1,4,18,0.414772
2016,1,4,19,0.34214
2016,1,4,20,0.371526
2016,1,4,21,0.373379
2016,1,4,22,0.361437
2016,1,4,23,0.375783
2016,1,4,24,0.411208
2016,1,5,1,0.411803
2016,1,5,2,0.460362
2016,1,5,3,0.512442
2016,1,5,4,0.561188
2016,1,5,5,0.599267
2016,1,5,6,0.618883
2016,1,5,7,0.554391
2016,1,5,8,0.559767
2016,1,5,9,0.550946
2016,1,5,10,0.541138
2016,1,5,11,0.522209
2016,1,5,12,0.478562
2016,1,5,13,0.37615
2016,1,5,14,0.316514
2016,1,5,15,0.249182
2016,1,5,16,0.20366
2016,1,5,17,0.175117
