BEGIN_DATA,,,,
year,month,day,hour,demand (MW)
1950,1,1,4,282685.75
1950,1,1,8,290880.5
1950,1,1,12,296467.5
1950,1,1,16,291636.75
1950,1,1,20,270640.25
1950,1,1,24,263915.75
1950,1,2,4,270182.25
1950,1,2,8,276064.75
1950,1,2,12,279849.75
1950,1,2,16,274216.0
1950,1,2,20,265358.5
1950,1,2,24,264437.75
1950,1,3,4,266259.0
1950,1,3,8,272748.0
1950,1,3,12,276649.75
1950,1,3,16,276795.75
1950,1,3,20,278789.5
1950,1,3,24,275247.5
1950,1,4,4,275259.75
1950,1,4,8,283292.25
1950,1,4,12,297675.25
1950,1,4,16,308412.5
1950,1,4,20,319202.5
1950,1,4,24,313739.75
1950,1,5,4,312904.75
1950,1,5,8,319314.0
1950,1,5,12,328662.5
1950,1,5,16,329572.25
1950,1,5,20,326111.5
1950,1,5,24,309037.25
1950,1,6,4,305547.0
1950,1,6,8,311102.0
1950,1,6,12,313506.75
1950,1,6,16,315545.5
1950,1,6,20,307921.0
1950,1,6,24,292129.75
1950,1,7,4,301278.25
1950,1,7,8,319592.0
1950,1,7,12,345918.75
1950,1,7,16,350372.75
1950,1,7,20,319062.25
1950,1,7,24,307446.5
1950,1,8,4,330389.5
1950,1,8,8,348478.5
1950,1,8,12,363090.25
1950,1,8,16,356053.25
1950,1,8,20,313450.25
1950,1,8,24,299359.25
1950,1,9,4,316794.75
1950,1,9,8,323251.25
1950,1,9,12,323741.5
1950,1,9,16,311633.75
1950,1,9,20,280390.25
1950,1,9,24,266358.0
1950,1,10,4,267123.0
1950,1,10,8,271684.5
1950,1,10,12,277812.75
1950,1,10,16,277436.75
1950,1,10,20,272749.25
1950,1,10,24,266764.0
1950,1,11,4,275030.0
1950,1,11,8,290201.75
1950,1,11,12,308806.0
1950,1,11,16,310182.75
1950,1,11,20,292258.75
1950,1,11,24,286433.75
1950,1,12,4,294017.0
1950,1,12,8,301592.25
1950,1,12,12,304205.75
1950,1,12,16,303300.5
1950,1,12,20,297940.0
1950,1,12,24,292230.5
1950,1,13,4,289113.75
1950,1,13,8,290260.5
1950,1,13,12,289922.25
1950,1,13,16,288748.0
1950,1,13,20,280305.25
1950,1,13,24,268632.5
1950,1,14,4,269656.25
1950,1,14,8,281270.25
1950,1,14,12,295519.5
1950,1,14,16,297866.5
1950,1,14,20,284296.75
1950,1,14,24,281466.5
1950,1,15,4,288782.75
1950,1,15,8,297505.5
1950,1,15,12,300282.0
1950,1,15,16,297068.25
1950,1,15,20,290837.75
1950,1,15,24,283363.25
1950,1,16,4,284936.75
1950,1,16,8,297275.75
1950,1,16,12,311731.0
1950,1,16,16,316511.75
1950,1,16,20,309675.75
1950,1,16,24,296478.75
1950,1,17,4,303465.5
1950,1,17,8,315132.75
1950,1,17,12,322728.75
1950,1,17,16,319250.25
1950,1,17,20,302467.5
1950,1,17,24,293637.25
1950,1,18,4,292978.75
1950,1,18,8,298614.5
1950,1,18,12,306502.0
1950,1,18,16,307546.25
1950,1,18,20,297455.25
1950,1,18,24,296047.75
1950,1,19,4,301163.25
1950,1,19,8,312009.75
1950,1,19,12,322470.25
1950,1,19,16,324894.0
1950,1,19,20,320453.25
1950,1,19,24,316532.0
1950,1,20,4,321654.5
1950,1,20,8,334577.75
1950,1,20,12,347195.0
1950,1,20,16,343906.25
1950,1,20,20,316204.25
1950,1,20,24,304720.5
1950,1,21,4,313927.5
1950,1,21,8,323653.0
1950,1,21,12,328502.5
1950,1,21,16,319724.5
1950,1,21,20,282323.5
1950,1,21,24,272322.0
1950,1,22,4,278638.5
1950,1,22,8,285419.25
1950,1,22,12,286431.0
1950,1,22,16,280078.0
1950,1,22,20,262700.75
1950,1,22,24,263015.75
1950,1,23,4,260661.75
1950,1,23,8,266570.5
1950,1,23,12,273050.5
1950,1,23,16,268586.75
1950,1,23,20,265218.75
1950,1,23,24,266534.25
1950,1,24,4,259881.25
1950,1,24,8,262535.75
1950,1,24,12,265841.0
1950,1,24,16,265016.5
1950,1,24,20,276459.0
1950,1,24,24,276796.0
1950,1,25,4,265151.5
1950,1,25,8,267274.5
1950,1,25,12,276111.5
1950,1,25,16,282442.75
1950,1,25,20,303203.75
1950,1,25,24,295482.25
1950,1,26,4,278614.5
1950,1,26,8,279457.0
1950,1,26,12,289312.25
1950,1,26,16,299261.5
1950,1,26,20,314334.0
1950,1,26,24,303855.25
1950,1,27,4,298657.5
1950,1,27,8,311326.0
1950,1,27,12,329320.25
1950,1,27,16,334300.0
1950,1,27,20,319347.5
1950,1,27,24,302723.75
1950,1,28,4,313447.25
1950,1,28,8,326872.75
1950,1,28,12,333371.0
1950,1,28,16,327158.75
1950,1,28,20,299319.25
1950,1,28,24,284547.25
1950,1,29,4,286061.0
1950,1,29,8,289136.25
1950,1,29,12,292383.25
1950,1,29,16,294395.25
1950,1,29,20,292283.25
1950,1,29,24,292523.5
1950,1,30,4,295075.5
1950,1,30,8,304538.75
1950,1,30,12,315608.25
1950,1,30,16,321636.25
1950,1,30,20,326586.75
1950,1,30,24,317794.75
1950,1,31,4,312737.75
1950,1,31,8,318003.25
1950,1,31,12,324419.5
1950,1,31,16,328607.75
1950,1,31,20,329769.5
1950,1,31,24,317724.75
1950,2,1,4,312521.25
1950,2,1,8,318848.0
1950,2,1,12,330837.75
1950,2,1,16,332185.75
1950,2,1,20,324845.25
1950,2,1,24,308488.5
1950,2,2,4,306269.5
1950,2,2,8,312340.25
1950,2,2,12,317513.75
1950,2,2,16,319719.5
1950,2,2,20,313998.5
1950,2,2,24,300933.75
1950,2,3,4,305457.75
1950,2,3,8,323216.25
1950,2,3,12,345120.5
1950,2,3,16,345875.5
1950,2,3,20,318543.75
1950,2,3,24,305138.25
1950,2,4,4,318705.0
1950,2,4,8,332366.0
1950,2,4,12,343249.5
1950,2,4,16,332595.5
1950,2,4,20,291287.25
1950,2,4,24,280792.75
1950,2,5,4,299303.75
1950,2,5,8,314808.75
1950,2,5,12,328070.5
1950,2,5,16,316476.5
1950,2,5,20,277056.5
1950,2,5,24,267806.75
1950,2,6,4,276915.5
1950,2,6,8,285844.75
1950,2,6,12,290985.25
1950,2,6,16,282277.0
1950,2,6,20,265506.0
1950,2,6,24,265323.25
1950,2,7,4,263674.0
1950,2,7,8,270819.75
1950,2,7,12,280024.5
1950,2,7,16,280269.25
1950,2,7,20,275691.75
1950,2,7,24,279397.25
1950,2,8,4,279314.75
1950,2,8,8,290337.25
1950,2,8,12,306054.25
1950,2,8,16,303198.25
1950,2,8,20,289439.0
1950,2,8,24,281033.5
1950,2,9,4,281257.75
1950,2,9,8,287378.25
1950,2,9,12,297827.75
1950,2,9,16,296616.5
1950,2,9,20,280468.25
1950,2,9,24,267870.25
1950,2,10,4,275031.75
1950,2,10,8,287418.75
1950,2,10,12,297946.25
1950,2,10,16,295838.5
1950,2,10,20,281587.0
1950,2,10,24,271217.25
1950,2,11,4,279854.75
1950,2,11,8,290775.75
1950,2,11,12,301452.0
1950,2,11,16,296018.0
1950,2,11,20,276655.0
1950,2,11,24,269810.75
1950,2,12,4,280193.5
1950,2,12,8,290406.25
1950,2,12,12,296656.5
1950,2,12,16,295174.0
1950,2,12,20,281109.25
1950,2,12,24,270836.5
1950,2,13,4,273815.5
1950,2,13,8,282684.25
1950,2,13,12,288760.0
1950,2,13,16,291049.25
1950,2,13,20,282439.75
1950,2,13,24,277928.75
1950,2,14,4,280752.75
1950,2,14,8,288793.0
1950,2,14,12,297046.75
1950,2,14,16,300340.75
1950,2,14,20,292522.0
1950,2,14,24,281472.0
1950,2,15,4,286869.0
1950,2,15,8,300500.5
1950,2,15,12,315922.5
1950,2,15,16,315243.0
1950,2,15,20,287608.0
1950,2,15,24,282013.25
1950,2,16,4,298715.5
1950,2,16,8,319699.75
1950,2,16,12,340824.5
1950,2,16,16,332897.5
1950,2,16,20,290930.25
1950,2,16,24,286063.25
1950,2,17,4,304507.25
1950,2,17,8,327327.5
1950,2,17,12,349556.0
1950,2,17,16,334769.5
1950,2,17,20,286878.75
1950,2,17,24,281870.5
1950,2,18,4,299583.0
1950,2,18,8,321798.75
1950,2,18,12,342314.25
1950,2,18,16,324698.5
1950,2,18,20,275768.5
1950,2,18,24,271969.75
1950,2,19,4,292829.0
1950,2,19,8,313494.75
1950,2,19,12,331014.25
1950,2,19,16,324139.5
1950,2,19,20,291643.0
1950,2,19,24,282530.75
1950,2,20,4,306575.5
1950,2,20,8,332529.0
1950,2,20,12,356358.25
1950,2,20,16,344139.25
1950,2,20,20,302077.5
1950,2,20,24,293160.25
1950,2,21,4,313104.0
1950,2,21,8,331355.5
1950,2,21,12,341707.0
1950,2,21,16,323023.0
1950,2,21,20,283447.75
1950,2,21,24,275367.5
1950,2,22,4,281391.0
1950,2,22,8,295791.5
1950,2,22,12,309319.75
1950,2,22,16,309239.25
1950,2,22,20,291689.5
1950,2,22,24,283723.0
1950,2,23,4,293414.25
1950,2,23,8,309756.0
1950,2,23,12,329364.5
1950,2,23,16,327972.75
1950,2,23,20,291304.0
1950,2,23,24,278987.5
1950,2,24,4,298726.0
1950,2,24,8,315944.5
