status,value,system_cost,co2_emissions,main mean demand,main energy weighted price,ev1 mean demand,ev1 energy weighted price,ev2 mean demand,ev2 energy weighted price,price closure,scenario,demand series,demand_ev1 series,demand_ev2 series,ev_load,ev2_pct,lost_load dispatch,main_node_curtailment dispatch,fossgas capacity,fossgas dispatch,solar series,solar capacity,wind series,wind capacity,storage_ev1 capacity,storage_ev1 dispatch,storage_ev1 stored,storage_ev2 capacity,storage_ev2 dispatch,storage_ev2 stored,storage capacity,storage dispatch,storage stored,transfer capacity,transfer dispatch,fossgas curtailment,ev demand,total demand,ev load fraction
optimal,7892.684485,0.898529654,0,1,0.898529654,1.00E-10,0,1.00E-16,0.763260016,2.22E-15,Mike_EV\Looping_Sol_Bat_evLoad0p0_pctEVLoad21e-06\Looping_Sol_Bat_evLoad0p0_pctEVLoad21e-06_20220317-162751.xlsx,1,1.00E-10,1.00E-16,1.00E-10,0%,0.018475738,3.134849101,0,0,0.120154076,34.70658663,0.272143623,0,2.22E-08,1.00E-10,0,2.22E-14,0,0,29.44240448,0.483380902,4.995437841,0,0,0,2.00E-10,1,2.00E-10
optimal,7893.055469,0.898571889,0,1,0.898266295,0.1,0.036419078,1.00E-11,0.764332428,-0.003336314,Mike_EV\Looping_Sol_Bat_evLoad0p1_pctEVLoad20p0\Looping_Sol_Bat_evLoad0p1_pctEVLoad20p0_20220317-141339.xlsx,1,0.1,1.00E-11,1.00E-01,0%,0.018699974,3.023968469,0,0,0.120154076,34.70658656,0.272143623,0,22.235,0.1,1.115548482,2.22E-09,2.10E-10,0,29.16085224,0.483156667,5.55960168,0,2.00E-10,0,0.2,1.2,0.166666667
optimal,7910.823766,0.900594691,0,1,0.88969508,0.1999998,0.098713774,2.00E-07,0.75866492,-0.008843275,Mike_EV\Looping_Sol_Bat_evLoad0p2_pctEVLoad21e-06\Looping_Sol_Bat_evLoad0p2_pctEVLoad21e-06_20220317-173111.xlsx,1,0.1999998,2.00E-07,2.00E-01,0%,0.017683159,3.071592448,0,0,0.120154076,36.03652748,0.272143623,0,44.46995553,0.1999998,3.234761159,4.45E-05,4.05E-08,3.86E-06,28.34896891,0.483310981,6.031429152,1.29E-06,-1.60E-07,0,0.3999996,1.3999996,0.285714082
optimal,7988.363286,0.90942205,0,1,0.874075286,0.2999997,0.160581903,3.00E-07,0.744148011,-0.012827982,Mike_EV\Looping_Sol_Bat_evLoad0p3_pctEVLoad21e-06\Looping_Sol_Bat_evLoad0p3_pctEVLoad21e-06_20220317-180149.xlsx,1,0.2999997,3.00E-07,3.00E-01,0%,0.017694186,3.24008017,0,0,0.120154076,38.36233498,0.272143623,0,66.70493329,0.2999997,5.260110067,6.67E-05,6.07E-08,7.59E-06,25.31638787,0.481926593,5.920867394,2.00E-06,-2.39E-07,0,0.5999994,1.5999994,0.374999766
optimal,8100.097619,0.922142261,0,1,0.855470222,0.3999996,0.227169966,4.00E-07,0.728165664,-0.024196148,Mike_EV\Looping_Sol_Bat_evLoad0p4_pctEVLoad21e-06\Looping_Sol_Bat_evLoad0p4_pctEVLoad21e-06_20220317-185727.xlsx,1,0.3999996,4.00E-07,4.00E-01,0%,0.016788763,3.473593853,0,0,0.120154076,41.23778521,0.272143623,0,88.93991106,0.3999996,7.430257022,8.89E-05,1.46E-07,1.20E-05,22.9744726,0.481432378,5.709381411,2.84E-06,-2.54E-07,0,0.7999992,1.7999992,0.444444198
optimal,8247.164177,0.938884811,0,1,0.852938631,0.4999995,0.224497859,5.00E-07,0.736262816,-0.026303006,Mike_EV\Looping_Sol_Bat_evLoad0p5_pctEVLoad21e-06\Looping_Sol_Bat_evLoad0p5_pctEVLoad21e-06_20220317-193221.xlsx,1,0.4999995,5.00E-07,5.00E-01,0%,0.015452948,3.713862567,0,0,0.120154076,44.17356264,0.272143623,0,111.1748888,0.4999995,9.531792077,0.000111175,2.41E-07,1.53E-05,21.59048156,0.481506355,5.566820823,3.65E-06,-2.59E-07,0,0.999999,1.999999,0.49999975
optimal,8398.252374,0.956085197,0,1,0.852842523,0.5999994,0.224731325,6.00E-07,0.740641862,-0.03159643,Mike_EV\Looping_Sol_Bat_evLoad0p6_pctEVLoad21e-06\Looping_Sol_Bat_evLoad0p6_pctEVLoad21e-06_20220317-200703.xlsx,1,0.5999994,6.00E-07,6.00E-01,0%,0.014096929,3.961830541,0,0,0.120154076,47.17369916,0.272143623,0,133.4098666,0.5999994,11.70828723,0.00013341,4.08E-07,1.92E-05,20.17615075,0.481695337,5.417443688,4.37E-06,-1.92E-07,0,1.1999988,2.1999988,0.545454298
optimal,8556.512936,0.97410211,0,1,0.839332544,0.6999993,0.251448553,7.00E-07,0.740526527,-0.041244764,Mike_EV\Looping_Sol_Bat_evLoad0p7_pctEVLoad21e-06\Looping_Sol_Bat_evLoad0p7_pctEVLoad21e-06_20220317-203714.xlsx,1,0.6999993,7.00E-07,7.00E-01,0%,0.011522788,4.229893259,0,0,0.120154076,50.35239947,0.272143623,0,155.6448444,0.6999993,13.70610148,0.000155645,5.81E-07,2.29E-05,20.10668408,0.483159082,5.506145928,4.91E-06,-1.19E-07,0,1.3999986,2.3999986,0.58333309
optimal,8752.489952,0.996412791,0,1,0.801297776,0.7999992,0.318533855,8.00E-07,0.732119471,-0.059712401,Mike_EV\Looping_Sol_Bat_evLoad0p8_pctEVLoad21e-06\Looping_Sol_Bat_evLoad0p8_pctEVLoad21e-06_20220317-210726.xlsx,1,0.7999992,8.00E-07,8.00E-01,0%,0.009579391,4.48201407,0,0,0.120154076,53.3927344,0.272143623,0,177.8798221,0.7999992,15.86929327,0.00017788,7.47E-07,2.74E-05,20.02630219,0.48413814,5.550020866,5.54E-06,-5.27E-08,0,1.5999984,2.5999984,0.615384379
optimal,8966.798903,1.02081044,0,1,0.800475983,0.8999991,0.319738396,9.00E-07,0.735210903,-0.067430474,Mike_EV\Looping_Sol_Bat_evLoad0p9_pctEVLoad21e-06\Looping_Sol_Bat_evLoad0p9_pctEVLoad21e-06_20220317-213956.xlsx,1,0.8999991,9.00E-07,9.00E-01,0%,0.009070935,4.710357965,0,0,0.120154076,56.22203109,0.272143623,0,200.1147999,0.8999991,18.25900971,0.000200115,9.13E-07,3.15E-05,18.75307289,0.483812552,5.34171188,1.15E-05,1.32E-08,0,1.7999982,2.7999982,0.642856913
