BEGIN_DATA
year,month,day,hour,demand (MW)
2015,7,2,1,38501
2015,7,2,2,38528
2015,7,2,3,38100
2015,7,2,4,37278
2015,7,2,5,36698
2015,7,2,6,36637
2015,7,2,7,35513
2015,7,2,8,32654
2015,7,2,9,29826
2015,7,2,10,27799
2015,7,2,11,26232
2015,7,2,12,25314
2015,7,2,13,24853
2015,7,2,14,25401
2015,7,2,15,26219
2015,7,2,16,27734
2015,7,2,17,29916
2015,7,2,18,31590
2015,7,2,19,32663
2015,7,2,20,33717
2015,7,2,21,34653
2015,7,2,22,35703
2015,7,2,23,37032
2015,7,2,24,38084
2015,7,3,1,38874
2015,7,3,2,39362
2015,7,3,3,38901
2015,7,3,4,37774
2015,7,3,5,36246
2015,7,3,6,35561
2015,7,3,7,34302
2015,7,3,8,31760
2015,7,3,9,29105
2015,7,3,10,27038
2015,7,3,11,25447
2015,7,3,12,24330
2015,7,3,13,23949
2015,7,3,14,23921
2015,7,3,15,24152
2015,7,3,16,24635
2015,7,3,17,25351
2015,7,3,18,26745
2015,7,3,19,28038
2015,7,3,20,29144
2015,7,3,21,30245
2015,7,3,22,31401
2015,7,3,23,32852
2015,7,3,24,34310
2015,7,4,1,35519
2015,7,4,2,36452
2015,7,4,3,36746
2015,7,4,4,36125
2015,7,4,5,34843
2015,7,4,6,34109
2015,7,4,7,32991
2015,7,4,8,30902
2015,7,4,9,28528
2015,7,4,10,26609
2015,7,4,11,25154
2015,7,4,12,24386
2015,7,4,13,23674
2015,7,4,14,23356
2015,7,4,15,23335
2015,7,4,16,23140
2015,7,4,17,23985
2015,7,4,18,25355
2015,7,4,19,26730
2015,7,4,20,27764
2015,7,4,21,28988
2015,7,4,22,30145
2015,7,4,23,31105
2015,7,4,24,31887
2015,7,5,1,32703
2015,7,5,2,33125
2015,7,5,3,33206
2015,7,5,4,32732
2015,7,5,5,31490
2015,7,5,6,30676
2015,7,5,7,29545
2015,7,5,8,28679
2015,7,5,9,27265
2015,7,5,10,25666
2015,7,5,11,24277
2015,7,5,12,23275
2015,7,5,13,22819
2015,7,5,14,22697
2015,7,5,15,22697
2015,7,5,16,22531
2015,7,5,17,23154
2015,7,5,18,24252
2015,7,5,19,25419
2015,7,5,20,26308
2015,7,5,21,27216
2015,7,5,22,27838
2015,7,5,23,28259
2015,7,5,24,29178
2015,7,6,1,30418
2015,7,6,2,31285
2015,7,6,3,31817
2015,7,6,4,31803
2015,7,6,5,31181
2015,7,6,6,31055
2015,7,6,7,30257
2015,7,6,8,28294
