BEGIN_DATA
year,month,day,hour,demand (MW)
2015,7,2,1,51756
2015,7,2,2,50171
2015,7,2,3,48655
2015,7,2,4,47667
2015,7,2,5,44629
2015,7,2,6,40754
2015,7,2,7,37547
2015,7,2,8,35199
2015,7,2,9,33637
2015,7,2,10,32759
2015,7,2,11,32536
2015,7,2,12,33527
2015,7,2,13,35196
2015,7,2,14,36637
2015,7,2,15,39221
2015,7,2,16,42398
2015,7,2,17,45675
2015,7,2,18,48667
2015,7,2,19,51260
2015,7,2,20,53719
2015,7,2,21,55525
2015,7,2,22,56836
2015,7,2,23,57505
2015,7,2,24,56807
2015,7,3,1,55044
2015,7,3,2,52776
2015,7,3,3,50986
2015,7,3,4,49845
2015,7,3,5,46817
2015,7,3,6,43307
2015,7,3,7,40173
2015,7,3,8,37954
2015,7,3,9,36353
2015,7,3,10,35346
2015,7,3,11,34981
2015,7,3,12,35402
2015,7,3,13,35919
2015,7,3,14,36447
2015,7,3,15,38820
2015,7,3,16,42009
2015,7,3,17,45201
2015,7,3,18,48116
2015,7,3,19,50501
2015,7,3,20,52232
2015,7,3,21,53443
2015,7,3,22,54180
2015,7,3,23,54510
2015,7,3,24,54028
2015,7,4,1,52732
2015,7,4,2,50673
2015,7,4,3,49028
2015,7,4,4,47940
2015,7,4,5,45385
2015,7,4,6,42470
2015,7,4,7,39566
2015,7,4,8,37379
2015,7,4,9,35757
2015,7,4,10,34698
2015,7,4,11,34057
2015,7,4,12,33939
2015,7,4,13,33910
2015,7,4,14,34456
2015,7,4,15,37333
2015,7,4,16,41075
2015,7,4,17,45018
2015,7,4,18,48470
2015,7,4,19,51173
2015,7,4,20,52980
2015,7,4,21,54226
2015,7,4,22,54755
2015,7,4,23,54722
2015,7,4,24,54308
2015,7,5,1,52974
2015,7,5,2,50742
2015,7,5,3,48474
2015,7,5,4,46782
2015,7,5,5,44767
2015,7,5,6,42872
2015,7,5,7,40437
2015,7,5,8,38209
2015,7,5,9,36459
2015,7,5,10,35240
2015,7,5,11,34500
2015,7,5,12,34275
2015,7,5,13,33984
2015,7,5,14,34489
2015,7,5,15,37297
2015,7,5,16,40940
2015,7,5,17,44533
2015,7,5,18,47856
2015,7,5,19,50701
2015,7,5,20,52879
2015,7,5,21,54568
2015,7,5,22,55685
2015,7,5,23,56335
2015,7,5,24,56405
2015,7,6,1,55512
2015,7,6,2,53679
2015,7,6,3,52057
2015,7,6,4,51238
2015,7,6,5,48381
2015,7,6,6,44766
2015,7,6,7,41716
2015,7,6,8,39612
2015,7,6,9,38216
2015,7,6,10,37343
2015,7,6,11,37325
2015,7,6,12,38482
2015,7,6,13,40081
2015,7,6,14,41317
2015,7,6,15,43577
2015,7,6,16,46689
2015,7,6,17,49913
2015,7,6,18,52908
2015,7,6,19,55354
2015,7,6,20,57435
2015,7,6,21,58925
2015,7,6,22,59711
2015,7,6,23,59930
2015,7,6,24,59304
2015,7,7,1,57860
2015,7,7,2,55746
2015,7,7,3,54110
2015,7,7,4,52898
2015,7,7,5,49409
2015,7,7,6,45439
2015,7,7,7,42025
2015,7,7,8,39906
2015,7,7,9,38581
2015,7,7,10,37850
2015,7,7,11,37916
2015,7,7,12,39148
2015,7,7,13,40895
2015,7,7,14,42087
2015,7,7,15,43999
2015,7,7,16,46636
2015,7,7,17,49708
2015,7,7,18,52015
2015,7,7,19,53759
2015,7,7,20,55421
2015,7,7,21,56694
2015,7,7,22,57189
2015,7,7,23,56906
2015,7,7,24,55872
2015,7,8,1,54385
2015,7,8,2,52647
2015,7,8,3,51754
2015,7,8,4,51032
2015,7,8,5,48208
2015,7,8,6,44611
2015,7,8,7,41550
2015,7,8,8,39577
2015,7,8,9,38291
2015,7,8,10,37544
2015,7,8,11,37545
2015,7,8,12,38747
2015,7,8,13,40249
2015,7,8,14,41210
2015,7,8,15,42927
2015,7,8,16,45307
2015,7,8,17,47839
2015,7,8,18,50133
2015,7,8,19,51675
2015,7,8,20,53007
2015,7,8,21,53892
2015,7,8,22,54698
2015,7,8,23,55243
2015,7,8,24,55120
2015,7,9,1,54163
2015,7,9,2,52435
2015,7,9,3,51291
2015,7,9,4,50386
2015,7,9,5,47339
2015,7,9,6,43762
2015,7,9,7,40674
2015,7,9,8,38644
2015,7,9,9,37246
2015,7,9,10,36413
2015,7,9,11,36291
2015,7,9,12,37340
2015,7,9,13,38847
2015,7,9,14,40093
2015,7,9,15,42543
2015,7,9,16,45601
2015,7,9,17,48847
2015,7,9,18,51624
2015,7,9,19,54256
2015,7,9,20,56757
2015,7,9,21,58875
2015,7,9,22,60458
2015,7,9,23,61133
2015,7,9,24,60661
2015,7,10,1,59092
2015,7,10,2,56622
2015,7,10,3,54311
2015,7,10,4,52761
2015,7,10,5,49075
2015,7,10,6,44771
2015,7,10,7,41144
2015,7,10,8,38589
2015,7,10,9,36785
2015,7,10,10,35688
