BEGIN_DATA
year,month,day,hour,demand (MW)
2015,7,2,1,17653
2015,7,2,2,17286
2015,7,2,3,16701
2015,7,2,4,15220
2015,7,2,5,13594
2015,7,2,6,13011
2015,7,2,7,12881
2015,7,2,8,12635
2015,7,2,9,12426
2015,7,2,10,12459
2015,7,2,11,12942
2015,7,2,12,13642
2015,7,2,13,14158
2015,7,2,14,15123
2015,7,2,15,15784
2015,7,2,16,16339
2015,7,2,17,16730
2015,7,2,18,16988
2015,7,2,19,17270
2015,7,2,20,17394
2015,7,2,21,17342
2015,7,2,22,17280
2015,7,2,23,17139
2015,7,2,24,16726
2015,7,3,1,16305
2015,7,3,2,16178
2015,7,3,3,15779
2015,7,3,4,14564
2015,7,3,5,13356
2015,7,3,6,12463
2015,7,3,7,11827
2015,7,3,8,11543
2015,7,3,9,11491
2015,7,3,10,11705
2015,7,3,11,11785
2015,7,3,12,11714
2015,7,3,13,12415
2015,7,3,14,13099
2015,7,3,15,13793
2015,7,3,16,14295
2015,7,3,17,14614
2015,7,3,18,14792
2015,7,3,19,14984
2015,7,3,20,15227
2015,7,3,21,15551
2015,7,3,22,15947
2015,7,3,23,16186
2015,7,3,24,15858
2015,7,4,1,15256
2015,7,4,2,14964
2015,7,4,3,14578
2015,7,4,4,13600
2015,7,4,5,12491
2015,7,4,6,11669
2015,7,4,7,11348
2015,7,4,8,11348
2015,7,4,9,11349
2015,7,4,10,11283
2015,7,4,11,11274
2015,7,4,12,11574
2015,7,4,13,11956
2015,7,4,14,12243
2015,7,4,15,12809
2015,7,4,16,13352
2015,7,4,17,13635
2015,7,4,18,13828
2015,7,4,19,13749
2015,7,4,20,13511
2015,7,4,21,13334
2015,7,4,22,13297
2015,7,4,23,13386
2015,7,4,24,13371
2015,7,5,1,13208
2015,7,5,2,13137
2015,7,5,3,12953
2015,7,5,4,12421
2015,7,5,5,11655
2015,7,5,6,10803
2015,7,5,7,10678
2015,7,5,8,10755
2015,7,5,9,10711
2015,7,5,10,10885
2015,7,5,11,10675
2015,7,5,12,10368
2015,7,5,13,10611
2015,7,5,14,11543
2015,7,5,15,12519
2015,7,5,16,13338
2015,7,5,17,13975
2015,7,5,18,14510
2015,7,5,19,14883
2015,7,5,20,15226
2015,7,5,21,15647
2015,7,5,22,16138
2015,7,5,23,16595
2015,7,5,24,16653
2015,7,6,1,16440
2015,7,6,2,16383
2015,7,6,3,16084
2015,7,6,4,14848
2015,7,6,5,13411
2015,7,6,6,12775
2015,7,6,7,12634
2015,7,6,8,12607
2015,7,6,9,12590
2015,7,6,10,12640
2015,7,6,11,12575
2015,7,6,12,13004
2015,7,6,13,14476
2015,7,6,14,15660
2015,7,6,15,16665
2015,7,6,16,17625
2015,7,6,17,18394
2015,7,6,18,18838
2015,7,6,19,19262
2015,7,6,20,19504
2015,7,6,21,19680
2015,7,6,22,19896
2015,7,6,23,20011
2015,7,6,24,19683
2015,7,7,1,19154
2015,7,7,2,18843
2015,7,7,3,18103
2015,7,7,4,16373
2015,7,7,5,15134
2015,7,7,6,14126
2015,7,7,7,13627
2015,7,7,8,13608
2015,7,7,9,13501
2015,7,7,10,13659
2015,7,7,11,14141
2015,7,7,12,14813
2015,7,7,13,16068
2015,7,7,14,16864
2015,7,7,15,17751
2015,7,7,16,18678
2015,7,7,17,19376
2015,7,7,18,19910
2015,7,7,19,20424
2015,7,7,20,20699
2015,7,7,21,20835
2015,7,7,22,20867
2015,7,7,23,20831
2015,7,7,24,20474
2015,7,8,1,20000
2015,7,8,2,19794
2015,7,8,3,19039
2015,7,8,4,17421
2015,7,8,5,16032
2015,7,8,6,15512
2015,7,8,7,15199
2015,7,8,8,14746
2015,7,8,9,14464
2015,7,8,10,14589
2015,7,8,11,14968
2015,7,8,12,15884
2015,7,8,13,17112
