BEGIN_DATA
year,month,day,hour,demand (MW)
2015,7,2,1,87106
2015,7,2,2,85142
2015,7,2,3,84173
2015,7,2,4,82404
2015,7,2,5,77086
2015,7,2,6,71479
2015,7,2,7,67323
2015,7,2,8,64587
2015,7,2,9,62873
2015,7,2,10,62138
2015,7,2,11,63253
2015,7,2,12,65794
2015,7,2,13,69326
2015,7,2,14,73047
2015,7,2,15,76123
2015,7,2,16,78943
2015,7,2,17,81634
2015,7,2,18,83930
2015,7,2,19,86153
2015,7,2,20,88073
2015,7,2,21,89456
2015,7,2,22,90025
2015,7,2,23,89977
2015,7,2,24,88840
2015,7,3,1,86617
2015,7,3,2,84035
2015,7,3,3,82697
2015,7,3,4,80747
2015,7,3,5,75547
2015,7,3,6,69890
2015,7,3,7,65701
2015,7,3,8,62852
2015,7,3,9,60966
2015,7,3,10,59757
2015,7,3,11,59940
2015,7,3,12,60735
2015,7,3,13,61883
2015,7,3,14,64948
2015,7,3,15,69386
2015,7,3,16,73575
2015,7,3,17,76766
2015,7,3,18,79045
2015,7,3,19,80973
2015,7,3,20,82617
2015,7,3,21,83892
2015,7,3,22,84849
2015,7,3,23,85395
2015,7,3,24,84955
2015,7,4,1,83036
2015,7,4,2,80300
2015,7,4,3,78827
2015,7,4,4,77143
2015,7,4,5,73104
2015,7,4,6,68519
2015,7,4,7,64265
2015,7,4,8,61292
2015,7,4,9,59282
2015,7,4,10,58046
2015,7,4,11,57636
2015,7,4,12,57350
2015,7,4,13,57551
2015,7,4,14,60515
2015,7,4,15,65163
2015,7,4,16,69930
2015,7,4,17,73838
2015,7,4,18,76903
2015,7,4,19,78837
2015,7,4,20,80112
2015,7,4,21,81067
2015,7,4,22,81992
2015,7,4,23,82468
2015,7,4,24,82044
2015,7,5,1,80122
2015,7,5,2,77235
2015,7,5,3,75163
2015,7,5,4,73266
2015,7,5,5,70980
2015,7,5,6,67902
2015,7,5,7,63897
2015,7,5,8,60809
2015,7,5,9,58759
2015,7,5,10,57506
2015,7,5,11,57221
2015,7,5,12,56964
2015,7,5,13,57347
2015,7,5,14,60406
2015,7,5,15,65280
2015,7,5,16,70697
2015,7,5,17,75485
2015,7,5,18,79724
2015,7,5,19,83357
2015,7,5,20,86119
2015,7,5,21,88217
2015,7,5,22,89997
2015,7,5,23,91034
2015,7,5,24,90976
2015,7,6,1,89452
2015,7,6,2,87034
2015,7,6,3,85840
2015,7,6,4,83864
2015,7,6,5,78545
2015,7,6,6,72845
2015,7,6,7,68584
2015,7,6,8,65545
2015,7,6,9,63804
2015,7,6,10,63297
2015,7,6,11,64521
2015,7,6,12,67543
2015,7,6,13,72132
2015,7,6,14,77275
2015,7,6,15,82152
2015,7,6,16,86928
2015,7,6,17,91549
2015,7,6,18,95720
2015,7,6,19,99066
2015,7,6,20,101417
2015,7,6,21,102825
2015,7,6,22,103393
2015,7,6,23,103568
2015,7,6,24,102585
2015,7,7,1,100344
2015,7,7,2,97132
2015,7,7,3,95304
2015,7,7,4,92450
2015,7,7,5,85847
2015,7,7,6,79485
2015,7,7,7,74799
2015,7,7,8,71534
2015,7,7,9,69525
2015,7,7,10,68737
2015,7,7,11,69604
2015,7,7,12,72559
2015,7,7,13,76281
2015,7,7,14,80373
2015,7,7,15,84005
2015,7,7,16,86954
2015,7,7,17,89764
2015,7,7,18,91352
2015,7,7,19,92327
2015,7,7,20,92854
2015,7,7,21,92444
2015,7,7,22,92119
2015,7,7,23,91618
2015,7,7,24,89881
2015,7,8,1,87774
2015,7,8,2,85566
2015,7,8,3,84684
2015,7,8,4,82651
2015,7,8,5,77091
2015,7,8,6,71420
2015,7,8,7,67593
2015,7,8,8,65069
2015,7,8,9,63466
2015,7,8,10,62952
2015,7,8,11,63900
2015,7,8,12,66601
2015,7,8,13,70209
2015,7,8,14,74415
2015,7,8,15,77787
2015,7,8,16,81125
2015,7,8,17,83513
2015,7,8,18,85499
2015,7,8,19,87222
2015,7,8,20,88581
2015,7,8,21,88844
2015,7,8,22,88550
2015,7,8,23,88336
2015,7,8,24,87661
2015,7,9,1,86374
2015,7,9,2,84621
2015,7,9,3,84202
2015,7,9,4,82461
2015,7,9,5,77300
2015,7,9,6,72281
2015,7,9,7,68378
2015,7,9,8,65969
2015,7,9,9,64337
2015,7,9,10,63697
2015,7,9,11,64737
2015,7,9,12,67887
2015,7,9,13,71516
2015,7,9,14,75436
2015,7,9,15,79129
2015,7,9,16,82495
2015,7,9,17,85800
2015,7,9,18,88352
2015,7,9,19,90689
2015,7,9,20,92741
2015,7,9,21,93858
2015,7,9,22,94569
2015,7,9,23,95078
2015,7,9,24,94101
2015,7,10,1,92121
2015,7,10,2,89799
2015,7,10,3,88669
2015,7,10,4,86432
2015,7,10,5,80746
2015,7,10,6,74743
2015,7,10,7,70344
2015,7,10,8,67178
2015,7,10,9,65249
2015,7,10,10,64582
2015,7,10,11,65469
2015,7,10,12,68057
2015,7,10,13,71739
2015,7,10,14,76326
2015,7,10,15,80952
2015,7,10,16,85176
2015,7,10,17,89319
2015,7,10,18,92469
2015,7,10,19,95174
2015,7,10,20,97250
2015,7,10,21,98481
2015,7,10,22,99101
2015,7,10,23,99082
2015,7,10,24,97974
2015,7,11,1,95691
2015,7,11,2,92371
2015,7,11,3,90359
2015,7,11,4,88076
2015,7,11,5,82365
2015,7,11,6,76340
2015,7,11,7,71373
2015,7,11,8,67658
2015,7,11,9,65420
2015,7,11,10,63903
2015,7,11,11,63694
2015,7,11,12,64013
2015,7,11,13,65037
2015,7,11,14,68956
2015,7,11,15,74549
2015,7,11,16,80219
2015,7,11,17,84994
2015,7,11,18,88810
2015,7,11,19,91435
2015,7,11,20,93580
2015,7,11,21,95032
2015,7,11,22,95989
2015,7,11,23,96309
2015,7,11,24,96065
2015,7,12,1,94498
2015,7,12,2,91869
2015,7,12,3,90131
2015,7,12,4,88220
2015,7,12,5,82988
2015,7,12,6,77570
2015,7,12,7,72966
2015,7,12,8,69463
2015,7,12,9,67048
2015,7,12,10,65408
2015,7,12,11,64695
2015,7,12,12,64409
2015,7,12,13,64555
2015,7,12,14,68505
2015,7,12,15,74669
2015,7,12,16,80655
2015,7,12,17,86101
2015,7,12,18,90792
2015,7,12,19,94632
2015,7,12,20,97700
2015,7,12,21,100013
2015,7,12,22,102093
2015,7,12,23,103672
2015,7,12,24,104461
2015,7,13,1,103534
2015,7,13,2,100717
2015,7,13,3,98663
2015,7,13,4,96121
2015,7,13,5,89659
2015,7,13,6,82631
2015,7,13,7,77445
2015,7,13,8,73817
2015,7,13,9,71436
2015,7,13,10,70583
2015,7,13,11,71475
2015,7,13,12,74294
2015,7,13,13,78485
2015,7,13,14,84135
2015,7,13,15,89764
2015,7,13,16,94831
2015,7,13,17,99533
2015,7,13,18,103796
2015,7,13,19,106608
2015,7,13,20,109007
2015,7,13,21,111058
2015,7,13,22,112784
2015,7,13,23,114067
2015,7,13,24,113907
2015,7,14,1,112095
2015,7,14,2,108836
2015,7,14,3,106119
2015,7,14,4,101872
2015,7,14,5,94282
2015,7,14,6,86772
2015,7,14,7,81111
2015,7,14,8,77106
2015,7,14,9,74603
2015,7,14,10,73190
2015,7,14,11,73893
2015,7,14,12,76556
2015,7,14,13,80594
2015,7,14,14,86345
2015,7,14,15,91793
2015,7,14,16,96669
2015,7,14,17,101420
2015,7,14,18,105295
2015,7,14,19,108273
2015,7,14,20,110582
2015,7,14,21,111637
2015,7,14,22,111885
2015,7,14,23,111437
2015,7,14,24,109853
2015,7,15,1,106904
2015,7,15,2,102790
2015,7,15,3,99954
2015,7,15,4,96730
2015,7,15,5,89345
2015,7,15,6,81951
2015,7,15,7,76682
2015,7,15,8,72850
2015,7,15,9,70308
2015,7,15,10,69045
2015,7,15,11,69399
2015,7,15,12,71921
2015,7,15,13,75433
2015,7,15,14,80073
2015,7,15,15,84371
2015,7,15,16,88690
2015,7,15,17,92571
2015,7,15,18,96243
2015,7,15,19,99214
2015,7,15,20,101693
2015,7,15,21,103513
2015,7,15,22,104167
2015,7,15,23,104273
2015,7,15,24,101971
2015,7,16,1,100619
2015,7,16,2,97380
2015,7,16,3,95540
2015,7,16,4,92567
2015,7,16,5,86118
2015,7,16,6,79340
2015,7,16,7,74516
2015,7,16,8,71130
2015,7,16,9,68975
2015,7,16,10,68016
2015,7,16,11,68835
2015,7,16,12,71732
2015,7,16,13,75506
2015,7,16,14,80078
2015,7,16,15,84487
2015,7,16,16,88561
2015,7,16,17,92539
2015,7,16,18,95761
2015,7,16,19,98323
2015,7,16,20,100905
2015,7,16,21,102538
2015,7,16,22,103337
2015,7,16,23,103576
2015,7,16,24,102590
2015,7,17,1,100815
2015,7,17,2,98525
2015,7,17,3,97319
2015,7,17,4,94288
2015,7,17,5,88164
2015,7,17,6,81992
2015,7,17,7,77289
2015,7,17,8,73985
2015,7,17,9,71830
2015,7,17,10,70859
2015,7,17,11,71846
2015,7,17,12,75140
2015,7,17,13,78982
2015,7,17,14,84445
2015,7,17,15,90271
2015,7,17,16,95905
2015,7,17,17,101119
2015,7,17,18,105651
2015,7,17,19,109157
2015,7,17,20,112092
2015,7,17,21,113991
2015,7,17,22,114478
2015,7,17,23,114278
2015,7,17,24,113313
2015,7,18,1,110653
2015,7,18,2,107087
2015,7,18,3,104329
2015,7,18,4,101095
2015,7,18,5,94481
2015,7,18,6,87568
2015,7,18,7,81700
2015,7,18,8,77055
2015,7,18,9,73844
2015,7,18,10,72012
2015,7,18,11,71360
2015,7,18,12,71732
2015,7,18,13,72851
2015,7,18,14,77549
2015,7,18,15,84267
2015,7,18,16,91148
2015,7,18,17,96865
2015,7,18,18,101094
2015,7,18,19,103628
2015,7,18,20,105461
2015,7,18,21,107196
2015,7,18,22,108454
2015,7,18,23,109195
2015,7,18,24,108719
2015,7,19,1,106444
2015,7,19,2,103205
2015,7,19,3,100218
2015,7,19,4,97159
2015,7,19,5,91114
2015,7,19,6,84847
2015,7,19,7,79458
2015,7,19,8,75471
2015,7,19,9,72574
2015,7,19,10,70724
2015,7,19,11,69775
2015,7,19,12,68986
2015,7,19,13,69612
2015,7,19,14,73522
2015,7,19,15,79377
2015,7,19,16,84929
2015,7,19,17,89643
2015,7,19,18,93363
2015,7,19,19,96539
2015,7,19,20,99045
2015,7,19,21,101198
2015,7,19,22,102694
2015,7,19,23,103864
2015,7,19,24,104260
2015,7,20,1,102818
2015,7,20,2,99750
2015,7,20,3,97376
2015,7,20,4,94312
2015,7,20,5,88015
2015,7,20,6,81641
2015,7,20,7,76834
2015,7,20,8,73475
2015,7,20,9,71353
2015,7,20,10,70329
2015,7,20,11,71392
2015,7,20,12,74395
2015,7,20,13,78750
2015,7,20,14,84277
2015,7,20,15,89674
2015,7,20,16,94610
2015,7,20,17,99156
2015,7,20,18,102783
2015,7,20,19,105686
2015,7,20,20,108076
2015,7,20,21,109254
2015,7,20,22,109427
2015,7,20,23,109294
2015,7,20,24,108199
2015,7,21,1,105962
2015,7,21,2,102920
2015,7,21,3,100385
2015,7,21,4,96866
2015,7,21,5,89568
2015,7,21,6,82648
2015,7,21,7,77459
2015,7,21,8,73824
2015,7,21,9,71569
2015,7,21,10,70446
2015,7,21,11,71321
2015,7,21,12,74119
2015,7,21,13,77754
2015,7,21,14,82659
2015,7,21,15,87513
2015,7,21,16,92013
2015,7,21,17,96337
2015,7,21,18,99674
2015,7,21,19,102244
2015,7,21,20,104363
2015,7,21,21,105599
2015,7,21,22,106193
2015,7,21,23,106124
2015,7,21,24,104975
2015,7,22,1,102745
2015,7,22,2,99088
2015,7,22,3,96458
2015,7,22,4,93277
2015,7,22,5,86285
2015,7,22,6,79448
2015,7,22,7,74452
2015,7,22,8,71076
2015,7,22,9,69009
2015,7,22,10,68076
2015,7,22,11,68929
2015,7,22,12,71729
2015,7,22,13,75571
2015,7,22,14,80321
2015,7,22,15,84944
2015,7,22,16,89326
2015,7,22,17,93607
2015,7,22,18,96921
2015,7,22,19,99951
2015,7,22,20,102594
2015,7,22,21,104193
2015,7,22,22,104764
2015,7,22,23,104866
2015,7,22,24,103947
2015,7,23,1,101733
2015,7,23,2,98505
2015,7,23,3,96449
2015,7,23,4,93284
2015,7,23,5,86648
2015,7,23,6,80068
2015,7,23,7,75151
2015,7,23,8,71741
2015,7,23,9,69535
2015,7,23,10,68607
2015,7,23,11,69531
2015,7,23,12,72440
2015,7,23,13,76344
2015,7,23,14,81066
2015,7,23,15,86393
2015,7,23,16,91507
2015,7,23,17,96456
2015,7,23,18,100529
2015,7,23,19,104146
2015,7,23,20,107073
2015,7,23,21,109309
2015,7,23,22,110587
2015,7,23,23,111084
2015,7,23,24,110601
2015,7,24,1,108054
2015,7,24,2,104401
2015,7,24,3,101751
2015,7,24,4,98318
2015,7,24,5,90980
2015,7,24,6,83873
2015,7,24,7,78328
2015,7,24,8,74610
2015,7,24,9,72066
2015,7,24,10,70710
2015,7,24,11,71544
2015,7,24,12,74152
2015,7,24,13,77827
2015,7,24,14,82929
2015,7,24,15,88227
2015,7,24,16,93775
2015,7,24,17,98867
2015,7,24,18,103280
2015,7,24,19,107035
2015,7,24,20,109933
2015,7,24,21,111753
2015,7,24,22,112936
2015,7,24,23,113274
2015,7,24,24,112180
2015,7,25,1,109461
2015,7,25,2,105507
2015,7,25,3,102542
2015,7,25,4,98888
2015,7,25,5,92013
2015,7,25,6,84958
2015,7,25,7,79524
2015,7,25,8,75356
2015,7,25,9,72487
2015,7,25,10,70628
2015,7,25,11,70248
2015,7,25,12,70531
2015,7,25,13,71625
2015,7,25,14,75940
2015,7,25,15,82236
2015,7,25,16,88399
2015,7,25,17,93522
2015,7,25,18,98175
2015,7,25,19,101854
2015,7,25,20,104502
2015,7,25,21,106736
2015,7,25,22,108421
2015,7,25,23,108532
2015,7,25,24,107570
2015,7,26,1,104767
2015,7,26,2,100984
2015,7,26,3,98463
2015,7,26,4,94937
2015,7,26,5,88833
2015,7,26,6,82572
2015,7,26,7,77466
2015,7,26,8,73470
2015,7,26,9,70746
2015,7,26,10,68815
2015,7,26,11,67785
2015,7,26,12,67508
2015,7,26,13,67770
2015,7,26,14,71494
2015,7,26,15,77546
2015,7,26,16,83606
2015,7,26,17,88709
2015,7,26,18,93370
2015,7,26,19,97457
2015,7,26,20,100333
2015,7,26,21,102512
2015,7,26,22,104141
2015,7,26,23,105360
2015,7,26,24,105308
2015,7,27,1,103796
2015,7,27,2,100760
2015,7,27,3,98801
2015,7,27,4,95787
2015,7,27,5,89286
2015,7,27,6,82663
2015,7,27,7,77677
2015,7,27,8,74185
2015,7,27,9,72028
2015,7,27,10,71127
2015,7,27,11,72310
2015,7,27,12,75631
2015,7,27,13,79820
2015,7,27,14,85631
2015,7,27,15,91641
2015,7,27,16,97907
2015,7,27,17,104004
2015,7,27,18,109013
2015,7,27,19,113239
2015,7,27,20,116438
2015,7,27,21,118060
2015,7,27,22,119110
2015,7,27,23,119043
2015,7,27,24,117665
2015,7,28,1,115190
2015,7,28,2,111321
2015,7,28,3,108618
2015,7,28,4,103920
2015,7,28,5,96007
2015,7,28,6,88316
2015,7,28,7,82643
2015,7,28,8,78446
2015,7,28,9,75659
2015,7,28,10,74292
2015,7,28,11,74899
2015,7,28,12,78020
2015,7,28,13,82157
2015,7,28,14,87374
2015,7,28,15,93455
2015,7,28,16,99373
2015,7,28,17,105229
2015,7,28,18,110198
2015,7,28,19,114461
2015,7,28,20,117350
2015,7,28,21,119216
2015,7,28,22,119602
2015,7,28,23,119198
2015,7,28,24,117780
2015,7,29,1,115529
2015,7,29,2,112321
2015,7,29,3,109585
2015,7,29,4,104809
2015,7,29,5,96930
2015,7,29,6,89291
2015,7,29,7,83693
2015,7,29,8,79504
2015,7,29,9,77046
2015,7,29,10,75850
2015,7,29,11,76600
2015,7,29,12,79891
2015,7,29,13,83625
2015,7,29,14,88258
2015,7,29,15,93459
2015,7,29,16,99060
2015,7,29,17,104494
2015,7,29,18,108733
2015,7,29,19,112051
2015,7,29,20,115318
2015,7,29,21,116959
2015,7,29,22,116892
2015,7,29,23,116620
2015,7,29,24,114929
2015,7,30,1,111830
2015,7,30,2,107402
2015,7,30,3,104110
2015,7,30,4,99726
2015,7,30,5,91848
2015,7,30,6,84246
2015,7,30,7,79002
2015,7,30,8,75075
2015,7,30,9,72474
2015,7,30,10,71299
2015,7,30,11,71989
2015,7,30,12,74907
2015,7,30,13,78347
2015,7,30,14,83339
2015,7,30,15,88562
2015,7,30,16,93504
2015,7,30,17,98952
2015,7,30,18,103337
2015,7,30,19,106861
2015,7,30,20,109758
2015,7,30,21,111899
2015,7,30,22,112928
2015,7,30,23,112298
2015,7,30,24,110061
2015,7,31,1,107182
2015,7,31,2,103277
2015,7,31,3,100655
2015,7,31,4,96814
