BEGIN_DATA,,,,
Year,Month,Day,Hour,solar 25% top
2017,1,1,4,0.0004403175000130613
2017,1,1,8,1.3061329361824248e-14
2017,1,1,12,1.3061329361824248e-14
2017,1,1,16,0.09382753225001306
2017,1,1,20,0.5022956847500131
2017,1,1,24,0.41100430500001306
2017,1,2,4,0.0005534240000130697
2017,1,2,8,1.3069623508443762e-14
2017,1,2,12,1.3069623508443762e-14
2017,1,2,16,0.07495692625001307
2017,1,2,20,0.3665580607500131
2017,1,2,24,0.25437061025001306
2017,1,3,4,0.0004520272500130665
2017,1,3,8,1.3066479322143554e-14
2017,1,3,12,1.3066479322143554e-14
2017,1,3,16,0.06889133550001307
2017,1,3,20,0.4119106145000131
2017,1,3,24,0.30565268600001316
2017,1,4,4,0.0001871340000131408
2017,1,4,8,1.3140774276013123e-14
2017,1,4,12,1.3140774276013123e-14
2017,1,4,16,0.07495168650001315
2017,1,4,20,0.41222718025001315
2017,1,4,24,0.3253706745000133
2017,1,5,4,0.00016787000001328156
2017,1,5,8,1.3281557928110366e-14
2017,1,5,12,1.3281557928110366e-14
2017,1,5,16,0.07251571675001328
2017,1,5,20,0.3972259120000133
2017,1,5,24,0.33016141875001326
2017,1,6,4,0.00066082825001329
2017,1,6,8,1.3290041810110065e-14
2017,1,6,12,1.3290041810110065e-14
2017,1,6,16,0.10748886475001329
2017,1,6,20,0.5813374442500133
2017,1,6,24,0.5071427752500134
2017,1,7,4,0.0006921180000133767
2017,1,7,8,1.3376669563691657e-14
2017,1,7,12,1.3376669563691657e-14
2017,1,7,16,0.10809146125001338
2017,1,7,20,0.43949225550001336
2017,1,7,24,0.34727423825001336
2017,1,8,4,0.00017573875001335518
2017,1,8,8,1.3355175255622131e-14
2017,1,8,12,1.3355175255622131e-14
2017,1,8,16,0.09926333772501335
2017,1,8,20,0.45784561800001344
2017,1,8,24,0.37987370300001333
2017,1,9,4,0.0003313692500133275
2017,1,9,8,1.3327500995169439e-14
2017,1,9,12,1.3327500995169439e-14
2017,1,9,16,0.06676694850001333
2017,1,9,20,0.33753916450001337
2017,1,9,24,0.2842863437500134
2017,1,10,4,0.00032990750001338914
2017,1,10,8,1.338913788867524e-14
2017,1,10,12,1.338913788867524e-14
2017,1,10,16,0.0855767477500134
2017,1,10,20,0.4085025757500135
2017,1,10,24,0.3266309307500135
2017,1,11,4,0.00024005825001349734
2017,1,11,8,1.3497341265489293e-14
2017,1,11,12,1.3497341265489293e-14
2017,1,11,16,0.09050223513751349
2017,1,11,20,0.48363871525001345
2017,1,11,24,0.41138907100001343
2017,1,12,4,0.0004807442500134179
2017,1,12,8,1.3417869246246106e-14
2017,1,12,12,1.3417869246246106e-14
2017,1,12,16,0.08062812375001342
2017,1,12,20,0.37151566700001337
2017,1,12,24,0.2744043287500134
2017,1,13,4,0.0008323485000134301
2017,1,13,8,1.3430012310577943e-14
2017,1,13,12,1.3430012310577943e-14
2017,1,13,16,0.04299476675001343
2017,1,13,20,0.3586590790000135
2017,1,13,24,0.2791884260000135
2017,1,14,4,0.0012655600000134742
2017,1,14,8,1.3474247759215352e-14
2017,1,14,12,1.3474247759215352e-14
2017,1,14,16,0.05313714175001348
2017,1,14,20,0.4121101942500135
2017,1,14,24,0.3537621095000135
2017,1,15,4,0.0016620645000135492
2017,1,15,8,1.3549057709116852e-14
2017,1,15,12,1.3549057709116852e-14
2017,1,15,16,0.045479076750013545
2017,1,15,20,0.39037832200001354
2017,1,15,24,0.3530369435000136
2017,1,16,4,0.0016512310000135685
2017,1,16,8,1.3568573348221591e-14
2017,1,16,12,1.3568573348221591e-14
2017,1,16,16,0.10180319025001358
2017,1,16,20,0.5479467220000135
2017,1,16,24,0.44583587175001355
2017,1,17,4,0.0020723932500135434
2017,1,17,8,1.3543419857819927e-14
2017,1,17,12,1.3543419857819927e-14
2017,1,17,16,0.13053241825001355
2017,1,17,20,0.5728338647500137
2017,1,17,24,0.4522669720000137
2017,1,18,4,0.0018365717500136713
2017,1,18,8,1.3671355714173217e-14
2017,1,18,12,1.3671355714173217e-14
2017,1,18,16,0.12332746825001367
2017,1,18,20,0.5595721990000136
2017,1,18,24,0.4296216185000137
2017,1,19,4,0.00039949975001365295
2017,1,19,8,1.3652978487349587e-14
2017,1,19,12,1.3652978487349587e-14
2017,1,19,16,0.10324346075001367
2017,1,19,20,0.4582140352500138
2017,1,19,24,0.3792749260000139
2017,1,20,4,0.0020618887500139446
2017,1,20,8,1.3944574661639564e-14
2017,1,20,12,1.3944574661639564e-14
2017,1,20,16,0.08769226175001393
2017,1,20,20,0.40707248425001397
2017,1,20,24,0.29898480700001395
2017,1,21,4,0.0011766962500139588
2017,1,21,8,1.3958886130316372e-14
2017,1,21,12,1.3958886130316372e-14
2017,1,21,16,0.07509323875001396
2017,1,21,20,0.4246419150000139
2017,1,21,24,0.3626183460000139
2017,1,22,4,0.0010796095000138867
2017,1,22,8,1.3886678265628838e-14
2017,1,22,12,1.3886678265628838e-14
2017,1,22,16,0.1261255310000139
2017,1,22,20,0.5008903040000139
2017,1,22,24,0.379494472250014
2017,1,23,4,0.001769552250013906
2017,1,23,8,1.390597706429908e-14
2017,1,23,12,1.390597706429908e-14
2017,1,23,16,0.1132004255000139
2017,1,23,20,0.4776380197500139
2017,1,23,24,0.367659101250014
2017,1,24,4,0.0017838267500139907
2017,1,24,8,1.3990761674187446e-14
2017,1,24,12,1.3990761674187446e-14
2017,1,24,16,0.12041404525001399
2017,1,24,20,0.5502308597500138
2017,1,24,24,0.429175831750014
2017,1,25,4,0.0037939280000139908
2017,1,25,8,1.3990978514621943e-14
2017,1,25,12,1.3990978514621943e-14
2017,1,25,16,0.152798883250014
2017,1,25,20,0.6179152380000139
2017,1,25,24,0.5092067125000137
2017,1,26,4,0.003908507000013731
2017,1,26,8,1.3730336312356428e-14
2017,1,26,12,1.3730336312356428e-14
2017,1,26,16,0.16763750150001372
2017,1,26,20,0.6391624912500137
2017,1,26,24,0.5115333392500137
2017,1,27,4,0.004699681750013632
2017,1,27,8,1.363145707422575e-14
2017,1,27,12,1.363145707422575e-14
2017,1,27,16,0.17369378800001362
2017,1,27,20,0.6685284520000137
2017,1,27,24,0.5611578040000138
2017,1,28,4,0.005272179000013769
2017,1,28,8,1.3768500228827918e-14
2017,1,28,12,1.3768500228827918e-14
2017,1,28,16,0.1827314985000138
2017,1,28,20,0.6645651162500137
2017,1,28,24,0.5733609735000138
2017,1,29,4,0.004818408750013742
2017,1,29,8,1.3741612014950277e-14
2017,1,29,12,1.3741612014950277e-14
2017,1,29,16,0.18326472575001376
2017,1,29,20,0.6733148970000138
2017,1,29,24,0.586339228750014
2017,1,30,4,0.005355910250013987
2017,1,30,8,1.3987075386800996e-14
2017,1,30,12,1.3987075386800996e-14
2017,1,30,16,0.177432587500014
2017,1,30,20,0.665451718500014
2017,1,30,24,0.5825243655000141
2017,1,31,4,0.006184076500014027
2017,1,31,8,1.4026974026748462e-14
2017,1,31,12,1.4026974026748462e-14
2017,1,31,16,0.18481825825001402
2017,1,31,20,0.6638822955000141
2017,1,31,24,0.5689313167500142
2017,2,1,4,0.0063339607500141615
2017,2,1,8,1.4162282457874653e-14
2017,2,1,12,1.4162282457874653e-14
2017,2,1,16,0.16703964400001417
2017,2,1,20,0.6204043637500142
2017,2,1,24,0.5497814865000142
2017,2,2,4,0.005538374250014244
2017,2,2,8,1.4243814461245563e-14
