Data prepared by Tyler R. & Dave F.,,,,
Data corresponds to inputs from 54 balancing authorities summed together post anomaly identification and imputation.,,,,
This provides coverage over all of CONUS.,,,,
The two excluded balancing authorities (SEC and OVEC) account for less than 0.1% of the CONUS total.,,,,
This file corresponds to an updated data cleaning round with one additional year of data included compared to that found in the final version of data published in,,,,
Scientific Data: https://zenodo.org/record/3690240,,,,
Data was querried from the EIA database on 28 Sept 2020,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,demand (MW)
2015,7,1,24,578291
2015,7,2,1,567731
2015,7,2,2,556167
2015,7,2,3,533399
2015,7,2,4,497969
2015,7,2,5,464999
2015,7,2,6,440720
2015,7,2,7,417334
2015,7,2,8,400563
2015,7,2,9,392772
2015,7,2,10,395089
2015,7,2,11,406618
2015,7,2,12,422447
2015,7,2,13,442971
2015,7,2,14,466266
2015,7,2,15,492353
2015,7,2,16,516955
2015,7,2,17,537726
2015,7,2,18,554969
2015,7,2,19,567045
2015,7,2,20,574652
2015,7,2,21,578324
2015,7,2,22,578692
2015,7,2,23,570881
2015,7,2,24,559382
2015,7,3,1,546681
2015,7,3,2,535961
2015,7,3,3,513891
2015,7,3,4,482342
2015,7,3,5,451471
2015,7,3,6,425757
2015,7,3,7,404018
2015,7,3,8,388237
2015,7,3,9,378858
2015,7,3,10,376375
2015,7,3,11,378008
2015,7,3,12,384845
2015,7,3,13,400874
2015,7,3,14,424888
2015,7,3,15,450802
2015,7,3,16,473488
2015,7,3,17,494500
2015,7,3,18,512083
2015,7,3,19,526418
2015,7,3,20,536799
2015,7,3,21,544734
2015,7,3,22,548294
2015,7,3,23,543405
2015,7,3,24,533053
2015,7,4,1,522078
2015,7,4,2,512299
2015,7,4,3,494067
2015,7,4,4,466359
2015,7,4,5,439409
2015,7,4,6,413588
2015,7,4,7,393541
2015,7,4,8,378592
2015,7,4,9,367746
2015,7,4,10,362230
2015,7,4,11,359419
2015,7,4,12,361222
2015,7,4,13,375299
2015,7,4,14,401405
2015,7,4,15,429756
2015,7,4,16,456811
2015,7,4,17,479476
2015,7,4,18,497479
2015,7,4,19,510179
2015,7,4,20,520108
2015,7,4,21,527456
2015,7,4,22,529249
2015,7,4,23,523506
2015,7,4,24,510118
2015,7,5,1,494396
2015,7,5,2,480684
2015,7,5,3,465384
2015,7,5,4,447116
2015,7,5,5,424436
2015,7,5,6,401602
2015,7,5,7,383887
2015,7,5,8,371025
2015,7,5,9,362116
2015,7,5,10,356767
2015,7,5,11,352945
2015,7,5,12,355443
2015,7,5,13,372485
2015,7,5,14,399358
2015,7,5,15,429493
2015,7,5,16,459152
2015,7,5,17,486834
2015,7,5,18,510689
2015,7,5,19,528971
2015,7,5,20,542991
2015,7,5,21,552984
2015,7,5,22,557821
2015,7,5,23,555576
2015,7,5,24,546501
2015,7,6,1,535502
2015,7,6,2,527181
2015,7,6,3,508846
2015,7,6,4,478428
2015,7,6,5,448272
2015,7,6,6,423895
2015,7,6,7,404324
2015,7,6,8,391407
2015,7,6,9,385513
2015,7,6,10,389850
2015,7,6,11,402997
2015,7,6,12,425372
2015,7,6,13,451777
2015,7,6,14,481029
2015,7,6,15,512657
2015,7,6,16,543774
2015,7,6,17,571119
2015,7,6,18,597170
2015,7,6,19,613060
2015,7,6,20,623383
2015,7,6,21,629319
2015,7,6,22,631868
2015,7,6,23,624091
2015,7,6,24,609990
2015,7,7,1,593468
2015,7,7,2,580021
2015,7,7,3,553619
2015,7,7,4,516523
2015,7,7,5,481138
2015,7,7,6,452405
2015,7,7,7,429878
2015,7,7,8,414359
2015,7,7,9,407366
2015,7,7,10,411400
2015,7,7,11,425383
2015,7,7,12,445922
2015,7,7,13,469269
2015,7,7,14,496913
2015,7,7,15,526592
2015,7,7,16,554710
2015,7,7,17,576077
2015,7,7,18,593575
2015,7,7,19,604623
2015,7,7,20,610356
2015,7,7,21,611991
2015,7,7,22,611411
2015,7,7,23,603138
2015,7,7,24,589261
2015,7,8,1,576431
2015,7,8,2,565073
2015,7,8,3,540260
2015,7,8,4,505537
2015,7,8,5,473162
2015,7,8,6,447056
2015,7,8,7,425574
2015,7,8,8,410198
2015,7,8,9,403328
2015,7,8,10,407027
2015,7,8,11,421120
2015,7,8,12,439176
2015,7,8,13,460653
2015,7,8,14,484578
2015,7,8,15,512227
2015,7,8,16,537903
2015,7,8,17,559755
2015,7,8,18,576919
2015,7,8,19,590169
2015,7,8,20,596685
2015,7,8,21,598595
2015,7,8,22,597122
2015,7,8,23,590932
2015,7,8,24,579935
2015,7,9,1,567838
2015,7,9,2,558402
2015,7,9,3,534630
2015,7,9,4,500770
2015,7,9,5,469731
2015,7,9,6,443445
2015,7,9,7,422324
2015,7,9,8,406993
2015,7,9,9,400026
2015,7,9,10,404601
2015,7,9,11,419473
2015,7,9,12,438110
2015,7,9,13,459805
2015,7,9,14,485850
2015,7,9,15,514315
2015,7,9,16,541625
2015,7,9,17,563738
2015,7,9,18,583283
2015,7,9,19,597651
2015,7,9,20,607686
2015,7,9,21,614150
2015,7,9,22,615505
2015,7,9,23,608485
2015,7,9,24,594851
2015,7,10,1,579494
2015,7,10,2,565977
2015,7,10,3,541404
2015,7,10,4,507036
2015,7,10,5,473688
2015,7,10,6,448263
2015,7,10,7,425056
2015,7,10,8,408858
2015,7,10,9,400689
2015,7,10,10,403401
2015,7,10,11,415045
2015,7,10,12,433780
2015,7,10,13,456879
2015,7,10,14,486203
2015,7,10,15,517041
2015,7,10,16,546144
2015,7,10,17,568718
2015,7,10,18,587720
2015,7,10,19,603030
2015,7,10,20,612714
2015,7,10,21,619281
2015,7,10,22,619658
2015,7,10,23,611043
2015,7,10,24,594411
2015,7,11,1,573857
2015,7,11,2,558529
2015,7,11,3,535425
2015,7,11,4,502844
2015,7,11,5,470797
2015,7,11,6,441745
2015,7,11,7,419730
2015,7,11,8,402723
2015,7,11,9,391544
2015,7,11,10,386766
2015,7,11,11,386441
2015,7,11,12,393070
2015,7,11,13,415479
2015,7,11,14,446685
2015,7,11,15,481741
2015,7,11,16,514526
2015,7,11,17,541293
2015,7,11,18,561574
2015,7,11,19,576564
2015,7,11,20,587391
2015,7,11,21,595182
2015,7,11,22,597367
2015,7,11,23,592272
2015,7,11,24,579498
2015,7,12,1,562767
2015,7,12,2,550857
2015,7,12,3,529317
2015,7,12,4,498990
2015,7,12,5,467851
2015,7,12,6,440330
2015,7,12,7,417617
2015,7,12,8,400153
2015,7,12,9,388610
2015,7,12,10,382453
2015,7,12,11,379539
2015,7,12,12,383135
2015,7,12,13,402339
2015,7,12,14,435187
2015,7,12,15,469464
2015,7,12,16,502221
2015,7,12,17,532493
2015,7,12,18,557013
2015,7,12,19,576100
2015,7,12,20,590641
2015,7,12,21,602074
2015,7,12,22,606802
2015,7,12,23,608197
2015,7,12,24,601223
2015,7,13,1,587089
2015,7,13,2,576594
2015,7,13,3,554511
2015,7,13,4,519077
2015,7,13,5,483281
2015,7,13,6,456020
2015,7,13,7,434396
2015,7,13,8,417868
2015,7,13,9,410134
2015,7,13,10,413454
2015,7,13,11,427841
2015,7,13,12,449003
2015,7,13,13,476484
2015,7,13,14,508598
2015,7,13,15,543245
2015,7,13,16,577464
2015,7,13,17,606511
2015,7,13,18,630713
2015,7,13,19,647975
2015,7,13,20,660059
2015,7,13,21,668043
2015,7,13,22,671498
2015,7,13,23,666690
2015,7,13,24,653263
2015,7,14,1,636574
2015,7,14,2,619591
2015,7,14,3,588136
2015,7,14,4,548074
2015,7,14,5,508257
2015,7,14,6,477221
2015,7,14,7,452144
2015,7,14,8,434893
2015,7,14,9,425997
2015,7,14,10,429912
2015,7,14,11,443899
2015,7,14,12,462974
2015,7,14,13,488082
2015,7,14,14,517115
2015,7,14,15,547633
2015,7,14,16,575924
2015,7,14,17,600958
2015,7,14,18,621094
2015,7,14,19,637817
2015,7,14,20,648980
2015,7,14,21,656018
2015,7,14,22,658183
2015,7,14,23,651188
2015,7,14,24,638565
2015,7,15,1,619861
2015,7,15,2,601986
2015,7,15,3,574169
2015,7,15,4,535697
2015,7,15,5,498549
2015,7,15,6,468171
2015,7,15,7,443748
2015,7,15,8,426387
2015,7,15,9,417214
2015,7,15,10,419720
2015,7,15,11,433994
2015,7,15,12,452384
2015,7,15,13,473912
2015,7,15,14,499617
2015,7,15,15,527592
2015,7,15,16,553528
2015,7,15,17,575614
2015,7,15,18,594355
2015,7,15,19,610213
2015,7,15,20,622059
2015,7,15,21,629996
2015,7,15,22,633281
2015,7,15,23,625784
2015,7,15,24,613318
2015,7,16,1,596770
2015,7,16,2,582568
2015,7,16,3,555193
2015,7,16,4,518132
2015,7,16,5,481412
2015,7,16,6,451650
2015,7,16,7,427829
2015,7,16,8,410738
2015,7,16,9,402237
2015,7,16,10,405537
2015,7,16,11,418053
2015,7,16,12,435652
2015,7,16,13,456958
2015,7,16,14,483231
2015,7,16,15,511450
2015,7,16,16,538956
2015,7,16,17,562402
2015,7,16,18,582567
2015,7,16,19,599887
2015,7,16,20,614229
2015,7,16,21,624551
2015,7,16,22,630399
