BEGIN_DATA,,,,
year,month,day,hour,demand (MW)
2017,1,1,4,445379.5
2017,1,1,8,397041.75
2017,1,1,12,371927.5
2017,1,1,16,391216.5
2017,1,1,20,401776.25
2017,1,1,24,413989.25
2017,1,2,4,432468.0
2017,1,2,8,379216.5
2017,1,2,12,360232.25
2017,1,2,16,406619.75
2017,1,2,20,440516.25
2017,1,2,24,452770.75
2017,1,3,4,457340.25
2017,1,3,8,388041.5
2017,1,3,12,378568.25
2017,1,3,16,453586.75
2017,1,3,20,473246.0
2017,1,3,24,481760.25
2017,1,4,4,488643.5
2017,1,4,8,418829.25
2017,1,4,12,412497.5
2017,1,4,16,487331.0
2017,1,4,20,486039.0
2017,1,4,24,494004.25
2017,1,5,4,520152.25
2017,1,5,8,456115.75
2017,1,5,12,452470.25
2017,1,5,16,522553.75
2017,1,5,20,516199.0
2017,1,5,24,521778.0
2017,1,6,4,537346.0
2017,1,6,8,473234.25
2017,1,6,12,470804.75
2017,1,6,16,547660.75
2017,1,6,20,547870.25
2017,1,6,24,552774.5
2017,1,7,4,566831.5
2017,1,7,8,514787.0
2017,1,7,12,502975.0
2017,1,7,16,551367.0
2017,1,7,20,546869.5
2017,1,7,24,534991.5
2017,1,8,4,565266.25
2017,1,8,8,524026.25
2017,1,8,12,516236.25
2017,1,8,16,549995.0
2017,1,8,20,523596.75
2017,1,8,24,524282.0
2017,1,9,4,557574.75
2017,1,9,8,501870.0
2017,1,9,12,505231.0
2017,1,9,16,569232.0
2017,1,9,20,530193.75
2017,1,9,24,523071.75
2017,1,10,4,538238.0
2017,1,10,8,464186.5
2017,1,10,12,452795.0
2017,1,10,16,513763.25
2017,1,10,20,492781.5
2017,1,10,24,490499.0
2017,1,11,4,496699.25
2017,1,11,8,418961.0
2017,1,11,12,407981.25
2017,1,11,16,471513.25
2017,1,11,20,462645.0
2017,1,11,24,465259.5
2017,1,12,4,473889.75
2017,1,12,8,398640.0
2017,1,12,12,386096.75
2017,1,12,16,457497.75
2017,1,12,20,462227.0
2017,1,12,24,465822.5
2017,1,13,4,475197.0
2017,1,13,8,406928.25
2017,1,13,12,396234.5
2017,1,13,16,468395.5
2017,1,13,20,474356.0
2017,1,13,24,474682.25
2017,1,14,4,475838.75
2017,1,14,8,413245.5
2017,1,14,12,390489.75
2017,1,14,16,436739.0
2017,1,14,20,455159.5
2017,1,14,24,452763.5
2017,1,15,4,459167.0
2017,1,15,8,404142.0
2017,1,15,12,382033.75
2017,1,15,16,417164.25
2017,1,15,20,430063.5
2017,1,15,24,437853.5
2017,1,16,4,451730.0
2017,1,16,8,396724.5
2017,1,16,12,389042.25
2017,1,16,16,454655.0
2017,1,16,20,468536.0
2017,1,16,24,469319.0
2017,1,17,4,474815.0
2017,1,17,8,400025.5
2017,1,17,12,389941.0
2017,1,17,16,462701.75
2017,1,17,20,466164.25
2017,1,17,24,468818.25
2017,1,18,4,473710.5
2017,1,18,8,398647.0
2017,1,18,12,386983.25
2017,1,18,16,457192.0
2017,1,18,20,460511.75
2017,1,18,24,464074.0
2017,1,19,4,472040.5
2017,1,19,8,399039.75
2017,1,19,12,389441.0
2017,1,19,16,458058.75
2017,1,19,20,453269.0
2017,1,19,24,454751.75
2017,1,20,4,464341.5
2017,1,20,8,393892.0
2017,1,20,12,381170.75
2017,1,20,16,451464.25
2017,1,20,20,457205.75
2017,1,20,24,453140.5
2017,1,21,4,446449.75
2017,1,21,8,381112.5
2017,1,21,12,357227.0
2017,1,21,16,399719.0
2017,1,21,20,416830.75
2017,1,21,24,414695.25
2017,1,22,4,420349.5
2017,1,22,8,366911.5
2017,1,22,12,345350.5
2017,1,22,16,382783.5
2017,1,22,20,411147.75
2017,1,22,24,422948.25
2017,1,23,4,435650.5
2017,1,23,8,372980.0
2017,1,23,12,371945.0
2017,1,23,16,456613.25
2017,1,23,20,461291.25
2017,1,23,24,462182.0
2017,1,24,4,473566.25
2017,1,24,8,404228.25
2017,1,24,12,399965.5
2017,1,24,16,473019.0
2017,1,24,20,462571.75
2017,1,24,24,460821.0
2017,1,25,4,474273.0
2017,1,25,8,405244.5
2017,1,25,12,400294.25
2017,1,25,16,468154.5
2017,1,25,20,451725.5
2017,1,25,24,452084.5
2017,1,26,4,467522.75
2017,1,26,8,400326.25
2017,1,26,12,394862.25
2017,1,26,16,472189.25
2017,1,26,20,465132.5
2017,1,26,24,464054.25
2017,1,27,4,487828.0
2017,1,27,8,427057.25
2017,1,27,12,427583.5
2017,1,27,16,502386.0
2017,1,27,20,481846.0
2017,1,27,24,474117.5
2017,1,28,4,490576.75
2017,1,28,8,436177.5
2017,1,28,12,424035.25
2017,1,28,16,468632.25
2017,1,28,20,452196.0
2017,1,28,24,437551.25
2017,1,29,4,461998.25
2017,1,29,8,419098.5
2017,1,29,12,406591.25
2017,1,29,16,443827.5
2017,1,29,20,432774.5
2017,1,29,24,435191.0
2017,1,30,4,465787.5
2017,1,30,8,413625.5
2017,1,30,12,424909.75
2017,1,30,16,501405.0
2017,1,30,20,468725.25
2017,1,30,24,465724.0
2017,1,31,4,490960.0
2017,1,31,8,427964.0
2017,1,31,12,428291.5
2017,1,31,16,491814.0
2017,1,31,20,460284.0
2017,1,31,24,454304.5
2017,2,1,4,468712.0
2017,2,1,8,403526.5
2017,2,1,12,401123.0
2017,2,1,16,468934.0
2017,2,1,20,453456.5
2017,2,1,24,455773.5
2017,2,2,4,472019.25
2017,2,2,8,405639.5
2017,2,2,12,405453.75
2017,2,2,16,479033.0
2017,2,2,20,467676.25
2017,2,2,24,468981.0
2017,2,3,4,490113.25
2017,2,3,8,423588.75
2017,2,3,12,420203.25
2017,2,3,16,493855.75
2017,2,3,20,484048.75
2017,2,3,24,477380.75
2017,2,4,4,494959.0
2017,2,4,8,441522.25
2017,2,4,12,430331.5
2017,2,4,16,473577.75
2017,2,4,20,455181.75
2017,2,4,24,444282.5
2017,2,5,4,467333.5
