Italian electric load distribution from Italian EnergyPLAN model based on Bellocchi et al. (2018) https://doi.org/10.1016/j.energy.2018.07.068,,,,
,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,s_cfs
2016,1,1,1,0.46177472
2016,1,1,2,0.437769628
2016,1,1,3,0.409369664
2016,1,1,4,0.385041271
2016,1,1,5,0.371947585
2016,1,1,6,0.372301195
2016,1,1,7,0.389193667
2016,1,1,8,0.397518666
2016,1,1,9,0.402661171
2016,1,1,10,0.432465472
2016,1,1,11,0.461077602
2016,1,1,12,0.484860425
2016,1,1,13,0.495377807
2016,1,1,14,0.468897443
2016,1,1,15,0.449469079
2016,1,1,16,0.455672415
2016,1,1,17,0.483920832
2016,1,1,18,0.565049152
2016,1,1,19,0.585528243
2016,1,1,20,0.596156761
2016,1,1,21,0.587639802
2016,1,1,22,0.559330767
2016,1,1,23,0.517806808
2016,1,1,24,0.46738197
2016,1,2,1,0.432273513
2016,1,2,2,0.396134534
2016,1,2,3,0.376150497
2016,1,2,4,0.367684054
2016,1,2,5,0.369694582
2016,1,2,6,0.38792067
2016,1,2,7,0.42979824
2016,1,2,8,0.47205973
2016,1,2,9,0.510775013
2016,1,2,10,0.56401863
2016,1,2,11,0.583962255
2016,1,2,12,0.593610766
2016,1,2,13,0.593641075
2016,1,2,14,0.575091686
2016,1,2,15,0.567645662
2016,1,2,16,0.570464442
2016,1,2,17,0.601369988
2016,1,2,18,0.667293062
2016,1,2,19,0.681760778
2016,1,2,20,0.681760778
2016,1,2,21,0.641499712
2016,1,2,22,0.595985007
2016,1,2,23,0.542145304
2016,1,2,24,0.490073652
2016,1,3,1,0.440689439
2016,1,3,2,0.406540781
2016,1,3,3,0.387314481
2016,1,3,4,0.375210903
2016,1,3,5,0.372038513
2016,1,3,6,0.381434446
2016,1,3,7,0.406480162
2016,1,3,8,0.431212681
2016,1,3,9,0.456894897
2016,1,3,10,0.505450651
2016,1,3,11,0.540751068
2016,1,3,12,0.556380646
2016,1,3,13,0.548015236
2016,1,3,14,0.521161054
2016,1,3,15,0.513341214
2016,1,3,16,0.512330898
2016,1,3,17,0.535164025
2016,1,3,18,0.608209822
2016,1,3,19,0.632891826
2016,1,3,20,0.639630629
2016,1,3,21,0.61714101
2016,1,3,22,0.583618747
2016,1,3,23,0.536204649
2016,1,3,24,0.487547864
2016,1,4,1,0.434779095
2016,1,4,2,0.400771881
2016,1,4,3,0.383485386
2016,1,4,4,0.37705978
2016,1,4,5,0.384414876
2016,1,4,6,0.413208862
2016,1,4,7,0.488568282
2016,1,4,8,0.578274179
2016,1,4,9,0.662302104
2016,1,4,10,0.722739167
2016,1,4,11,0.736439043
2016,1,4,12,0.744966104
2016,1,4,13,0.726325786
2016,1,4,14,0.703644207
2016,1,4,15,0.713211893
2016,1,4,16,0.720476061
2016,1,4,17,0.742440316
2016,1,4,18,0.80125077
2016,1,4,19,0.797563119
2016,1,4,20,0.788642035
2016,1,4,21,0.741106699
2016,1,4,22,0.685680801
2016,1,4,23,0.612877479
2016,1,4,24,0.545095424
2016,1,5,1,0.484082482
2016,1,5,2,0.444609463
2016,1,5,3,0.42419099
2016,1,5,4,0.419331373
2016,1,5,5,0.423978824
2016,1,5,6,0.449913618
2016,1,5,7,0.514957718
2016,1,5,8,0.59634872
2016,1,5,9,0.675537235
2016,1,5,10,0.734448721
2016,1,5,11,0.744875176
2016,1,5,12,0.747148385
2016,1,5,13,0.721799574
2016,1,5,14,0.693066206
2016,1,5,15,0.701583164
2016,1,5,16,0.708433102
2016,1,5,17,0.735428727
2016,1,5,18,0.791743703
2016,1,5,19,0.78872286
2016,1,5,20,0.768799442
2016,1,5,21,0.719132341
2016,1,5,22,0.662857778
2016,1,5,23,0.595722325
2016,1,5,24,0.535234747
2016,1,6,1,0.492124592
2016,1,6,2,0.452853636
2016,1,6,3,0.428373695
2016,1,6,4,0.417189505
2016,1,6,5,0.414360622
2016,1,6,6,0.420513442
2016,1,6,7,0.450216713
2016,1,6,8,0.483941038
2016,1,6,9,0.511967185
2016,1,6,10,0.558764991
2016,1,6,11,0.586023298
2016,1,6,12,0.600076784
2016,1,6,13,0.588448055
2016,1,6,14,0.548550703
2016,1,6,15,0.529233474
2016,1,6,16,0.537639297
2016,1,6,17,0.568554946
2016,1,6,18,0.652916275
2016,1,6,19,0.679022823
2016,1,6,20,0.683821821
2016,1,6,21,0.65991776
2016,1,6,22,0.623930329
2016,1,6,23,0.570999909
2016,1,6,24,0.515846796
2016,1,7,1,0.460168319
2016,1,7,2,0.422443145
2016,1,7,3,0.407248002
2016,1,7,4,0.406510472
2016,1,7,5,0.41541135
2016,1,7,6,0.451944352
2016,1,7,7,0.564251003
2016,1,7,8,0.701977187
2016,1,7,9,0.795118156
2016,1,7,10,0.832590752
2016,1,7,11,0.829327433
2016,1,7,12,0.8173653
2016,1,7,13,0.76837511
2016,1,7,14,0.759555057
2016,1,7,15,0.799209933
2016,1,7,16,0.827822063
2016,1,7,17,0.859586377
2016,1,7,18,0.907283363
2016,1,7,19,0.887996444
2016,1,7,20,0.861728245
2016,1,7,21,0.807656169
2016,1,7,22,0.741227937
2016,1,7,23,0.659291365
2016,1,7,24,0.585295871
2016,1,8,1,0.524707261
2016,1,8,2,0.485274654
2016,1,8,3,0.467503208
2016,1,8,4,0.461350387
2016,1,8,5,0.469392497
2016,1,8,6,0.502066095
2016,1,8,7,0.606168985
2016,1,8,8,0.734276968
2016,1,8,9,0.82595298
2016,1,8,10,0.854443872
2016,1,8,11,0.846421968
