Italian solar distribution from Italian EnergyPLAN model based on Bellocchi et al. (2018) https://doi.org/10.1016/j.energy.2018.07.068,,,,
,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,s_cfs
2016,1,1,1,0
2016,1,1,2,0.000106056
2016,1,1,3,0
2016,1,1,4,0
2016,1,1,5,0
2016,1,1,6,0
2016,1,1,7,0
2016,1,1,8,0.004984622
2016,1,1,9,0.057588291
2016,1,1,10,0.191960971
2016,1,1,11,0.324742815
2016,1,1,12,0.402693817
2016,1,1,13,0.419662743
2016,1,1,14,0.362074451
2016,1,1,15,0.234383286
2016,1,1,16,0.108919292
2016,1,1,17,0.010287411
2016,1,1,18,0
2016,1,1,19,0
2016,1,1,20,0
2016,1,1,21,0
2016,1,1,22,0
2016,1,1,23,0
2016,1,1,24,0
2016,1,2,1,0
2016,1,2,2,0
2016,1,2,3,0
2016,1,2,4,0
2016,1,2,5,0
2016,1,2,6,0
2016,1,2,7,0
2016,1,2,8,0.002651395
2016,1,2,9,0.045922155
2016,1,2,10,0.129069891
2016,1,2,11,0.162583519
2016,1,2,12,0.183052286
2016,1,2,13,0.176476827
2016,1,2,14,0.145402482
2016,1,2,15,0.091526143
2016,1,2,16,0.042740481
2016,1,2,17,0.006681514
2016,1,2,18,0
2016,1,2,19,0
2016,1,2,20,0
2016,1,2,21,0
2016,1,2,22,0
2016,1,2,23,0
2016,1,2,24,0
2016,1,3,1,0
2016,1,3,2,0
2016,1,3,3,0
2016,1,3,4,0
2016,1,3,5,0
2016,1,3,6,0
2016,1,3,7,0
2016,1,3,8,0.000848446
2016,1,3,9,0.034043907
2016,1,3,10,0.12631244
2016,1,3,11,0.213278184
2016,1,3,12,0.297062255
2016,1,3,13,0.327076042
2016,1,3,14,0.327288154
2016,1,3,15,0.270866476
2016,1,3,16,0.124191325
2016,1,3,17,0.012196415
2016,1,3,18,0
2016,1,3,19,0
2016,1,3,20,0
2016,1,3,21,0
2016,1,3,22,0
2016,1,3,23,0
2016,1,3,24,0
2016,1,4,1,0
2016,1,4,2,0
2016,1,4,3,0
2016,1,4,4,0
2016,1,4,5,0
2016,1,4,6,0
2016,1,4,7,0
2016,1,4,8,0.000636335
2016,1,4,9,0.0155902
2016,1,4,10,0.049634108
2016,1,4,11,0.075193552
2016,1,4,12,0.113903913
2016,1,4,13,0.127054831
2016,1,4,14,0.142114752
2016,1,4,15,0.133312122
2016,1,4,16,0.06819387
2016,1,4,17,0.008696574
2016,1,4,18,0
2016,1,4,19,0
2016,1,4,20,0
2016,1,4,21,0
2016,1,4,22,0
2016,1,4,23,0
2016,1,4,24,0
2016,1,5,1,0
2016,1,5,2,0
2016,1,5,3,0
2016,1,5,4,0
2016,1,5,5,0
2016,1,5,6,0
2016,1,5,7,0
2016,1,5,8,0.000848446
2016,1,5,9,0.026726058
2016,1,5,10,0.09661682
2016,1,5,11,0.14041786
2016,1,5,12,0.163856188
2016,1,5,13,0.16809842
2016,1,5,14,0.151659773
2016,1,5,15,0.117721922
2016,1,5,16,0.062891081
2016,1,5,17,0.008590519
2016,1,5,18,0
2016,1,5,19,0
2016,1,5,20,0
2016,1,5,21,0
2016,1,5,22,0
2016,1,5,23,0
