Italian wind distribution from Italian EnergyPLAN model based on Bellocchi et al. (2018) https://doi.org/10.1016/j.energy.2018.07.068,,,,
,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,s_cfs
2016,1,1,1,0.031018308
2016,1,1,2,0.032531397
2016,1,1,3,0.039491602
2016,1,1,4,0.034195794
2016,1,1,5,0.030413073
2016,1,1,6,0.030715691
2016,1,1,7,0.029202603
2016,1,1,8,0.02829475
2016,1,1,9,0.025873808
2016,1,1,10,0.019821456
2016,1,1,11,0.015584809
2016,1,1,12,0.013163867
2016,1,1,13,0.012558632
2016,1,1,14,0.010742926
2016,1,1,15,0.010894235
2016,1,1,16,0.011953397
2016,1,1,17,0.014979573
2016,1,1,18,0.020880617
2016,1,1,19,0.022998941
2016,1,1,20,0.023906794
2016,1,1,21,0.024512029
2016,1,1,22,0.027992132
2016,1,1,23,0.033741867
2016,1,1,24,0.043576941
2016,1,2,1,0.044182176
2016,1,2,2,0.059161749
2016,1,2,3,0.064608867
2016,1,2,4,0.074897867
2016,1,2,5,0.087002572
2016,1,2,6,0.085338175
2016,1,2,7,0.090936602
2016,1,2,8,0.113481616
2016,1,2,9,0.140717204
2016,1,2,10,0.137842336
2016,1,2,11,0.184596762
2016,1,2,12,0.237706158
2016,1,2,13,0.276289908
2016,1,2,14,0.325465275
2016,1,2,15,0.360114995
2016,1,2,16,0.372522318
2016,1,2,17,0.396429112
2016,1,2,18,0.451656832
2016,1,2,19,0.482826449
2016,1,2,20,0.51732486
2016,1,2,21,0.55197458
2016,1,2,22,0.61098502
2016,1,2,23,0.629142079
2016,1,2,24,0.645483432
2016,1,3,1,0.649871388
2016,1,3,2,0.634740505
2016,1,3,3,0.563776668
2016,1,3,4,0.603116962
2016,1,3,5,0.583598124
2016,1,3,6,0.575578756
2016,1,3,7,0.583749433
2016,1,3,8,0.59313058
2016,1,3,9,0.620366167
2016,1,3,10,0.615826903
2016,1,3,11,0.62899077
2016,1,3,12,0.684975034
2016,1,3,13,0.795127856
2016,1,3,14,0.825994856
2016,1,3,15,0.780299591
2016,1,3,16,0.709638372
2016,1,3,17,0.653956726
2016,1,3,18,0.585111212
2016,1,3,19,0.49417461
2016,1,3,20,0.453926464
2016,1,3,21,0.440459979
2016,1,3,22,0.462551067
2016,1,3,23,0.471629596
2016,1,3,24,0.498411257
2016,1,4,1,0.543349977
2016,1,4,2,0.528673022
2016,1,4,3,0.526100772
2016,1,4,4,0.524436375
2016,1,4,5,0.536087154
2016,1,4,6,0.501437434
2016,1,4,7,0.518686639
2016,1,4,8,0.594492359
2016,1,4,9,0.61612952
2016,1,4,10,0.617339991
2016,1,4,11,0.657739446
2016,1,4,12,0.721137842
2016,1,4,13,0.760326827
2016,1,4,14,0.699349372
2016,1,4,15,0.711000151
2016,1,4,16,0.695112725
2016,1,4,17,0.737781813
2016,1,4,18,0.735360872
2016,1,4,19,0.727190195
2016,1,4,20,0.701619004
2016,1,4,21,0.699349372
2016,1,4,22,0.698744137
2016,1,4,23,0.728098048
2016,1,4,24,0.717355122
2016,1,5,1,0.687849902
2016,1,5,2,0.656377667
2016,1,5,3,0.585867756
2016,1,5,4,0.517022242
2016,1,5,5,0.444394008
2016,1,5,6,0.403238009
2016,1,5,7,0.341957936
2016,1,5,8,0.319110304
2016,1,5,9,0.300045393
2016,1,5,10,0.312755334
2016,1,5,11,0.329096686
2016,1,5,12,0.341201392
2016,1,5,13,0.364351642
2016,1,5,14,0.383416553
2016,1,5,15,0.415796641
2016,1,5,16,0.446512332
2016,1,5,17,0.458011802
2016,1,5,18,0.443486155
2016,1,5,19,0.437131185
2016,1,5,20,0.451354214
2016,1,5,21,0.44923589
2016,1,5,22,0.47495839
2016,1,5,23,0.506884551
2016,1,5,24,0.489635346
2016,1,6,1,0.445604479
2016,1,6,2,0.436979876
2016,1,6,3,0.39536995
2016,1,6,4,0.330004539
2016,1,6,5,0.328188833
2016,1,6,6,0.331063701
2016,1,6,7,0.327129672
2016,1,6,8,0.376607656
2016,1,6,9,0.423362082
2016,1,6,10,0.465425934
2016,1,6,11,0.465879861
2016,1,6,12,0.527765169
2016,1,6,13,0.647601755
2016,1,6,14,0.700559843
2016,1,6,15,0.709487063
2016,1,6,16,0.693750946
2016,1,6,17,0.703888637
2016,1,6,18,0.768346195
2016,1,6,19,0.825087003
2016,1,6,20,0.846270238
2016,1,6,21,0.810410047
2016,1,6,22,0.723861401
2016,1,6,23,0.752156151
2016,1,6,24,0.776365562
2016,1,7,1,0.661976093
2016,1,7,2,0.60977455
2016,1,7,3,0.548948404
2016,1,7,4,0.514903919
2016,1,7,5,0.504009684
2016,1,7,6,0.534422757
2016,1,7,7,0.560447874
2016,1,7,8,0.608564079
2016,1,7,9,0.571644727
2016,1,7,10,0.529883492
2016,1,7,11,0.521258889
2016,1,7,12,0.529126948
2016,1,7,13,0.547586624
2016,1,7,14,0.515811772
2016,1,7,15,0.512331669
2016,1,7,16,0.565894992
2016,1,7,17,0.590860947
2016,1,7,18,0.628385535
2016,1,7,19,0.623694961
2016,1,7,20,0.5969133
2016,1,7,21,0.546981389
2016,1,7,22,0.513088213
2016,1,7,23,0.484944772
2016,1,7,24,0.533817522
2016,1,8,1,0.54819186
2016,1,8,2,0.538810713
2016,1,8,3,0.532001816
2016,1,8,4,0.506128007
2016,1,8,5,0.509456801
2016,1,8,6,0.536843698
2016,1,8,7,0.526100772
2016,1,8,8,0.554244212
2016,1,8,9,0.457557876
2016,1,8,10,0.419125435
2016,1,8,11,0.431684067
2016,1,8,12,0.428960508
2016,1,8,13,0.456347405
2016,1,8,14,0.464518081
2016,1,8,15,0.461037979
2016,1,8,16,0.481767287
2016,1,8,17,0.517173551
2016,1,8,18,0.518989257
2016,1,8,19,0.518081404
2016,1,8,20,0.494325919
2016,1,8,21,0.553185051
2016,1,8,22,0.621879256
2016,1,8,23,0.664850961
2016,1,8,24,0.628234226
2016,1,9,1,0.611287638
2016,1,9,2,0.574670903
2016,1,9,3,0.518837948
2016,1,9,4,0.47238614
2016,1,9,5,0.435466788
2016,1,9,6,0.439098199
2016,1,9,7,0.41458617
2016,1,9,8,0.400363141
2016,1,9,9,0.420789832
2016,1,9,10,0.442729611
2016,1,9,11,0.488727493
2016,1,9,12,0.499167801
2016,1,9,13,0.476017552
2016,1,9,14,0.504917537
2016,1,9,15,0.531699198
2016,1,9,16,0.513844757
2016,1,9,17,0.519443184
2016,1,9,18,0.482523831
2016,1,9,19,0.486306552
2016,1,9,20,0.478589802
2016,1,9,21,0.494628537
2016,1,9,22,0.548040551
2016,1,9,23,0.542442124
2016,1,9,24,0.555757301
2016,1,10,1,0.58284158
2016,1,10,2,0.58919655
2016,1,10,3,0.576486609
2016,1,10,4,0.542290816
2016,1,10,5,0.584354668
2016,1,10,6,0.603722197
2016,1,10,7,0.5969133
2016,1,10,8,0.643970343
2016,1,10,9,0.636253594
2016,1,10,10,0.618853079
2016,1,10,11,0.678014828
2016,1,10,12,0.655469814
2016,1,10,13,0.597367227
2016,1,10,14,0.628234226
2016,1,10,15,0.62520805
2016,1,10,16,0.642608564
2016,1,10,17,0.663489181
2016,1,10,18,0.704039946
2016,1,10,19,0.711000151
2016,1,10,20,0.702526857
2016,1,10,21,0.696625813
2016,1,10,22,0.701921622
2016,1,10,23,0.720078681
2016,1,10,24,0.717052504
2016,1,11,1,0.691330005
2016,1,11,2,0.693599637
2016,1,11,3,0.692086549
2016,1,11,4,0.672113784
2016,1,11,5,0.65335149
2016,1,11,6,0.687698593
2016,1,11,7,0.708125284
2016,1,11,8,0.672113784
2016,1,11,9,0.677712211
2016,1,11,10,0.75609018
2016,1,11,11,0.798154032
2016,1,11,12,0.772280224
2016,1,11,13,0.772128915
2016,1,11,14,0.769102739
2016,1,11,15,0.732334695
2016,1,11,16,0.719322136
2016,1,11,17,0.687093358
2016,1,11,18,0.695566652
2016,1,11,19,0.728400666
2016,1,11,20,0.765168709
2016,1,11,21,0.760629445
2016,1,11,22,0.789378121
2016,1,11,23,0.779391739
2016,1,11,24,0.798607959
2016,1,12,1,0.785292783
2016,1,12,2,0.752458768
2016,1,12,3,0.685580269
2016,1,12,4,0.664397034
2016,1,12,5,0.663337873
2016,1,12,6,0.725525798
2016,1,12,7,0.748222121
2016,1,12,8,0.777424724
2016,1,12,9,0.813133606
2016,1,12,10,0.847329399
2016,1,12,11,0.810863973
2016,1,12,12,0.725677107
2016,1,12,13,0.712664548
2016,1,12,14,0.751550915
2016,1,12,15,0.750340445
2016,1,12,16,0.765622636
2016,1,12,17,0.8216069
2016,1,12,18,0.809502194
2016,1,12,19,0.817824179
2016,1,12,20,0.805416856
2016,1,12,21,0.77666818
2016,1,12,22,0.767438342
2016,1,12,23,0.801936753
2016,1,12,24,0.803298532
2016,1,13,1,0.808443032
2016,1,13,2,0.794522621
2016,1,13,3,0.748070813
2016,1,13,4,0.726282342
2016,1,13,5,0.724466636
2016,1,13,6,0.717960357
2016,1,13,7,0.741867151
2016,1,13,8,0.747465577
2016,1,13,9,0.73293993
2016,1,13,10,0.761537298
2016,1,13,11,0.726131033
2016,1,13,12,0.665304887
2016,1,13,13,0.63670752
2016,1,13,14,0.637464064
2016,1,13,15,0.613254653
2016,1,13,16,0.597215918
2016,1,13,17,0.564684521
2016,1,13,18,0.482372522
2016,1,13,19,0.425934332
2016,1,13,20,0.364049024
2016,1,13,21,0.319261613
2016,1,13,22,0.26706007
2016,1,13,23,0.238008776
2016,1,13,24,0.211681041
2016,1,14,1,0.192464821
2016,1,14,2,0.168255409
2016,1,14,3,0.15282191
2016,1,14,4,0.156150704
2016,1,14,5,0.178847027
2016,1,14,6,0.230140717
2016,1,14,7,0.284006658
2016,1,14,8,0.324708731
2016,1,14,9,0.359963686
2016,1,14,10,0.363443789
2016,1,14,11,0.4082312
2016,1,14,12,0.462551067
2016,1,14,13,0.513088213
2016,1,14,14,0.496141625
2016,1,14,15,0.510364654
2016,1,14,16,0.561960962
2016,1,14,17,0.623241035
2016,1,14,18,0.634740505
2016,1,14,19,0.642608564
2016,1,14,20,0.684369799
2016,1,14,21,0.687849902
2016,1,14,22,0.731426842
2016,1,14,23,0.720986534
2016,1,14,24,0.714026328
2016,1,15,1,0.690270843
2016,1,15,2,0.689211681
2016,1,15,3,0.720381298
2016,1,15,4,0.718262975
2016,1,15,5,0.711000151
2016,1,15,6,0.668482373
2016,1,15,7,0.661824784
2016,1,15,8,0.657890755
2016,1,15,9,0.658042064
2016,1,15,10,0.645937358
2016,1,15,11,0.608866697
2016,1,15,12,0.630957785
2016,1,15,13,0.625964594
2016,1,15,14,0.612195491
2016,1,15,15,0.552882433
2016,1,15,16,0.475412317
2016,1,15,17,0.416704494
2016,1,15,18,0.377818127
2016,1,15,19,0.367377818
2016,1,15,20,0.352549554
2016,1,15,21,0.342411863
2016,1,15,22,0.316689363
2016,1,15,23,0.292479952
2016,1,15,24,0.273112422
2016,1,16,1,0.300045393
2016,1,16,2,0.301861099
2016,1,16,3,0.283401422
2016,1,16,4,0.306097745
2016,1,16,5,0.312604025
2016,1,16,6,0.337872598
2016,1,16,7,0.382962627
2016,1,16,8,0.431835376
2016,1,16,9,0.468149493
2016,1,16,10,0.536692389
2016,1,16,11,0.571039492
2016,1,16,12,0.619004388
2016,1,16,13,0.696171887
2016,1,16,14,0.715388107
2016,1,16,15,0.741564533
2016,1,16,16,0.763201695
2016,1,16,17,0.702678166
2016,1,16,18,0.683310637
2016,1,16,19,0.69571796
2016,1,16,20,0.71372371
2016,1,16,21,0.715690725
2016,1,16,22,0.734604327
2016,1,16,23,0.730972916
2016,1,16,24,0.735814798
2016,1,17,1,0.725979725
2016,1,17,2,0.719019519
2016,1,17,3,0.742169768
2016,1,17,4,0.729005901
2016,1,17,5,0.659101226
2016,1,17,6,0.660614314
2016,1,17,7,0.665758814
2016,1,17,8,0.698441519
2016,1,17,9,0.734604327
2016,1,17,10,0.74580118
2016,1,17,11,0.753366621
2016,1,17,12,0.759721592
2016,1,17,13,0.771069753
2016,1,17,14,0.793917385
2016,1,17,15,0.715539416
2016,1,17,16,0.705855651
2016,1,17,17,0.712967166
2016,1,17,18,0.679679225
2016,1,17,19,0.681343622
2016,1,17,20,0.696171887
2016,1,17,21,0.686639431
2016,1,17,22,0.656982902
2016,1,17,23,0.666969284
2016,1,17,24,0.665304887
2016,1,18,1,0.63927977
2016,1,18,2,0.624300197
2016,1,18,3,0.599636859
2016,1,18,4,0.593281888
2016,1,18,5,0.631865638
2016,1,18,6,0.648055682
2016,1,18,7,0.646088667
2016,1,18,8,0.598880315
2016,1,18,9,0.614011197
2016,1,18,10,0.631714329
2016,1,18,11,0.638371917
2016,1,18,12,0.675442578
2016,1,18,13,0.680738387
2016,1,18,14,0.640490241
2016,1,18,15,0.5763353
2016,1,18,16,0.542896051
2016,1,18,17,0.444242699
2016,1,18,18,0.384627024
2016,1,18,19,0.352700862
2016,1,18,20,0.310183084
2016,1,18,21,0.283855349
2016,1,18,22,0.26963232
2016,1,18,23,0.233923438
2016,1,18,24,0.215766379
2016,1,19,1,0.174156453
2016,1,19,2,0.151611439
2016,1,19,3,0.160387351
2016,1,19,4,0.165077924
2016,1,19,5,0.173853836
2016,1,19,6,0.185958541
2016,1,19,7,0.197458012
2016,1,19,8,0.193675291
2016,1,19,9,0.187925556
2016,1,19,10,0.205931306
2016,1,19,11,0.210016644
2016,1,19,12,0.196550159
2016,1,19,13,0.209865335
2016,1,19,14,0.233318202
2016,1,19,15,0.242245423
2016,1,19,16,0.245271599
2016,1,19,17,0.262218187
2016,1,19,18,0.268875775
2016,1,19,19,0.231351188
2016,1,19,20,0.21047057
2016,1,19,21,0.195037071
2016,1,19,22,0.194129218
2016,1,19,23,0.189741262
2016,1,19,24,0.190346497
2016,1,20,1,0.174761689
2016,1,20,2,0.185050688
2016,1,20,3,0.195188379
2016,1,20,4,0.1783931
2016,1,20,5,0.16174913
2016,1,20,6,0.151762748
2016,1,20,7,0.137237101
2016,1,20,8,0.14631563
2016,1,20,9,0.122711454
2016,1,20,10,0.111817219
2016,1,20,11,0.101225601
2016,1,20,12,0.089272205
2016,1,20,13,0.102284763
2016,1,20,14,0.11423816
2016,1,20,15,0.119231351
2016,1,20,16,0.120441822
2016,1,20,17,0.127704645
2016,1,20,18,0.120744439
2016,1,20,19,0.119231351
2016,1,20,20,0.126796792
2016,1,20,21,0.122408836
2016,1,20,22,0.106824028
2016,1,20,23,0.112422454
2016,1,20,24,0.104403087
2016,1,21,1,0.131941292
2016,1,21,2,0.154334998
2016,1,21,3,0.14767741
2016,1,21,4,0.116961719
2016,1,21,5,0.095173249
2016,1,21,6,0.077924043
2016,1,21,7,0.072930852
2016,1,21,8,0.063398396
2016,1,21,9,0.050234529
2016,1,21,10,0.038281132
2016,1,21,11,0.031926161
2016,1,21,12,0.028748676
2016,1,21,13,0.031320926
2016,1,21,14,0.036919352
2016,1,21,15,0.055379029
2016,1,21,16,0.068845514
2016,1,21,17,0.082311999
2016,1,21,18,0.105008322
2016,1,21,19,0.11681041
2016,1,21,20,0.124829778
2016,1,21,21,0.117264337
2016,1,21,22,0.130579513
2016,1,21,23,0.156453321
2016,1,21,24,0.147828718
2016,1,22,1,0.136329248
2016,1,22,2,0.122560145
2016,1,22,3,0.112725072
2016,1,22,4,0.107429263
2016,1,22,5,0.108034498
2016,1,22,6,0.094719322
2016,1,22,7,0.089120896
2016,1,22,8,0.079134514
2016,1,22,9,0.06929944
2016,1,22,10,0.056740808
2016,1,22,11,0.062339234
2016,1,22,12,0.059313058
2016,1,22,13,0.071115146
2016,1,22,14,0.077470117
2016,1,22,15,0.090633984
2016,1,22,16,0.102587381
2016,1,22,17,0.113330307
2016,1,22,18,0.137993645
2016,1,22,19,0.141019821
2016,1,22,20,0.12709941
2016,1,22,21,0.137539719
2016,1,22,22,0.131789983
2016,1,22,23,0.153578454
2016,1,22,24,0.166137086
2016,1,23,1,0.168860645
2016,1,23,2,0.174005144
2016,1,23,3,0.177485247
2016,1,23,4,0.169617189
2016,1,23,5,0.170071115
2016,1,23,6,0.178695718
2016,1,23,7,0.150098351
2016,1,23,8,0.125888939
2016,1,23,9,0.10137691
2016,1,23,10,0.083219852
2016,1,23,11,0.094568013
2016,1,23,12,0.097442881
2016,1,23,13,0.105764866
2016,1,23,14,0.118928734
2016,1,23,15,0.157512483
2016,1,23,16,0.175669542
2016,1,23,17,0.15660463
2016,1,23,18,0.121500984
2016,1,23,19,0.110758057
2016,1,23,20,0.10909366
2016,1,23,21,0.10909366
2016,1,23,22,0.125586322
2016,1,23,23,0.135572704
2016,1,23,24,0.16946588
2016,1,24,1,0.197004085
2016,1,24,2,0.240883644
2016,1,24,3,0.338477833
2016,1,24,4,0.430473597
2016,1,24,5,0.458163111
2016,1,24,6,0.49160236
2016,1,24,7,0.474655772
2016,1,24,8,0.457557876
2016,1,24,9,0.439552126
2016,1,24,10,0.359661068
2016,1,24,11,0.33499773
2016,1,24,12,0.308972613
2016,1,24,13,0.318505069
2016,1,24,14,0.297019216
2016,1,24,15,0.250416099
2016,1,24,16,0.219095173
2016,1,24,17,0.164472689
2016,1,24,18,0.136329248
2016,1,24,19,0.125435013
2016,1,24,20,0.119080042
2016,1,24,21,0.12195491
2016,1,24,22,0.129822969
2016,1,24,23,0.128158572
2016,1,24,24,0.127704645
2016,1,25,1,0.133756998
2016,1,25,2,0.150098351
2016,1,25,3,0.159479498
2016,1,25,4,0.174156453
2016,1,25,5,0.17067635
2016,1,25,6,0.180360115
2016,1,25,7,0.166591012
2016,1,25,8,0.140717204
2016,1,25,9,0.109396278
2016,1,25,10,0.097140263
2016,1,25,11,0.106370101
2016,1,25,12,0.12830988
2016,1,25,13,0.141776366
2016,1,25,14,0.165985777
2016,1,25,15,0.195188379
2016,1,25,16,0.215161144
2016,1,25,17,0.210016644
2016,1,25,18,0.204720835
2016,1,25,19,0.213950673
2016,1,25,20,0.257830232
2016,1,25,21,0.252988349
2016,1,25,22,0.264790437
2016,1,25,23,0.275533364
2016,1,25,24,0.242699349
2016,1,26,1,0.224996217
2016,1,26,2,0.204872144
2016,1,26,3,0.188984718
2016,1,26,4,0.206536541
2016,1,26,5,0.218489938
2016,1,26,6,0.239521864
2016,1,26,7,0.271448025
2016,1,26,8,0.290966863
2016,1,26,9,0.261310334
2016,1,26,10,0.219397791
2016,1,26,11,0.192162203
2016,1,26,12,0.179906189
2016,1,26,13,0.182478438
2016,1,26,14,0.181267968
2016,1,26,15,0.181721894
2016,1,26,16,0.183386291
2016,1,26,17,0.201845968
2016,1,26,18,0.196247541
2016,1,26,19,0.17067635
2016,1,26,20,0.162808292
2016,1,26,21,0.156755939
2016,1,26,22,0.153729762
2016,1,26,23,0.165229233
2016,1,26,24,0.188076865
2016,1,27,1,0.17461038
2016,1,27,2,0.145256468
2016,1,27,3,0.145407777
2016,1,27,4,0.116356484
2016,1,27,5,0.083522469
2016,1,27,6,0.071720381
2016,1,27,7,0.097896807
2016,1,27,8,0.101074293
2016,1,27,9,0.074595249
2016,1,27,10,0.068694205
2016,1,27,11,0.072628234
2016,1,27,12,0.105764866
2016,1,27,13,0.099863822
2016,1,27,14,0.104857013
2016,1,27,15,0.122862763
2016,1,27,16,0.112271145
2016,1,27,17,0.092903616
2016,1,27,18,0.086699955
2016,1,27,19,0.085792102
2016,1,27,20,0.067483734
2016,1,27,21,0.072930852
2016,1,27,22,0.080798911
2016,1,27,23,0.076410955
2016,1,27,24,0.07323347
2016,1,28,1,0.074897867
2016,1,28,2,0.087002572
2016,1,28,3,0.090633984
2016,1,28,4,0.088213043
2016,1,28,5,0.076864881
2016,1,28,6,0.076410955
2016,1,28,7,0.069450749
2016,1,28,8,0.072325617
2016,1,28,9,0.071266455
2016,1,28,10,0.055681646
2016,1,28,11,0.050537146
2016,1,28,12,0.054925102
2016,1,28,13,0.065668028
2016,1,28,14,0.058102587
2016,1,28,15,0.056135573
2016,1,28,16,0.042063852
2016,1,28,17,0.048570132
2016,1,28,18,0.039945529
2016,1,28,19,0.056135573
2016,1,28,20,0.052050235
2016,1,28,21,0.051747617
2016,1,28,22,0.057043426
2016,1,28,23,0.083522469
2016,1,28,24,0.086246028
2016,1,29,1,0.089120896
2016,1,29,2,0.104403087
2016,1,29,3,0.11045544
2016,1,29,4,0.108639734
2016,1,29,5,0.115297322
2016,1,29,6,0.123467998
2016,1,29,7,0.118172189
2016,1,29,8,0.114389469
2016,1,29,9,0.092600999
2016,1,29,10,0.085640793
2016,1,29,11,0.071266455
2016,1,29,12,0.067029808
2016,1,29,13,0.056286882
2016,1,29,14,0.05008322
2016,1,29,15,0.03722197
2016,1,29,16,0.034801029
2016,1,29,17,0.041155999
2016,1,29,18,0.040702073
2016,1,29,19,0.030261764
2016,1,29,20,0.020729309
2016,1,29,21,0.01921622
2016,1,29,22,0.022847632
2016,1,29,23,0.028597367
2016,1,29,24,0.038583749
2016,1,30,1,0.054471176
2016,1,30,2,0.075200484
2016,1,30,3,0.094114087
2016,1,30,4,0.083825087
2016,1,30,5,0.067332425
2016,1,30,6,0.076108337
2016,1,30,7,0.106218793
2016,1,30,8,0.131789983
2016,1,30,9,0.158571645
2016,1,30,10,0.182781056
2016,1,30,11,0.198517174
2016,1,30,12,0.222575276
2016,1,30,13,0.250416099
2016,1,30,14,0.270540172
2016,1,30,15,0.283552731
2016,1,30,16,0.298078378
2016,1,30,17,0.305189893
2016,1,30,18,0.317143289
2016,1,30,19,0.343622333
2016,1,30,20,0.359963686
2016,1,30,21,0.421697685
2016,1,30,22,0.471024361
2016,1,30,23,0.512482978
2016,1,30,24,0.528673022
2016,1,31,1,0.555454683
2016,1,31,2,0.594946285
2016,1,31,3,0.594189741
2016,1,31,4,0.612044182
2016,1,31,5,0.643667726
2016,1,31,6,0.641549402
2016,1,31,7,0.651384476
2016,1,31,8,0.674837343
2016,1,31,9,0.697382357
2016,1,31,10,0.692691784
2016,1,31,11,0.671054622
2016,1,31,12,0.679981843
2016,1,31,13,0.732486004
2016,1,31,14,0.777273415
2016,1,31,15,0.801785444
2016,1,31,16,0.784536238
2016,1,31,17,0.777576033
2016,1,31,18,0.789226812
2016,1,31,19,0.791496444
2016,1,31,20,0.797851415
2016,1,31,21,0.801785444
2016,1,31,22,0.786805871
2016,1,31,23,0.791799062
2016,1,31,24,0.740807989
2016,2,1,1,0.730518989
2016,2,1,2,0.722499622
2016,2,1,3,0.713421092
2016,2,1,4,0.678014828
2016,2,1,5,0.62899077
2016,2,1,6,0.558026933
2016,2,1,7,0.487517022
2016,2,1,8,0.413224391
2016,2,1,9,0.357391436
2016,2,1,10,0.300953246
2016,2,1,11,0.259040702
2016,2,1,12,0.231653805
2016,2,1,13,0.203056438
2016,2,1,14,0.205023453
2016,2,1,15,0.209714026
2016,2,1,16,0.169314571
2016,2,1,17,0.135270086
2016,2,1,18,0.117718263
2016,2,1,19,0.113632925
2016,2,1,20,0.103646543
2016,2,1,21,0.100771675
2016,2,1,22,0.113935542
2016,2,1,23,0.119231351
2016,2,1,24,0.148585263
2016,2,2,1,0.153881071
2016,2,2,2,0.151914057
2016,2,2,3,0.174912997
2016,2,2,4,0.207293085
2016,2,2,5,0.214858526
2016,2,2,6,0.192767438
2016,2,2,7,0.192010894
2016,2,2,8,0.195188379
2016,2,2,9,0.200635497
2016,2,2,10,0.227114541
2016,2,2,11,0.248297776
2016,2,2,12,0.237403541
2016,2,2,13,0.254955364
2016,2,2,14,0.292177334
2016,2,2,15,0.338175216
2016,2,2,16,0.351490392
2016,2,2,17,0.330004539
2016,2,2,18,0.330155848
2016,2,2,19,0.362838553
2016,2,2,20,0.368285671
2016,2,2,21,0.409744288
2016,2,2,22,0.440762596
2016,2,2,23,0.448933273
2016,2,2,24,0.465425934
2016,2,3,1,0.465123317
2016,2,3,2,0.431532758
2016,2,3,3,0.437585111
2016,2,3,4,0.482523831
2016,2,3,5,0.506279316
2016,2,3,6,0.503555757
2016,2,3,7,0.455439552
2016,2,3,8,0.429717053
2016,2,3,9,0.426539567
2016,2,3,10,0.486911787
2016,2,3,11,0.559540021
2016,2,3,12,0.624451506
