BEGIN_DATA,,,,
Year,Month,Day,Hour,Demand
2016,1,1,1,39356
2016,1,1,2,40328
2016,1,1,3,39263
2016,1,1,4,38072
2016,1,1,5,36931
2016,1,1,6,35669
2016,1,1,7,34680
2016,1,1,8,33846
2016,1,1,9,33427
2016,1,1,10,33086
2016,1,1,11,33048
2016,1,1,12,33434
2016,1,1,13,34386
2016,1,1,14,35372
2016,1,1,15,36069
2016,1,1,16,36823
2016,1,1,17,38020
2016,1,1,18,38729
2016,1,1,19,38845
2016,1,1,20,38585
2016,1,1,21,38082
2016,1,1,22,37592
2016,1,1,23,37467
2016,1,1,24,37904
2016,1,2,1,39840
2016,1,2,2,41153
2016,1,2,3,40888
2016,1,2,4,40513
2016,1,2,5,39766
2016,1,2,6,38558
2016,1,2,7,37000
2016,1,2,8,35632
2016,1,2,9,34753
2016,1,2,10,34197
2016,1,2,11,33897
2016,1,2,12,34170
2016,1,2,13,35000
2016,1,2,14,36231
2016,1,2,15,37550
2016,1,2,16,38737
2016,1,2,17,40100
2016,1,2,18,40748
2016,1,2,19,40585
2016,1,2,20,40012
2016,1,2,21,39029
2016,1,2,22,38203
2016,1,2,23,37907
2016,1,2,24,38227
2016,1,3,1,39991
2016,1,3,2,41313
2016,1,3,3,41048
2016,1,3,4,40554
2016,1,3,5,39649
2016,1,3,6,38210
2016,1,3,7,36498
2016,1,3,8,35131
2016,1,3,9,34283
2016,1,3,10,33919
2016,1,3,11,33941
2016,1,3,12,34360
2016,1,3,13,35294
2016,1,3,14,36670
2016,1,3,15,37968
2016,1,3,16,38528
2016,1,3,17,38090
2016,1,3,18,36873
2016,1,3,19,35464
2016,1,3,20,34246
2016,1,3,21,33151
2016,1,3,22,32305
2016,1,3,23,31892
2016,1,3,24,32102
2016,1,4,1,34080
2016,1,4,2,37094
2016,1,4,3,37886
2016,1,4,4,37972
2016,1,4,5,37590
2016,1,4,6,36291
2016,1,4,7,34751
2016,1,4,8,33866
2016,1,4,9,33691
2016,1,4,10,34024
2016,1,4,11,34856
2016,1,4,12,36585
2016,1,4,13,39885
2016,1,4,14,44041
2016,1,4,15,45745
2016,1,4,16,44684
2016,1,4,17,42955
2016,1,4,18,41158
2016,1,4,19,39332
2016,1,4,20,37696
2016,1,4,21,36507
2016,1,4,22,35494
2016,1,4,23,34860
2016,1,4,24,34903
2016,1,5,1,37079
2016,1,5,2,40448
2016,1,5,3,41184
2016,1,5,4,41416
2016,1,5,5,40590
2016,1,5,6,38573
2016,1,5,7,36614
2016,1,5,8,35512
2016,1,5,9,35239
2016,1,5,10,35381
2016,1,5,11,36006
2016,1,5,12,37668
2016,1,5,13,41010
2016,1,5,14,45587
2016,1,5,15,46959
2016,1,5,16,45764
2016,1,5,17,44536
2016,1,5,18,43122
2016,1,5,19,41452
2016,1,5,20,39850
2016,1,5,21,38728
2016,1,5,22,37648
2016,1,5,23,37131
2016,1,5,24,37860
2016,1,6,1,40325
2016,1,6,2,42822
2016,1,6,3,42885
2016,1,6,4,42421
2016,1,6,5,40905
2016,1,6,6,38357
2016,1,6,7,35836
2016,1,6,8,34260
2016,1,6,9,33423
2016,1,6,10,33061
2016,1,6,11,33072
2016,1,6,12,34031
2016,1,6,13,36651
2016,1,6,14,40632
2016,1,6,15,41841
2016,1,6,16,40994
2016,1,6,17,40807
2016,1,6,18,40676
2016,1,6,19,40293
2016,1,6,20,39669
2016,1,6,21,39150
2016,1,6,22,38571
2016,1,6,23,38394
2016,1,6,24,38911
2016,1,7,1,40579
2016,1,7,2,41766
2016,1,7,3,41309
2016,1,7,4,40424
2016,1,7,5,38623
2016,1,7,6,35931
2016,1,7,7,33209
2016,1,7,8,31374
2016,1,7,9,30416
2016,1,7,10,29976
2016,1,7,11,29976
2016,1,7,12,30755
2016,1,7,13,33092
2016,1,7,14,36863
2016,1,7,15,38098
2016,1,7,16,37323
2016,1,7,17,37058
2016,1,7,18,36678
2016,1,7,19,35908
2016,1,7,20,35124
2016,1,7,21,34700
2016,1,7,22,34285
2016,1,7,23,33982
2016,1,7,24,33957
2016,1,8,1,34785
2016,1,8,2,36983
2016,1,8,3,36986
2016,1,8,4,36606
2016,1,8,5,35364
2016,1,8,6,33209
2016,1,8,7,31071
2016,1,8,8,29654
2016,1,8,9,29082
2016,1,8,10,28975
2016,1,8,11,29211
2016,1,8,12,30286
2016,1,8,13,32963
2016,1,8,14,37068
