BEGIN_DATA,,,,
Year,Month,Day,Hour,Demand
2016,1,1,1,470809
2016,1,1,2,462893
2016,1,1,3,452352
2016,1,1,4,438677
2016,1,1,5,423295
2016,1,1,6,410979
2016,1,1,7,400444
2016,1,1,8,390845
2016,1,1,9,383868
2016,1,1,10,382247
2016,1,1,11,385757
2016,1,1,12,390944
2016,1,1,13,398539
2016,1,1,14,407548
2016,1,1,15,420289
2016,1,1,16,431770
2016,1,1,17,438480
2016,1,1,18,440338
2016,1,1,19,438036
2016,1,1,20,432321
2016,1,1,21,428860
2016,1,1,22,430801
2016,1,1,23,445055
2016,1,1,24,460170
2016,1,2,1,465935
2016,1,2,2,465362
2016,1,2,3,462094
2016,1,2,4,450580
2016,1,2,5,434931
2016,1,2,6,417915
2016,1,2,7,406626
2016,1,2,8,397512
2016,1,2,9,392956
2016,1,2,10,392210
2016,1,2,11,396592
2016,1,2,12,406767
2016,1,2,13,420668
2016,1,2,14,434757
2016,1,2,15,445046
2016,1,2,16,450093
2016,1,2,17,448776
2016,1,2,18,443349
2016,1,2,19,435148
2016,1,2,20,427129
2016,1,2,21,420682
2016,1,2,22,423696
2016,1,2,23,441498
2016,1,2,24,461592
2016,1,3,1,469345
2016,1,3,2,470347
2016,1,3,3,467310
2016,1,3,4,456030
2016,1,3,5,441559
2016,1,3,6,427167
2016,1,3,7,413834
2016,1,3,8,404865
2016,1,3,9,399699
2016,1,3,10,398110
2016,1,3,11,400834
2016,1,3,12,408834
2016,1,3,13,420449
2016,1,3,14,433181
2016,1,3,15,440085
2016,1,3,16,439806
2016,1,3,17,434999
2016,1,3,18,430919
2016,1,3,19,427178
2016,1,3,20,422449
2016,1,3,21,418943
2016,1,3,22,424541
2016,1,3,23,444380
2016,1,3,24,464325
2016,1,4,1,474796
2016,1,4,2,477021
2016,1,4,3,469735
2016,1,4,4,452837
2016,1,4,5,435678
2016,1,4,6,421559
2016,1,4,7,410607
2016,1,4,8,404707
2016,1,4,9,403331
2016,1,4,10,408268
2016,1,4,11,424056
2016,1,4,12,457966
2016,1,4,13,490049
