BEGIN_DATA,,,,
Year,Month,Day,Hour,Solar_CF
2016.0,1.0,1.0,1.0,0.0
2016.0,1.0,1.0,2.0,0.0
2016.0,1.0,1.0,3.0,0.0
2016.0,1.0,1.0,4.0,0.0
2016.0,1.0,1.0,5.0,0.0
2016.0,1.0,1.0,6.0,0.0
2016.0,1.0,1.0,7.0,0.0
2016.0,1.0,1.0,8.0,0.0
2016.0,1.0,1.0,9.0,0.0
2016.0,1.0,1.0,10.0,0.0
2016.0,1.0,1.0,11.0,0.0
2016.0,1.0,1.0,12.0,0.0
2016.0,1.0,1.0,13.0,-0.0003135806203258177
2016.0,1.0,1.0,14.0,0.014674087877496135
2016.0,1.0,1.0,15.0,0.052071308494359106
2016.0,1.0,1.0,16.0,0.0806413831169333
2016.0,1.0,1.0,17.0,0.12421460846269114
2016.0,1.0,1.0,18.0,0.24481637929790118
2016.0,1.0,1.0,19.0,0.34063090315987743
2016.0,1.0,1.0,20.0,0.31006823565941405
2016.0,1.0,1.0,21.0,0.2728634392160643
2016.0,1.0,1.0,22.0,0.0516273046047266
2016.0,1.0,1.0,23.0,0.0017663819232908641
2016.0,1.0,1.0,24.0,0.0
2016.0,1.0,2.0,1.0,0.0
2016.0,1.0,2.0,2.0,0.0
2016.0,1.0,2.0,3.0,0.0
2016.0,1.0,2.0,4.0,0.0
2016.0,1.0,2.0,5.0,0.0
2016.0,1.0,2.0,6.0,0.0
2016.0,1.0,2.0,7.0,0.0
2016.0,1.0,2.0,8.0,0.0
2016.0,1.0,2.0,9.0,0.0
2016.0,1.0,2.0,10.0,0.0
2016.0,1.0,2.0,11.0,0.0
2016.0,1.0,2.0,12.0,0.0
2016.0,1.0,2.0,13.0,-0.000335975743349123
2016.0,1.0,2.0,14.0,0.012140750169447215
2016.0,1.0,2.0,15.0,0.06774022674742042
2016.0,1.0,2.0,16.0,0.13181455861575603
2016.0,1.0,2.0,17.0,0.2545676918864918
2016.0,1.0,2.0,18.0,0.43303791958228893
2016.0,1.0,2.0,19.0,0.4815995142267178
2016.0,1.0,2.0,20.0,0.4836432205110536
2016.0,1.0,2.0,21.0,0.33808364808927704
2016.0,1.0,2.0,22.0,0.08413995104717954
2016.0,1.0,2.0,23.0,0.0013991588155878056
2016.0,1.0,2.0,24.0,0.0
2016.0,1.0,3.0,1.0,0.0
2016.0,1.0,3.0,2.0,0.0
2016.0,1.0,3.0,3.0,0.0
2016.0,1.0,3.0,4.0,0.0
2016.0,1.0,3.0,5.0,0.0
2016.0,1.0,3.0,6.0,0.0
2016.0,1.0,3.0,7.0,0.0
2016.0,1.0,3.0,8.0,0.0
2016.0,1.0,3.0,9.0,0.0
2016.0,1.0,3.0,10.0,0.0
2016.0,1.0,3.0,11.0,0.0
2016.0,1.0,3.0,12.0,0.0
2016.0,1.0,3.0,13.0,-0.0002496431935618002
2016.0,1.0,3.0,14.0,0.02345060816432746
2016.0,1.0,3.0,15.0,0.28747993763821234
2016.0,1.0,3.0,16.0,0.5652546117928463
2016.0,1.0,3.0,17.0,0.36484129085174555
2016.0,1.0,3.0,18.0,0.35357974418916016
2016.0,1.0,3.0,19.0,0.5183204861672178
2016.0,1.0,3.0,20.0,0.4915328996659803
2016.0,1.0,3.0,21.0,0.4038879772053326
2016.0,1.0,3.0,22.0,0.2662694930734658
2016.0,1.0,3.0,23.0,0.13418174676668893
2016.0,1.0,3.0,24.0,0.0
2016.0,1.0,4.0,1.0,0.0
2016.0,1.0,4.0,2.0,0.0
2016.0,1.0,4.0,3.0,0.0
2016.0,1.0,4.0,4.0,0.0
2016.0,1.0,4.0,5.0,0.0
2016.0,1.0,4.0,6.0,0.0
2016.0,1.0,4.0,7.0,0.0
2016.0,1.0,4.0,8.0,0.0
2016.0,1.0,4.0,9.0,0.0
2016.0,1.0,4.0,10.0,0.0
2016.0,1.0,4.0,11.0,0.0
2016.0,1.0,4.0,12.0,0.0
2016.0,1.0,4.0,13.0,-0.0006354053083756105
2016.0,1.0,4.0,14.0,0.29327594407677493
2016.0,1.0,4.0,15.0,0.645356435000846
2016.0,1.0,4.0,16.0,0.7033364226264714
2016.0,1.0,4.0,17.0,0.6672918642237518
2016.0,1.0,4.0,18.0,0.636666716281708
2016.0,1.0,4.0,19.0,0.6359499273037817
2016.0,1.0,4.0,20.0,0.6658379305562776
2016.0,1.0,4.0,21.0,0.6923649157519464
2016.0,1.0,4.0,22.0,0.6158848119472459
2016.0,1.0,4.0,23.0,0.13074577921777852
2016.0,1.0,4.0,24.0,0.0
2016.0,1.0,5.0,1.0,0.0
2016.0,1.0,5.0,2.0,0.0
2016.0,1.0,5.0,3.0,0.0
2016.0,1.0,5.0,4.0,0.0
2016.0,1.0,5.0,5.0,0.0
2016.0,1.0,5.0,6.0,0.0
2016.0,1.0,5.0,7.0,0.0
