,RFB,Gravitational,PSH,CAES,Thermal,Metal-Air
system_cost,0.083,0.083,0.083,0.083,0.083,0.082
battery_cap,0.714,0.714,0.714,0.114,0.714,0.717
to_third_tech_cap,0.0,0.0,0.0,0.085,0.0,
third_tech_energy_cap,0.0,0.0,0.0,2.435,0.0,31.222
from_third_tech_cap,,,,0.221,,
to_PGP_cap,0.179,0.179,0.179,0.165,0.179,0.091
PGP_storage_cap,371.949,371.949,371.949,375.528,371.949,346.499
from_PGP_cap,0.712,0.712,0.712,0.644,0.712,0.421
third_tech_dur,,,,11.027,,100.0
PGP_dur,522.204,522.204,522.204,582.806,522.204,823.481
batt_cycles,232.375,232.375,232.375,293.762,232.375,208.665
third_tech_cycles,,,,83.906,,14.983
PGP_cycles,1.545,1.545,1.545,1.39,1.545,0.87
