status,value,system_cost,co2_emissions,main mean demand,main energy weighted price,ev1 mean demand,ev1 energy weighted price,ev2 mean demand,ev2 energy weighted price,price closure,scenario,demand series,demand_ev1 series,demand_ev2 series,lost_load dispatch,main_node_curtailment dispatch,fossgas capacity,fossgas dispatch,solar series,solar capacity,wind series,wind capacity,storage_ev1 capacity,storage_ev1 dispatch,storage_ev1 stored,storage_ev2 capacity,storage_ev2 dispatch,storage_ev2 stored,storage capacity,storage dispatch,storage stored,transfer capacity,transfer dispatch,fossgas curtailment,ev demand,total demand,ev load fraction
optimal,4594.09001862499,0.5230066050347211,0,1,0.5230066159805236,1e-10,0,1e-10,0.4736051330825823,-1.099316304653541e-08,Mike_EV\New_Looping_Wnd_Bat_evLoad0p0_pctEVLoad20p5\New_Looping_Wnd_Bat_evLoad0p0_pctEVLoad20p5_20220701-130808.xlsx,1.0,1e-10,1e-10,0.00655341382981974,3.207957192605652,0.0,0.0,0.1201540762750455,0.0,0.2721436232923498,15.45303209026901,2.2235e-08,9.999986248544816e-11,0.0,2.2235e-08,1.246712736921493e-09,0.0,16.92207289654678,0.03628501647729274,0.7827994947768575,0.0,1.146712870317185e-09,0.0,2e-10,1.0000000002,1.9999999996e-10
optimal,4594.090030044665,0.5230066063347751,0,1,0.5230066159805146,0.1,1.300064116632553e-08,9.999999999999998e-11,0.4736051330824024,-1.099316415675844e-08,Mike_EV\New_Looping_Wnd_Bat_evLoad0p1_pctEVLoad20p0\New_Looping_Wnd_Bat_evLoad0p1_pctEVLoad20p0_20220701-134124.xlsx,1.0,0.1,9.999999999999998e-11,0.00655341382981974,3.107952050584883,0.0,0.0,0.1201540762750455,0.0,0.2721436232923498,15.45303209026901,22.235,0.1,0.3421434089779751,2.2235e-08,1.246712736921493e-09,0.0,16.92207289654678,0.03628501647729274,0.9376522959973176,0.0,1.146712870317185e-09,0.0,0.2,1.2,0.16666666666666669
optimal,3539.957559005226,0.4030006328557862,0,1,0.4935183762440157,1e-10,0,0.1,0.4736517788240228,-0.1378829212706317,Mike_EV\New_Looping_Wnd_Bat_evLoad0p1_pctEVLoad21p0\New_Looping_Wnd_Bat_evLoad0p1_pctEVLoad21p0_20220701-131116.xlsx,1.0,1e-10,0.1,0.007287425639003116,3.175905373817983,0.0,0.0,0.1201540762750455,0.0,0.2721436232923498,15.68520627040041,2.2235e-08,9.999986248544816e-11,0.0,22.235,0.1357708396089758,1.091833567166729,0.0,0.0,0.0,0.9674403996240566,0.03577083960897581,0.0,2e-10,1.0000000002,1.9999999996e-10
optimal,4594.090041464532,0.5230066076348511,0,1,0.5230066159804804,0.2,1.300086536991501e-08,1e-10,0.4736051330821782,-1.099316293551311e-08,Mike_EV\New_Looping_Wnd_Bat_evLoad0p2_pctEVLoad20p0\New_Looping_Wnd_Bat_evLoad0p2_pctEVLoad20p0_20220701-141117.xlsx,1.0,0.2,1e-10,0.00655341382981974,3.007945096507043,0.0,0.0,0.1201540762750455,0.0,0.2721436232923498,15.45303209026901,44.47,0.2,0.8468922036799142,2.2235e-08,1.246712736921493e-09,0.0,16.92207289654678,0.03628501647729274,1.109245386297652,0.0,1.146712870317185e-09,0.0,0.4,1.4,0.28571428571428575
optimal,3539.957570425127,0.403000634155866,0,1,0.4935183762438656,0.1,1.300092239704591e-08,0.09999999999999999,0.4736517788239637,-0.1378829212704882,Mike_EV\New_Looping_Wnd_Bat_evLoad0p2_pctEVLoad20p5\New_Looping_Wnd_Bat_evLoad0p2_pctEVLoad20p5_20220701-134416.xlsx,1.0,0.1,0.09999999999999999,0.007287425639003123,3.075899034035064,0.0,0.0,0.1201540762750455,0.0,0.2721436232923498,15.68520627040041,22.235,0.1,0.3594037517909834,22.235,0.1357708396089758,1.366408107210325,0.0,0.0,0.0,0.9674403996240566,0.03577083960897582,0.0,0.2,1.2,0.16666666666666669
optimal,2980.47439500818,0.3393071943315323,0,1,0.4358140484287779,1e-10,0,0.2,0.4492475153950421,-0.186356357176254,Mike_EV\New_Looping_Wnd_Bat_evLoad0p2_pctEVLoad21p0\New_Looping_Wnd_Bat_evLoad0p2_pctEVLoad21p0_20220701-131440.xlsx,1.0,1e-10,0.2,0.007262345792913916,2.255521901981862,0.0,0.0,0.1201540762750455,0.0,0.2721436232923498,12.67086165834116,2.2235e-08,9.999986248544816e-11,0.0,44.47,0.2597777204607302,3.464574812751393,0.0,0.0,0.0,1.019665800531139,0.0597777204607302,0.0,2e-10,1.0000000002,1.9999999996e-10
optimal,4594.090052884637,0.5230066089349541,0,1,0.5230066159803692,0.3,1.300128936777005e-08,9.999999999999998e-11,0.4736051330817243,-1.09931624914239e-08,Mike_EV\New_Looping_Wnd_Bat_evLoad0p3_pctEVLoad20p0\New_Looping_Wnd_Bat_evLoad0p3_pctEVLoad20p0_20220701-144243.xlsx,1.0,0.3,9.999999999999998e-11,0.00655341382981974,2.907935935029032,0.0,0.0,0.1201540762750455,0.0,0.2721436232923498,15.45303209026901,66.705,0.3,1.547565708590197,2.2235e-08,1.246712736921493e-09,0.0,16.92207289654678,0.03628501647729274,1.303172252876142,0.0,1.146712870317185e-09,0.0,0.6,1.6,0.37499999999999994
optimal,3539.957581845238,0.4030006354559698,0,1,0.4935183762437041,0.2,1.300115610478654e-08,0.09999999999999999,0.4736517788239005,-0.1378829212703556,Mike_EV\New_Looping_Wnd_Bat_evLoad0p3_pctEVLoad20p333333\New_Looping_Wnd_Bat_evLoad0p3_pctEVLoad20p333333_20220701-141349.xlsx,1.0,0.2,0.09999999999999999,0.007287425639003127,2.975890807353354,0.0,0.0,0.1201540762750455,0.0,0.2721436232923498,15.68520627040041,44.47,0.2,0.8686426598508155,22.235,0.1357708396089758,1.679837370052929,0.0,0.0,0.0,0.9674403996240567,0.03577083960897584,0.0,0.4,1.4,0.28571428571428575
optimal,2980.474406429115,0.3393071956317299,0,1,0.4358140484282669,0.1,1.300234426347549e-08,0.2,0.4492475153946797,-0.1863563571757074,Mike_EV\New_Looping_Wnd_Bat_evLoad0p3_pctEVLoad20p666667\New_Looping_Wnd_Bat_evLoad0p3_pctEVLoad20p666667_20220701-134710.xlsx,1.0,0.1,0.2,0.007262345792913924,2.155505907448093,0.0,0.0,0.1201540762750455,0.0,0.2721436232923498,12.67086165834116,22.235,0.1,0.5617333157897444,44.47,0.2597777204607303,4.502294873752209,0.0,0.0,0.0,1.019665800531139,0.05977772046073024,0.0,0.2,1.2,0.16666666666666669
optimal,2725.211218317411,0.3102471787701971,0,1,0.3561644978365006,1e-10,0,0.3,0.3526153750787592,-0.1517019315899313,Mike_EV\New_Looping_Wnd_Bat_evLoad0p3_pctEVLoad21p0\New_Looping_Wnd_Bat_evLoad0p3_pctEVLoad21p0_20220701-131807.xlsx,1.0,1e-10,0.3,0.005355480804469233,2.024396134048256,0.0,0.0,0.1201540762750455,0.0,0.2721436232923498,12.19614269579262,2.2235e-08,9.999986248544816e-11,0.0,66.705,0.3661126812533742,6.181017974292843,0.0,0.0,0.0,1.028474210881228,0.06611268125337424,0.0,2e-10,1.0000000002,1.9999999996e-10
