,Unnamed: 0,year,optimized_LL,tested_LL
13,13,1992,4.2034006187727675,0.0071997552768577515
34,34,2013,3.892929529344305,0.0010639381902005864
40,40,2019,3.84506500699463,0.0004698254820927427
35,35,2014,3.790931355479215,0.0009728602920344383
14,14,1993,3.6812057476109397,0.006294485579484916
32,32,2011,3.0677714558126965,0.026774903359929467
11,11,1990,2.401060618280797,0.1535406508137023
38,38,2017,2.3829652353515582,0.06675122094844561
33,33,2012,2.347610160045615,0.0611380607826999
41,41,2020,1.8892684116392056,0.10969748504170487
