,Unnamed: 0,year,optimized_LL,tested_LL
23,23,2002,0.1477849756190066,1.5849855611159147
5,5,1984,0.15332880185631964,1.4076650427159116
26,26,2005,0.5711521971475487,1.340809384243599
16,16,1995,0.6657980250434314,1.2946597652493532
1,1,1980,0.936481892384617,1.1649253062472351
8,8,1987,0.40076221113224203,0.94218273860823
28,28,2007,0.3416732029975875,0.8155557378369368
24,24,2003,0.5565343310486208,0.7985989418568884
22,22,2001,0.2860388499268215,0.7808743118569722
6,6,1985,1.06538948839112,0.6032816787179424
37,37,2016,0.8419882709100125,0.5797843480631558
29,29,2008,0.3660933549996251,0.5621041244140093
30,30,2009,0.39722206245440855,0.5411038094439491
12,12,1991,0.3454268161013177,0.5204635913139429
3,3,1982,1.727172970451999,0.4529898188453255
19,19,1998,1.2035831052747463,0.4161792682671891
25,25,2004,1.100996995226962,0.3685596121095292
0,0,1979,0.6912670423881088,0.31274151787288124
18,18,1997,1.3867649525307535,0.22690357482665535
27,27,2006,1.451395969431137,0.17690339334680286
20,20,1999,1.5355019618517889,0.15412590311979624
15,15,1994,1.3621900717191395,0.1247634195514317
