,Unnamed: 0,year,optimized_LL,tested_LL
20,20,1999,246.11505371762408,17.430189953758475
41,41,2020,234.07275069740527,20.484400191740253
21,21,2000,216.02276282236045,10.068007470814567
6,6,1985,214.53572902866105,8.080673960960315
35,35,2014,211.85242992539813,9.311071370150724
32,32,2011,197.84059086591057,98.52012790103224
29,29,2008,190.12913152198638,37.256942944069536
15,15,1994,175.6561245873345,12.499296901337026
14,14,1993,166.2880531097446,38.376955989490476
25,25,2004,165.4642864381886,18.44490002090401
