,Unnamed: 0,year,optimized_LL,tested_LL
10,10,1989,45.10970569901304,148.55575654461794
12,12,1991,38.15278362125258,139.5138488387461
27,27,2006,99.96893345462976,138.96525694109073
5,5,1984,35.45068478000511,137.16860608625393
3,3,1982,42.16108580953113,127.39490482793758
36,36,2015,57.1605922617038,111.73202620240923
1,1,1980,136.826251918674,102.67040866296215
28,28,2007,69.70937568775902,90.86865077033308
11,11,1990,130.33680684667794,84.53270118395807
13,13,1992,110.19757583773432,77.72379750340768
38,38,2017,91.3930114686629,77.2207042779063
24,24,2003,109.81043506152427,71.26683018329163
33,33,2012,100.28573215553057,69.07604699897792
34,34,2013,124.84211849664386,62.7106308487896
17,17,1996,158.14550601332164,55.408577296559926
40,40,2019,111.70262993855177,44.01287125972067
18,18,1997,117.19719112003744,43.539219866740275
30,30,2009,117.96395620086895,41.784232455933854
23,23,2002,122.08281368842695,36.8003767190831
0,0,1979,138.96964580022976,33.065981856891085
37,37,2016,134.43030581278617,32.424181629415585
22,22,2001,132.41478532203888,31.66106847122389
