,Unnamed: 0,year,optimized_LL,tested_LL
30,30,2009,28.720107517921637,4.388062977326855
27,27,2006,27.21002686593676,1.890218045929964
19,19,1998,20.68701740430931,8.236088698088581
37,37,2016,18.91621611274588,4.396032164119264
11,11,1990,18.3384282965324,2.1573698426401853
29,29,2008,18.218113205048862,3.585504024434809
25,25,2004,17.7789251931816,1.8650051331933009
20,20,1999,16.995789937827848,4.885778810969307
32,32,2011,16.885518771068853,1.4483320353165818
41,41,2020,16.877975570283912,1.4583996730202957
