,Unnamed: 0,year,optimized_LL,tested_LL
36,36,2015,7.014481108764257,15.371253233334112
39,39,2018,3.938309061590445,13.464311672928696
1,1,1980,4.16886929679962,13.209431408702226
23,23,2002,1.074897402000626,10.665081519524174
18,18,1997,4.095624293846318,9.55801754042506
12,12,1991,9.655634151140136,8.786399198935857
5,5,1984,5.637006076999122,8.662054231652885
3,3,1982,9.518681557803395,8.472708539247899
22,22,2001,1.2901289393404545,8.309193799713443
24,24,2003,6.302838297029783,8.115832844446944
28,28,2007,2.1512864357160035,7.704248519516586
8,8,1987,4.674063594371241,6.902429908995599
6,6,1985,4.700879474112998,5.831542817866888
0,0,1979,6.872518189334147,5.655203806391065
14,14,1993,16.009117016167494,4.364637306065209
35,35,2014,10.726731829882906,2.946401133531728
40,40,2019,12.272642769032956,2.7066355092402072
34,34,2013,16.778801596877827,2.371652501898589
33,33,2012,8.707746277812554,2.160966193705925
38,38,2017,16.018957882134984,1.83726360147104
15,15,1994,13.189958426529312,1.1989154729411575
13,13,1992,10.99460906477542,0.8353822312916355
