,n_years,SWB syst_cost,SWB wind capacity,SWB solar capacity,SWB storage capacity,SWBNG syst_cost,SWBNG wind capacity,SWBNG solar capacity,SWBNG storage capacity,SWBNG natgas capacity,SWBPGP syst_cost,SWBPGP wind capacity,SWBPGP solar capacity,SWBPGP storage capacity,SWBPGP to_PGP capacity,SWBPGP PGP_storage capacity,SWBPGP from_PGP capacity
0,1,0.19025821928890208,0.10387733615339018,0.03588164350818645,0.050499239627325714,0.09759408351105774,0.06589900619982264,0.02053931481114438,0.0024565657418558293,0.00765069675823459,0.13232764235456257,0.0567206127462451,0.01692556581053278,0.006411559614301699,0.007393272430365408,0.0018229112977009771,0.04305352199299974
1,2,0.20163740148883205,0.10782334197655769,0.038106612944174424,0.05570744656810027,0.09804234919199566,0.0657648924319831,0.020618844139435162,0.0024909616507116654,0.008119150969865804,0.13548305306200908,0.056321894628295066,0.017311542072518508,0.006093424289982161,0.007342225459718207,0.0021694965407429868,0.04624427226753117
2,3,0.20872388829612223,0.10981157732440452,0.03997245625078836,0.05893985472092972,0.09825465087823163,0.06578254454148168,0.020615944072410488,0.0024150156265898702,0.008392646637749617,0.13722698278019657,0.05619278059488169,0.017420627335800357,0.00566960085835654,0.007364368727674797,0.0024519990995225675,0.04812740768389069
3,4,0.2136167586281762,0.10974480200158798,0.0417378539338344,0.062134102692754226,0.09847974021580351,0.06577710820343685,0.020629728657105814,0.0024103591013683446,0.008614044253892523,0.13867988622088975,0.055997997852559475,0.017612035592228237,0.00557797356535012,0.007370279427758154,0.0026660040644198254,0.04945539755962453
4,5,0.21710602217905645,0.11045860677281857,0.04281446592212751,0.06383294948411068,0.09861190900044052,0.06582434222546997,0.020608415487164203,0.002366317044708447,0.008764334243097915,0.1397165135303139,0.05604548288439172,0.017669035760800512,0.005467990017180858,0.007394536106419647,0.0027663731764039396,0.050372898049335514
5,7,0.22274512831620663,0.10951252568350756,0.045332034139719216,0.06790056849298022,0.09875611256756488,0.06583166646595989,0.02055152017837634,0.0023033984909057808,0.009021027432322836,0.14137329728139786,0.05626070649582826,0.01761246900023605,0.005068386930579685,0.007465338592735477,0.0028965952716668757,0.05206960402744699
6,10,0.22885236639494475,0.10607539706562695,0.04847636505048804,0.07430060427883024,0.0990765526796158,0.065933586100063,0.02052501942856966,0.0022233783786402505,0.009346068772342826,0.1434635383666312,0.05625617849619691,0.017830809464848763,0.004713762105918518,0.007616713810605355,0.0029237127339611538,0.05412216561858534
7,15,0.2362241653769325,0.10002699163302321,0.05273324867419174,0.08346392506971725,0.0996115456167168,0.06585315252473681,0.020571742933941217,0.0023427494584348655,0.009795400699603883,0.1464320302691124,0.0559835377291998,0.018287806779256566,0.004436065987402106,0.007789392671200654,0.0029629964434892725,0.05697203530944412
8,25,0.24320223585686015,0.09522500679166812,0.05614712079730759,0.09183010826788418,0.10002135013259887,0.0657955470475124,0.02061454760147579,0.0024198524223554567,0.010142903061255149,0.14887783780262026,0.055333733762738,0.018880478249174958,0.00410252266133023,0.007983378919168027,0.003102094623553488,0.05947543381224335
9,40,0.25169313799515736,0.08476183367626523,0.06123842729948233,0.10569287701940978,0.10053501818069425,0.06520426158975705,0.020736107939219445,0.002914840584879255,0.0106313080668385,0.1520555667917219,0.05500636514653131,0.01943994185151225,0.00375702079372647,0.008362316070416348,0.002950092194512172,0.0625396363015245
