Unnamed: 0,demand series,lost_load dispatch,main_node_curtailment dispatch,natgas capacity,natgas dispatch,solar series,solar capacity,wind series,wind capacity,storage capacity,storage dispatch,storage stored,to_PGP capacity,to_PGP dispatch,PGP_storage capacity,PGP_storage dispatch,PGP_storage stored,from_PGP capacity,from_PGP dispatch,lost_load max dispatch,lost_load num hours,natgas curtailment,status,name,date,region,n_years,opt_years,test_years,iter,end_test_year,scale_factor,syst_cost,curtailed_gen,lost_load,max_lost_load,decarbonization,co2_intensity
597,301977.5055936073,3154.394807627905,59835.015066907705,0,0.0,0.2674545444406294,291664.2478081959,0.28379868260612123,1078035.2699910982,108361.13494766915,3549.3035119101146,22124.54804034125,67667.0645008958,34174.8827476641,126605174.59252524,34174.40264657338,42114130.7580747,274505.40189403604,23922.081852601368,202646.0873454273,85,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested1979,Aug04v1,CONUS,-1,0,1979,-1,-1,-1,72768.49156288455,59835.015066907705,3154.394807627905,202646.0873454273,1.0,0.0
362,309578.18920765026,7646.197059534215,46083.23335005215,0,0.0,0.2639524678792464,291664.2478081959,0.27400936253503594,1078035.2699910982,108361.13494766915,3687.6758891047143,23425.102414329733,67667.0645008958,32875.02849786266,126605174.59252524,32874.71263770638,27707031.25061717,274505.40189403604,23012.298846394468,268995.4684251962,148,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested1980,Aug04v1,CONUS,-1,0,1980,-1,-1,-1,117686.5118723104,46083.23335005215,7646.197059534215,268995.4684251962,1.0,0.0
645,302284.44771689497,16840.628878386415,57623.87142318173,0,0.0,0.2591247131435113,291664.2478081959,0.2701820545982502,1078035.2699910982,108361.13494766915,2836.30375865859,16864.389910974274,67667.0645008958,32199.934596834744,126605174.59252524,32199.614785270536,28053645.981672317,274505.40189403604,22539.73034968937,301214.790844629,342,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested1981,Aug04v1,CONUS,-1,0,1981,-1,-1,-1,209630.8289131701,57623.87142318173,16840.628878386415,301214.790844629,1.0,0.0
1513,299633.2605022831,8028.035352097502,60556.65493268597,0,0.0,0.2566909347760672,291664.2478081959,0.27972785144362056,1078035.2699910982,108361.13494766915,3270.3955366703944,25781.919151856397,67667.0645008958,32801.36393853084,126605174.59252524,32800.824150789886,47349801.89448776,274505.40189403604,22960.57690555292,247209.61406994011,181,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested1982,Aug04v1,CONUS,-1,0,1982,-1,-1,-1,121504.89467255675,60556.65493268597,8028.035352097502,247209.61406994011,1.0,0.0
676,305800.8093607306,14736.716701939768,48627.48641859993,0,0.0,0.2545850593638139,291664.2478081959,0.2675755547752008,1078035.2699910982,108361.13494766915,3456.352308217321,20701.572103446466,67667.0645008958,31065.140011247662,126605174.59252524,31064.82058171784,28020134.20327194,274505.40189403604,21745.37440720249,299207.703322309,253,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested1983,Aug04v1,CONUS,-1,0,1983,-1,-1,-1,188591.705219553,48627.48641859993,14736.716701939768,299207.703322309,1.0,0.0
697,300952.7860883425,8266.958589603699,64521.792167428786,0,0.0,0.2595475552552688,291664.2478081959,0.2844589076327628,1078035.2699910982,108361.13494766915,4400.928732834119,19036.127160050426,67667.0645008958,33847.597330085366,126605174.59252524,33847.222809179475,32852711.042279243,274505.40189403604,23693.055966425636,255229.9054047188,158,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested1984,Aug04v1,CONUS,-1,0,1984,-1,-1,-1,123894.12882633119,64521.792167428786,8266.958589603699,255229.9054047188,1.0,0.0
407,304312.90342465753,85.06228795817654,58791.790960126906,0,0.0,0.2627501869639085,291664.2478081959,0.29012179959123024,1078035.2699910982,108361.13494766915,3499.6495418095274,22426.521651917945,67667.0645008958,35668.672361580015,126605174.59252524,35668.01323627478,57818009.22247081,274505.40189403604,24967.609265392348,69167.63595295054,6,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested1985,Aug04v1,CONUS,-1,0,1985,-1,-1,-1,42075.1689055043,58791.790960126906,85.06228795817654,69167.63595295054,1.0,0.0
45,301565.7832191781,11557.46478564739,54739.797093040295,0,0.0,0.2586173468685507,291664.2478081959,0.2717274504417589,1078035.2699910982,108361.13494766915,3392.9417493297333,18338.564892912982,67667.0645008958,31892.10307918913,126605174.59252524,31891.78675221352,27747980.315285254,274505.40189403604,22324.250726549457,281953.13173910906,236,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested1986,Aug04v1,CONUS,-1,0,1986,-1,-1,-1,156799.1874624686,54739.797093040295,11557.46478564739,281953.13173910906,1.0,0.0
53,303652.4323059361,16216.728506038902,37535.45947080304,0,0.0,0.2616466466212405,291664.2478081959,0.2502367280831821,1078035.2699910982,108361.13494766915,3530.728250129143,21188.72426108801,67667.0645008958,28429.789780726962,126605174.59252524,28429.565916783282,19637188.04552929,274505.40189403604,19900.696141748293,240454.5445941902,358,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested1987,Aug04v1,CONUS,-1,0,1987,-1,-1,-1,203391.8187805159,37535.45947080304,16216.728506038902,240454.5445941902,1.0,0.0
849,307889.9653916211,9279.615707727422,69946.71332596798,0,0.0,0.2648600958818636,291664.2478081959,0.29370864378305606,1078035.2699910982,108361.13494766915,3014.629162266493,23484.614291394213,67667.0645008958,34294.38033964625,126605174.59252524,34293.9384577596,38761569.0479487,274505.40189403604,24005.75692043172,287403.77086269564,177,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested1988,Aug04v1,CONUS,-1,0,1988,-1,-1,-1,134020.7007670524,69946.71332596798,9279.615707727422,287403.77086269564,1.0,0.0
