,demand series,lost_load dispatch,main_node_curtailment dispatch,natgas capacity,natgas dispatch,solar series,solar capacity,wind series,wind capacity,storage capacity,storage dispatch,storage stored,lost_load max dispatch,lost_load num hours,natgas curtailment,status,name,date,region,n_years,opt_years,test_years,iter,end_test_year,scale_factor,syst_cost,curtailed_gen,lost_load,max_lost_load,decarbonization,co2_intensity
965,301977.5055936073,0.0,161047.1436628622,271693.44519371004,16105.565906352012,0.2674545444406294,396752.4721127073,0.28379868260612123,1201876.324878283,72480.61458590798,2564.9395943271475,8343.194842895055,0.0,0,255587.87928735802,optimal,nYrs_20210220_SWBNG_DYrs0_Tested1979,Aug04v1,CONUS,-1,0,1979,-1,-1,-1,28733.692592826705,161047.1436628622,0.0,0.0,-16104.565906352012,16105.565906352012
1325,309578.18920765026,0.0,143019.58985588694,271693.44519371004,18829.2424161332,0.26395246787924637,396752.4721127073,0.27400936253503594,1201876.324878283,72480.61458590798,2524.879643499282,7285.2458498993265,0.0,0,252864.20277757684,optimal,nYrs_20210220_SWBNG_DYrs0_Tested1980,Aug04v1,CONUS,-1,0,1980,-1,-1,-1,28790.80808923681,143019.58985588694,0.0,0.0,-18828.2424161332,18829.2424161332
170,302284.44771689497,2.579416300275146,150490.329771106,271693.44519371004,25502.882499707943,0.25912471314351126,396752.4721127073,0.2701820545982502,1201876.324878283,72480.61458590798,2379.5156894995057,7123.467007827738,5648.921697602569,1,246190.56269400206,optimal,nYrs_20210220_SWBNG_DYrs0_Tested1981,Aug04v1,CONUS,-1,0,1981,-1,-1,-1,28956.54848479213,150490.329771106,2.579416300275146,5648.921697602569,-25501.882499707943,25502.882499707943
665,299633.2605022831,0.0,157342.92738597916,271693.44519371004,19225.684839615053,0.2566909347760672,396752.4721127073,0.27972785144362056,1201876.324878283,72480.61458590798,2614.169169066858,7083.974586093157,0.0,0,252467.76035409502,optimal,nYrs_20210220_SWBNG_DYrs0_Tested1982,Aug04v1,CONUS,-1,0,1982,-1,-1,-1,28799.121486857228,157342.92738597916,0.0,0.0,-19224.684839615053,19225.684839615053
1626,305800.8093607306,0.0,139547.7674578485,271693.44519371004,23027.908976817496,0.25458505936381387,396752.4721127073,0.2675755547752008,1201876.324878283,72480.61458590798,2512.96738449001,8066.34010864143,0.0,0,248665.53621689256,optimal,nYrs_20210220_SWBNG_DYrs0_Tested1983,Aug04v1,CONUS,-1,0,1983,-1,-1,-1,28878.854127014365,139547.7674578485,0.0,0.0,-23026.908976817496,23027.908976817496
1437,300952.78608834243,0.0,163565.6932561594,271693.44519371004,19949.257367226874,0.2595475552552688,396752.4721127073,0.28445890763276277,1201876.324878283,72480.61458590798,2621.3658559951764,6823.145697872205,0.0,0,251744.18782648313,optimal,nYrs_20210220_SWBNG_DYrs0_Tested1984,Aug04v1,CONUS,-1,0,1984,-1,-1,-1,28814.29480276124,163565.6932561594,0.0,0.0,-19948.257367226874,19949.257367226874
1606,304312.90342465753,0.0,162915.99981816838,271693.44519371004,14547.369024684042,0.2627501869639085,396752.4721127073,0.29012179959123024,1201876.324878283,72480.61458590798,2301.2086978138805,7597.110039088479,0.0,0,257146.076169026,optimal,nYrs_20210220_SWBNG_DYrs0_Tested1985,Aug04v1,CONUS,-1,0,1985,-1,-1,-1,28701.017204218122,162915.99981816838,0.0,0.0,-14546.369024684042,14547.369024684042
1157,301565.7832191781,0.0,148854.04326776345,271693.44519371004,21540.96629510084,0.2586173468685507,396752.4721127073,0.2717274504417589,1201876.324878283,72480.61458590798,2798.2620175032,7471.172568535407,0.0,0,250152.47889860917,optimal,nYrs_20210220_SWBNG_DYrs0_Tested1986,Aug04v1,CONUS,-1,0,1986,-1,-1,-1,28847.672938978765,148854.04326776345,0.0,0.0,-21539.96629510084,21540.96629510084
193,303652.43230593606,0.0,122540.8877483133,271693.44519371004,21920.026892620448,0.26164664662124054,396752.4721127073,0.2502367280831821,1201876.324878283,72480.61458590798,2602.5134103207747,8248.214437601508,0.0,0,249773.4183010896,optimal,nYrs_20210220_SWBNG_DYrs0_Tested1987,Aug04v1,CONUS,-1,0,1987,-1,-1,-1,28855.62183970875,122540.8877483133,0.0,0.0,-21919.026892620448,21920.026892620448
986,307889.9653916211,0.0,171219.20517369488,271693.44519371004,21255.14738208185,0.2648600958818636,396752.4721127073,0.293708643783056,1201876.324878283,72480.61458590798,2081.372804284347,6871.675286564599,0.0,0,250438.29781162814,optimal,nYrs_20210220_SWBNG_DYrs0_Tested1988,Aug04v1,CONUS,-1,0,1988,-1,-1,-1,28841.679316372756,171219.20517369488,0.0,0.0,-21254.14738208185,21255.14738208185
142,304674.93972602737,32.39746157964487,142130.99280250576,271693.44519371004,19978.715238937966,0.2680103812356238,396752.4721127073,0.26686745988252775,1201876.324878283,72480.61458590798,2525.022385791989,7681.4493046041225,29075.06566621922,3,251714.72995477202,optimal,nYrs_20210220_SWBNG_DYrs0_Tested1989,Aug04v1,CONUS,-1,0,1989,-1,-1,-1,29138.88715012748,142130.99280250576,32.39746157964487,29075.06566621922,-19977.715238937966,19978.715238937966
707,298942.67237442924,0.0,166473.40507921303,271693.44519371004,15778.408430838159,0.2638806293628622,396752.4721127073,0.28719262977639115,1201876.324878283,72480.61458590798,2048.156672273965,6521.738484909009,0.0,0,255915.03676287187,optimal,nYrs_20210220_SWBNG_DYrs0_Tested1990,Aug04v1,CONUS,-1,0,1990,-1,-1,-1,28726.832100565178,166473.40507921303,0.0,0.0,-15777.408430838159,15778.408430838159
