,demand series,natgas capacity,solar series,solar capacity,wind series,wind capacity,storage capacity,status,name,date,region,n_years,opt_years,test_years,end_test_year,scale_factor,syst_cost,curtailed_gen,lost_load,max_lost_load,decarbonization,co2_intensity
1001,303179.88342440804,0,0.26564944974459803,1393350.1903295747,0.29142427094198037,1153288.154177857,3880973.7870516106,optimal,nYrs_20210220_SWB_iter00415,Jan29v1,CONUS,1,00,-1,-1,-1,67599.35061855277,400981.6551721884,0.0,0.0,1.0,0.0
1123,303179.88342440804,0,0.26564944974459803,1393350.1903295747,0.29142427094198037,1153288.154177857,3880973.7870516106,optimal,nYrs_20210220_SWB_iter00452,Jan29v1,CONUS,1,00,-1,-1,-1,67599.35061855277,400981.6551721884,0.0,0.0,1.0,0.0
1149,303179.88342440804,0,0.26564944974459803,1393350.1903295747,0.29142427094198037,1153288.154177857,3880973.7870516106,optimal,nYrs_20210220_SWB_iter00234,Jan29v1,CONUS,1,00,-1,-1,-1,67599.35061855277,400981.6551721884,0.0,0.0,1.0,0.0
1230,303179.88342440804,0,0.26564944974459803,1393350.1903295747,0.29142427094198037,1153288.154177857,3880973.7870516106,optimal,nYrs_20210220_SWB_iter00473,Jan29v1,CONUS,1,00,-1,-1,-1,67599.35061855277,400981.6551721884,0.0,0.0,1.0,0.0
1277,303179.88342440804,0,0.26564944974459803,1393350.1903295747,0.29142427094198037,1153288.154177857,3880973.7870516106,optimal,nYrs_20210220_SWB_iter00036,Jan29v1,CONUS,1,00,-1,-1,-1,67599.35061855277,400981.6551721884,0.0,0.0,1.0,0.0
1298,303179.88342440804,0,0.26564944974459803,1393350.1903295747,0.29142427094198037,1153288.154177857,3880973.7870516106,optimal,nYrs_20210220_SWB_iter00186,Jan29v1,CONUS,1,00,-1,-1,-1,67599.35061855277,400981.6551721884,0.0,0.0,1.0,0.0
1331,303179.88342440804,0,0.26564944974459803,1393350.1903295747,0.29142427094198037,1153288.154177857,3880973.7870516106,optimal,nYrs_20210220_SWB_iter00223,Jan29v1,CONUS,1,00,-1,-1,-1,67599.35061855277,400981.6551721884,0.0,0.0,1.0,0.0
1337,303179.88342440804,0,0.26564944974459803,1393350.1903295747,0.29142427094198037,1153288.154177857,3880973.7870516106,optimal,nYrs_20210220_SWB_iter00242,Jan29v1,CONUS,1,00,-1,-1,-1,67599.35061855277,400981.6551721884,0.0,0.0,1.0,0.0
1401,303179.88342440804,0,0.26564944974459803,1393350.1903295747,0.29142427094198037,1153288.154177857,3880973.7870516106,optimal,nYrs_20210220_SWB_iter00374,Jan29v1,CONUS,1,00,-1,-1,-1,67599.35061855277,400981.6551721884,0.0,0.0,1.0,0.0
1110,300386.00776255707,0,0.2665236620306841,605155.3151861149,0.28209007728539764,2645028.7448352776,1609912.2005920855,optimal,nYrs_20210220_SWB_iter00235,Jan29v1,CONUS,1,01,-1,-1,-1,63109.61325647077,606158.3911506621,0.0,0.0,1.0,0.0
1114,300386.00776255707,0,0.2665236620306841,605155.3151861149,0.28209007728539764,2645028.7448352776,1609912.2005920864,optimal,nYrs_20210220_SWB_iter00098,Jan29v1,CONUS,1,01,-1,-1,-1,63109.61325647077,606661.1955729563,0.0,0.0,1.0,0.0
1128,300386.00776255707,0,0.2665236620306841,605155.3151861149,0.28209007728539764,2645028.7448352776,1609912.2005920855,optimal,nYrs_20210220_SWB_iter00187,Jan29v1,CONUS,1,01,-1,-1,-1,63109.61325647077,606158.3911506621,0.0,0.0,1.0,0.0
1335,300386.00776255707,0,0.2665236620306841,605155.3151861149,0.28209007728539764,2645028.7448352776,1609912.2005920855,optimal,nYrs_20210220_SWB_iter00199,Jan29v1,CONUS,1,01,-1,-1,-1,63109.61325647077,606158.3911506621,0.0,0.0,1.0,0.0
1336,300386.00776255707,0,0.2665236620306841,605155.3151861149,0.28209007728539764,2645028.7448352776,1609912.2005920855,optimal,nYrs_20210220_SWB_iter00347,Jan29v1,CONUS,1,01,-1,-1,-1,63109.61325647077,606158.3911506621,0.0,0.0,1.0,0.0
1386,300386.00776255707,0,0.2665236620306841,605155.3151861149,0.28209007728539764,2645028.7448352776,1609912.2005920855,optimal,nYrs_20210220_SWB_iter00170,Jan29v1,CONUS,1,01,-1,-1,-1,63109.61325647077,606158.3911506621,0.0,0.0,1.0,0.0
1464,300386.00776255707,0,0.2665236620306841,605155.3151861149,0.28209007728539764,2645028.7448352776,1609912.2005920855,optimal,nYrs_20210220_SWB_iter00047,Jan29v1,CONUS,1,01,-1,-1,-1,63109.61325647077,606158.3911506621,0.0,0.0,1.0,0.0
1480,300386.00776255707,0,0.2665236620306841,605155.3151861149,0.28209007728539764,2645028.7448352776,1609912.2005920855,optimal,nYrs_20210220_SWB_iter00172,Jan29v1,CONUS,1,01,-1,-1,-1,63109.61325647077,606158.3911506621,0.0,0.0,1.0,0.0
1050,306273.04497716896,0,0.2699333133065723,440664.16824647743,0.2919699785137299,3306896.1415334153,1157506.0939792504,optimal,nYrs_20210220_SWB_iter00369,Jan29v1,CONUS,1,02,-1,-1,-1,67939.83774532999,777728.5524410274,0.0,0.0,1.0,0.0
1085,306273.04497716896,0,0.2699333133065723,440664.16824647743,0.2919699785137299,3306896.1415334153,1157506.0939792504,optimal,nYrs_20210220_SWB_iter00395,Jan29v1,CONUS,1,02,-1,-1,-1,67939.83774532999,777947.5307237906,0.0,0.0,1.0,0.0
1112,306273.04497716896,0,0.2699333133065723,440664.16824647743,0.2919699785137299,3306896.1415334153,1157506.0939792504,optimal,nYrs_20210220_SWB_iter00393,Jan29v1,CONUS,1,02,-1,-1,-1,67939.83774532999,777728.5524410274,0.0,0.0,1.0,0.0
1120,306273.04497716896,0,0.2699333133065723,440664.16824647743,0.2919699785137299,3306896.1415334153,1157506.0939792504,optimal,nYrs_20210220_SWB_iter00236,Jan29v1,CONUS,1,02,-1,-1,-1,67939.83774532999,777947.5307237906,0.0,0.0,1.0,0.0
1126,306273.04497716896,0,0.2699333133065723,440664.16824647743,0.2919699785137299,3306896.1415334153,1157506.0939792504,optimal,nYrs_20210220_SWB_iter00434,Jan29v1,CONUS,1,02,-1,-1,-1,67939.83774532999,777728.5524410274,0.0,0.0,1.0,0.0
1135,306273.04497716896,0,0.2699333133065723,440664.16824647743,0.2919699785137299,3306896.1415334153,1157506.0939792504,optimal,nYrs_20210220_SWB_iter00299,Jan29v1,CONUS,1,02,-1,-1,-1,67939.83774532999,777728.5524410274,0.0,0.0,1.0,0.0
1153,306273.04497716896,0,0.2699333133065723,440664.16824647743,0.2919699785137299,3306896.1415334153,1157506.0939792504,optimal,nYrs_20210220_SWB_iter00192,Jan29v1,CONUS,1,02,-1,-1,-1,67939.83774532999,777947.5307237906,0.0,0.0,1.0,0.0
1159,306273.04497716896,0,0.2699333133065723,440664.16824647743,0.2919699785137299,3306896.1415334153,1157506.0939792504,optimal,nYrs_20210220_SWB_iter00135,Jan29v1,CONUS,1,02,-1,-1,-1,67939.83774532999,777947.5307237906,0.0,0.0,1.0,0.0
1232,306273.04497716896,0,0.2699333133065723,440664.16824647743,0.2919699785137299,3306896.1415334153,1157506.0939792504,optimal,nYrs_20210220_SWB_iter00388,Jan29v1,CONUS,1,02,-1,-1,-1,67939.83774532999,777947.5307237906,0.0,0.0,1.0,0.0
1256,306273.04497716896,0,0.2699333133065723,440664.16824647743,0.2919699785137299,3306896.1415334153,1157506.0939792504,optimal,nYrs_20210220_SWB_iter00254,Jan29v1,CONUS,1,02,-1,-1,-1,67939.83774532999,777947.5307237906,0.0,0.0,1.0,0.0
1263,306273.04497716896,0,0.2699333133065723,440664.16824647743,0.2919699785137299,3306896.1415334153,1157506.0939792504,optimal,nYrs_20210220_SWB_iter00096,Jan29v1,CONUS,1,02,-1,-1,-1,67939.83774532999,777728.5524410274,0.0,0.0,1.0,0.0
1267,306273.04497716896,0,0.2699333133065723,440664.16824647743,0.2919699785137299,3306896.1415334153,1157506.0939792504,optimal,nYrs_20210220_SWB_iter00016,Jan29v1,CONUS,1,02,-1,-1,-1,67939.83774532999,777728.5524410274,0.0,0.0,1.0,0.0
1274,306273.04497716896,0,0.2699333133065723,440664.16824647743,0.2919699785137299,3306896.1415334153,1157506.0939792504,optimal,nYrs_20210220_SWB_iter00442,Jan29v1,CONUS,1,02,-1,-1,-1,67939.83774532999,777728.5524410274,0.0,0.0,1.0,0.0
1279,306273.04497716896,0,0.2699333133065723,440664.16824647743,0.2919699785137299,3306896.1415334153,1157506.0939792504,optimal,nYrs_20210220_SWB_iter00238,Jan29v1,CONUS,1,02,-1,-1,-1,67939.83774532999,777947.5307237906,0.0,0.0,1.0,0.0
1310,306273.04497716896,0,0.2699333133065723,440664.16824647743,0.2919699785137299,3306896.1415334153,1157506.0939792504,optimal,nYrs_20210220_SWB_iter00076,Jan29v1,CONUS,1,02,-1,-1,-1,67939.83774532999,777728.5524410274,0.0,0.0,1.0,0.0
1373,306273.04497716896,0,0.2699333133065723,440664.16824647743,0.2919699785137299,3306896.1415334153,1157506.0939792504,optimal,nYrs_20210220_SWB_iter00276,Jan29v1,CONUS,1,02,-1,-1,-1,67939.83774532999,777728.5524410274,0.0,0.0,1.0,0.0
1454,306273.04497716896,0,0.2699333133065723,440664.16824647743,0.2919699785137299,3306896.1415334153,1157506.0939792504,optimal,nYrs_20210220_SWB_iter00350,Jan29v1,CONUS,1,02,-1,-1,-1,67939.83774532999,777947.5307237906,0.0,0.0,1.0,0.0
