,demand series,natgas capacity,solar series,solar capacity,wind series,wind capacity,storage capacity,status,name,date,region,n_years,opt_years,test_years,end_test_year,scale_factor,syst_cost,curtailed_gen,lost_load,max_lost_load,decarbonization,co2_intensity
1164,303179.88342440804,271693.44519371004,0.26564944974459803,396752.4721127073,0.29142427094198037,1201876.324878283,72480.61458590798,optimal,nYrs_20210220_SWBNG_iter00452,Jan29v1,CONUS,1,00,-1,-1,-1,28714.1377342705,167492.21226240785,0.0,0.0,-15172.050000000077,15173.050000000077
1166,303179.88342440804,271693.44519371004,0.26564944974459803,396752.4721127073,0.29142427094198037,1201876.324878283,72480.61458590798,optimal,nYrs_20210220_SWBNG_iter00473,Jan29v1,CONUS,1,00,-1,-1,-1,28714.1377342705,167492.21226240785,0.0,0.0,-15172.050000000077,15173.050000000077
1215,303179.88342440804,271693.44519371004,0.26564944974459803,396752.4721127073,0.29142427094198037,1201876.324878283,72480.61458590798,optimal,nYrs_20210220_SWBNG_iter00415,Jan29v1,CONUS,1,00,-1,-1,-1,28714.1377342705,167492.21226240785,0.0,0.0,-15172.050000000077,15173.050000000077
1331,303179.88342440804,271693.44519371004,0.26564944974459803,396752.4721127073,0.29142427094198037,1201876.324878283,72480.61458590798,optimal,nYrs_20210220_SWBNG_iter00374,Jan29v1,CONUS,1,00,-1,-1,-1,28714.1377342705,167492.21226240785,0.0,0.0,-15172.050000000077,15173.050000000077
1333,303179.88342440804,271693.44519371004,0.26564944974459803,396752.4721127073,0.29142427094198037,1201876.324878283,72480.61458590798,optimal,nYrs_20210220_SWBNG_iter00223,Jan29v1,CONUS,1,00,-1,-1,-1,28714.1377342705,167492.21226240785,0.0,0.0,-15172.050000000077,15173.050000000077
1387,303179.88342440804,271693.44519371004,0.26564944974459803,396752.4721127073,0.29142427094198037,1201876.324878283,72480.61458590798,optimal,nYrs_20210220_SWBNG_iter00242,Jan29v1,CONUS,1,00,-1,-1,-1,28714.1377342705,167492.21226240785,0.0,0.0,-15172.050000000077,15173.050000000077
1388,303179.88342440804,271693.44519371004,0.26564944974459803,396752.4721127073,0.29142427094198037,1201876.324878283,72480.61458590798,optimal,nYrs_20210220_SWBNG_iter00036,Jan29v1,CONUS,1,00,-1,-1,-1,28714.1377342705,167492.21226240785,0.0,0.0,-15172.050000000077,15173.050000000077
1408,303179.88342440804,271693.44519371004,0.26564944974459803,396752.4721127073,0.29142427094198037,1201876.324878283,72480.61458590798,optimal,nYrs_20210220_SWBNG_iter00186,Jan29v1,CONUS,1,00,-1,-1,-1,28714.1377342705,167492.21226240785,0.0,0.0,-15172.050000000077,15173.050000000077
1482,303179.88342440804,271693.44519371004,0.26564944974459803,396752.4721127073,0.29142427094198037,1201876.324878283,72480.61458590798,optimal,nYrs_20210220_SWBNG_iter00234,Jan29v1,CONUS,1,00,-1,-1,-1,28714.1377342705,167492.21226240785,0.0,0.0,-15172.050000000077,15173.050000000077
1001,300386.00776255707,251378.12050364225,0.2665236620306841,413801.6601323313,0.28209007728539764,1207217.5393703263,47441.38806346602,optimal,nYrs_20210220_SWBNG_iter00187,Jan29v1,CONUS,1,01,-1,-1,-1,28661.418593256047,165506.7175480355,0.0,0.0,-15172.050000000007,15173.050000000007
1051,300386.00776255707,251378.12050364225,0.2665236620306841,413801.6601323313,0.28209007728539764,1207217.5393703263,47441.38806346602,optimal,nYrs_20210220_SWBNG_iter00347,Jan29v1,CONUS,1,01,-1,-1,-1,28661.418593256047,165506.7175480355,0.0,0.0,-15172.050000000007,15173.050000000007
1265,300386.00776255707,251378.12050364225,0.2665236620306841,413801.6601323313,0.28209007728539764,1207217.5393703263,47441.38806346602,optimal,nYrs_20210220_SWBNG_iter00170,Jan29v1,CONUS,1,01,-1,-1,-1,28661.418593256047,165506.7175480355,0.0,0.0,-15172.050000000007,15173.050000000007
1384,300386.00776255707,251378.12050364225,0.2665236620306841,413801.6601323313,0.28209007728539764,1207217.5393703263,47441.38806346602,optimal,nYrs_20210220_SWBNG_iter00199,Jan29v1,CONUS,1,01,-1,-1,-1,28661.418593256047,165506.7175480355,0.0,0.0,-15172.050000000007,15173.050000000007
1430,300386.00776255707,251378.12050364225,0.2665236620306841,413801.6601323313,0.28209007728539764,1207217.5393703263,47441.38806346602,optimal,nYrs_20210220_SWBNG_iter00098,Jan29v1,CONUS,1,01,-1,-1,-1,28661.418593256047,165506.7175480355,0.0,0.0,-15172.050000000007,15173.050000000007
1439,300386.00776255707,251378.12050364225,0.2665236620306841,413801.6601323313,0.28209007728539764,1207217.5393703263,47441.38806346602,optimal,nYrs_20210220_SWBNG_iter00172,Jan29v1,CONUS,1,01,-1,-1,-1,28661.418593256047,165506.7175480355,0.0,0.0,-15172.050000000007,15173.050000000007
1450,300386.00776255707,251378.12050364225,0.2665236620306841,413801.6601323313,0.28209007728539764,1207217.5393703263,47441.38806346602,optimal,nYrs_20210220_SWBNG_iter00235,Jan29v1,CONUS,1,01,-1,-1,-1,28661.418593256047,165506.7175480355,0.0,0.0,-15172.050000000007,15173.050000000007
1454,300386.00776255707,251378.12050364225,0.2665236620306841,413801.6601323313,0.28209007728539764,1207217.5393703263,47441.38806346602,optimal,nYrs_20210220_SWBNG_iter00047,Jan29v1,CONUS,1,01,-1,-1,-1,28661.418593256047,165506.7175480355,0.0,0.0,-15172.050000000007,15173.050000000007
1010,306273.04497716896,260371.82182331357,0.2699333133065723,396945.0048924766,0.2919699785137299,1233229.6381098316,66308.97268168189,optimal,nYrs_20210220_SWBNG_iter00276,Jan29v1,CONUS,1,02,-1,-1,-1,29058.215000879125,175963.54238765745,0.0,0.0,-15172.050000000008,15173.050000000008
1053,306273.04497716896,260371.82182331357,0.2699333133065723,396945.0048924766,0.2919699785137299,1233229.6381098316,66308.97268168189,optimal,nYrs_20210220_SWBNG_iter00076,Jan29v1,CONUS,1,02,-1,-1,-1,29058.215000879125,175963.54238765745,0.0,0.0,-15172.050000000008,15173.050000000008
1114,306273.04497716896,260371.82182331357,0.2699333133065723,396945.0048924766,0.2919699785137299,1233229.6381098316,66308.97268168189,optimal,nYrs_20210220_SWBNG_iter00393,Jan29v1,CONUS,1,02,-1,-1,-1,29058.215000879125,175963.54238765745,0.0,0.0,-15172.050000000008,15173.050000000008
1142,306273.04497716896,260371.82182331357,0.2699333133065723,396945.0048924766,0.2919699785137299,1233229.6381098316,66308.97268168189,optimal,nYrs_20210220_SWBNG_iter00254,Jan29v1,CONUS,1,02,-1,-1,-1,29058.215000879125,175963.54238765745,0.0,0.0,-15172.050000000008,15173.050000000008
1163,306273.04497716896,260371.82182331357,0.2699333133065723,396945.0048924766,0.2919699785137299,1233229.6381098316,66308.97268168189,optimal,nYrs_20210220_SWBNG_iter00096,Jan29v1,CONUS,1,02,-1,-1,-1,29058.215000879125,175963.54238765745,0.0,0.0,-15172.050000000008,15173.050000000008
1181,306273.04497716896,260371.82182331357,0.2699333133065723,396945.0048924766,0.2919699785137299,1233229.6381098316,66308.97268168189,optimal,nYrs_20210220_SWBNG_iter00299,Jan29v1,CONUS,1,02,-1,-1,-1,29058.215000879125,175963.54238765745,0.0,0.0,-15172.050000000008,15173.050000000008
1224,306273.04497716896,260371.82182331357,0.2699333133065723,396945.0048924766,0.2919699785137299,1233229.6381098316,66308.97268168189,optimal,nYrs_20210220_SWBNG_iter00016,Jan29v1,CONUS,1,02,-1,-1,-1,29058.215000879125,175963.54238765745,0.0,0.0,-15172.050000000008,15173.050000000008
1279,306273.04497716896,260371.82182331357,0.2699333133065723,396945.0048924766,0.2919699785137299,1233229.6381098316,66308.97268168189,optimal,nYrs_20210220_SWBNG_iter00238,Jan29v1,CONUS,1,02,-1,-1,-1,29058.215000879125,175963.54238765745,0.0,0.0,-15172.050000000008,15173.050000000008
1282,306273.04497716896,260371.82182331357,0.2699333133065723,396945.0048924766,0.2919699785137299,1233229.6381098316,66308.97268168189,optimal,nYrs_20210220_SWBNG_iter00350,Jan29v1,CONUS,1,02,-1,-1,-1,29058.215000879125,175963.54238765745,0.0,0.0,-15172.050000000008,15173.050000000008
1295,306273.04497716896,260371.82182331357,0.2699333133065723,396945.0048924766,0.2919699785137299,1233229.6381098316,66308.97268168189,optimal,nYrs_20210220_SWBNG_iter00388,Jan29v1,CONUS,1,02,-1,-1,-1,29058.215000879125,175963.54238765745,0.0,0.0,-15172.050000000008,15173.050000000008
1307,306273.04497716896,260371.82182331357,0.2699333133065723,396945.0048924766,0.2919699785137299,1233229.6381098316,66308.97268168189,optimal,nYrs_20210220_SWBNG_iter00395,Jan29v1,CONUS,1,02,-1,-1,-1,29058.215000879125,175963.54238765745,0.0,0.0,-15172.050000000008,15173.050000000008
1319,306273.04497716896,260371.82182331357,0.2699333133065723,396945.0048924766,0.2919699785137299,1233229.6381098316,66308.97268168189,optimal,nYrs_20210220_SWBNG_iter00442,Jan29v1,CONUS,1,02,-1,-1,-1,29058.215000879125,175963.54238765745,0.0,0.0,-15172.050000000008,15173.050000000008
1328,306273.04497716896,260371.82182331357,0.2699333133065723,396945.0048924766,0.2919699785137299,1233229.6381098316,66308.97268168189,optimal,nYrs_20210220_SWBNG_iter00434,Jan29v1,CONUS,1,02,-1,-1,-1,29058.215000879125,175963.54238765745,0.0,0.0,-15172.050000000008,15173.050000000008
1409,306273.04497716896,260371.82182331357,0.2699333133065723,396945.0048924766,0.2919699785137299,1233229.6381098316,66308.97268168189,optimal,nYrs_20210220_SWBNG_iter00192,Jan29v1,CONUS,1,02,-1,-1,-1,29058.215000879125,175963.54238765745,0.0,0.0,-15172.050000000008,15173.050000000008
1412,306273.04497716896,260371.82182331357,0.2699333133065723,396945.0048924766,0.2919699785137299,1233229.6381098316,66308.97268168189,optimal,nYrs_20210220_SWBNG_iter00236,Jan29v1,CONUS,1,02,-1,-1,-1,29058.215000879125,175963.54238765745,0.0,0.0,-15172.050000000008,15173.050000000008
1435,306273.04497716896,260371.82182331357,0.2699333133065723,396945.0048924766,0.2919699785137299,1233229.6381098316,66308.97268168189,optimal,nYrs_20210220_SWBNG_iter00369,Jan29v1,CONUS,1,02,-1,-1,-1,29058.215000879125,175963.54238765745,0.0,0.0,-15172.050000000008,15173.050000000008
1494,306273.04497716896,260371.82182331357,0.2699333133065723,396945.0048924766,0.2919699785137299,1233229.6381098316,66308.97268168189,optimal,nYrs_20210220_SWBNG_iter00135,Jan29v1,CONUS,1,02,-1,-1,-1,29058.215000879125,175963.54238765745,0.0,0.0,-15172.050000000008,15173.050000000008
1006,301020.0848173516,228964.13070304733,0.26609755344689456,419547.6293478486,0.2770270805637365,1219539.9886855306,123330.01973326581,optimal,nYrs_20210220_SWBNG_iter00210,Jan29v1,CONUS,1,03,-1,-1,-1,29273.60222384236,163337.43240435843,0.0,0.0,-15172.050000000092,15173.050000000092
1012,301020.0848173516,228964.13070304733,0.26609755344689456,419547.6293478486,0.2770270805637365,1219539.9886855306,123330.01973326581,optimal,nYrs_20210220_SWBNG_iter00025,Jan29v1,CONUS,1,03,-1,-1,-1,29273.60222384236,163337.43240435843,0.0,0.0,-15172.050000000092,15173.050000000092
