,demand series,natgas capacity,solar series,solar capacity,wind series,wind capacity,storage capacity,to_PGP capacity,PGP_storage capacity,from_PGP capacity,status,name,date,region,n_years,opt_years,test_years,end_test_year,scale_factor,syst_cost,curtailed_gen,lost_load,max_lost_load,decarbonization,co2_intensity
1034,303179.88342440804,0,0.26564944974459803,291664.2478081959,0.29142427094198037,1078035.2699910982,108361.13494766917,67667.0645008958,126605174.59252524,274505.40189403604,optimal,nYrs_20210220_SWBPGP_iter00036,Jan29v1,CONUS,1,00,-1,-1,-1,41224.54755483709,61583.03062456426,0.0,0.0,1.0,0.0
1049,303179.88342440804,0,0.26564944974459803,291664.2478081959,0.29142427094198037,1078035.2699910982,108361.13494766917,67667.0645008958,126605174.59252524,274505.40189403604,optimal,nYrs_20210220_SWBPGP_iter00186,Jan29v1,CONUS,1,00,-1,-1,-1,41224.54755483709,61583.03062456426,0.0,0.0,1.0,0.0
1107,303179.88342440804,0,0.26564944974459803,291664.2478081959,0.29142427094198037,1078035.2699910982,108361.13494766917,67667.0645008958,126605174.59252524,274505.40189403604,optimal,nYrs_20210220_SWBPGP_iter00452,Jan29v1,CONUS,1,00,-1,-1,-1,41224.54755483709,61583.03062456426,0.0,0.0,1.0,0.0
1138,303179.88342440804,0,0.26564944974459803,291664.2478081959,0.29142427094198037,1078035.2699910982,108361.13494766917,67667.0645008958,126605174.59252524,274505.40189403604,optimal,nYrs_20210220_SWBPGP_iter00415,Jan29v1,CONUS,1,00,-1,-1,-1,41224.54755483709,61583.03062456426,0.0,0.0,1.0,0.0
1291,303179.88342440804,0,0.26564944974459803,291664.2478081959,0.29142427094198037,1078035.2699910982,108361.13494766917,67667.0645008958,126605174.59252524,274505.40189403604,optimal,nYrs_20210220_SWBPGP_iter00242,Jan29v1,CONUS,1,00,-1,-1,-1,41224.54755483709,61522.5595945898,0.0,0.0,1.0,0.0
1296,303179.88342440804,0,0.26564944974459803,291664.2478081959,0.29142427094198037,1078035.2699910982,108361.13494766917,67667.0645008958,126605174.59252524,274505.40189403604,optimal,nYrs_20210220_SWBPGP_iter00234,Jan29v1,CONUS,1,00,-1,-1,-1,41224.54755483709,61583.03062456426,0.0,0.0,1.0,0.0
1300,303179.88342440804,0,0.26564944974459803,291664.2478081959,0.29142427094198037,1078035.2699910982,108361.13494766917,67667.0645008958,126605174.59252524,274505.40189403604,optimal,nYrs_20210220_SWBPGP_iter00223,Jan29v1,CONUS,1,00,-1,-1,-1,41224.54755483709,61583.03062456426,0.0,0.0,1.0,0.0
1395,303179.88342440804,0,0.26564944974459803,291664.2478081959,0.29142427094198037,1078035.2699910982,108361.13494766917,67667.0645008958,126605174.59252524,274505.40189403604,optimal,nYrs_20210220_SWBPGP_iter00374,Jan29v1,CONUS,1,00,-1,-1,-1,41224.54755483709,61583.03062456426,0.0,0.0,1.0,0.0
1431,303179.88342440804,0,0.26564944974459803,291664.2478081959,0.29142427094198037,1078035.2699910982,108361.13494766917,67667.0645008958,126605174.59252524,274505.40189403604,optimal,nYrs_20210220_SWBPGP_iter00473,Jan29v1,CONUS,1,00,-1,-1,-1,41224.54755483709,61583.03062456426,0.0,0.0,1.0,0.0
1016,300386.00776255707,0,0.2665236620306841,337701.55242333777,0.28209007728539764,1065986.1042666542,162256.26269725466,61584.47614648642,134328388.43147293,250386.75575703135,optimal,nYrs_20210220_SWBPGP_iter00187,Jan29v1,CONUS,1,01,-1,-1,-1,40517.4581239623,65240.54867582763,0.0,0.0,1.0,0.0
